População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:1998
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Grajaú";33429;31710;30847;31607;31388;29218;26604;22591;18559;13666;9652;6041;4031;2575;1643;1631;295192
"Guaianases";10469;10023;9853;9950;9701;8864;8075;6936;5844;4648;3317;2321;1761;1163;786;857;94568
"Iguatemi";10168;9925;9695;9555;8789;8203;8039;7065;5877;4396;3177;2047;1404;909;544;551;90344
"Ipiranga";6559;6647;7061;8098;8987;8754;8044;7707;7127;6160;5272;4145;4107;3552;3203;4315;99738
"Itaim Bibi";4148;4206;4962;6411;7772;7765;7033;7304;6809;6269;5448;4376;3637;3426;3106;4367;87039
"Itaim Paulista";22286;21640;21310;21395;19673;18574;17361;14947;12534;9557;7217;4889;3667;2496;1547;1648;200741
"Itaquera";19673;18743;18912;19601;19586;18576;17029;14888;12520;10197;8045;5840;4535;3163;2118;2288;195714
"Jabaquara";17539;16875;17980;19439;20367;20055;19275;17750;15283;12196;9832;7636;6712;5142;3992;4653;214726
"Jaçanã";7870;7746;8039;8850;8755;7908;7187;6899;6127;5014;4269;3210;2970;2282;1652;2109;90887
"Jaguara";1768;1872;2124;2421;2512;2283;2054;2062;1950;1701;1488;1126;983;870;688;767;26669
"Jaguaré";3724;3555;3573;3952;4441;4225;3855;3290;2745;2325;1971;1604;1333;950;688;789;43020
"Jaraguá";13531;13094;13617;13586;12888;11991;11636;10726;9041;6976;5189;3469;2387;1629;1104;1135;131999
"Jardim Ângela";26371;24610;23636;24158;24445;23704;21024;16789;13809;10422;7549;4678;3268;1967;1281;1279;228990
"Jardim Helena";15079;14277;13908;14252;13802;12804;11441;9797;8030;6193;4802;3336;2616;1721;1192;1164;134414
"Jardim Paulista";3331;3430;4062;5768;8348;8081;6872;6868;6696;6495;5939;4840;4177;3604;3504;6002;88017
"Jardim São Luís";23249;21772;22237;23988;24794;23298;21022;18060;14941;11535;8791;5923;4540;3050;2003;2079;231282
"José Bonifácio";9214;9250;10349;11673;11291;9176;8138;7725;7737;6929;5434;3416;2487;1587;1101;1075;106582
"Lajeado";17338;16520;15911;15377;14717;13729;12610;10685;8614;6482;4799;3320;2487;1663;1073;1157;146482
"Lapa";2994;3192;3804;4588;5201;4986;4761;4968;4681;4231;3779;3192;3110;2821;2489;3738;62535
"Liberdade";3718;3532;3929;4925;6497;6604;5750;5333;4968;4215;3645;2782;2433;2112;1891;2749;65083
"Limão";6708;6536;7048;7798;8262;7310;6670;6519;5979;5105;4172;3136;2826;2244;1775;2032;84120
"Mandaqui";7783;7822;8477;9179;9483;9219;9138;8902;7716;6223;5175;4018;3473;2764;1955;2271;103598
"Marsilac";976;927;918;820;656;572;571;539;473;347;270;212;186;153;87;94;7801
"Moema";3471;3462;4163;5180;6475;6334;6015;6471;6113;5688;4766;3521;2882;2565;2351;3359;72816
"Moóca";3438;3573;4165;4822;5307;5161;4980;5286;4818;4231;3686;3245;3313;3074;2640;3614;65353
"Morumbi";2405;2385;2575;3090;3706;3428;3053;2892;2650;2344;2107;1635;1250;873;642;826;35861
"Parelheiros";10887;10330;9880;9430;8916;8258;7863;6598;5505;3941;2844;1804;1259;874;546;610;89545
"Pari";1039;948;1036;1285;1513;1455;1330;1167;1075;970;826;757;725;650;586;792;16154
"Parque do Carmo";6222;5971;6258;6565;6387;5774;5393;4638;3999;3260;2508;1670;1242;870;552;651;61960
"Pedreira";12585;12036;12005;12101;12258;11352;10518;8963;7298;5634;4113;2759;1930;1341;891;969;116753
"Penha";8653;8653;9542;10822;11163;10622;10045;9933;8980;7769;6804;5553;5259;4543;3713;4523;126577
"Perdizes";4974;5318;6420;7821;9453;8736;8219;8789;8642;7673;6496;5000;4380;3849;3418;4971;104159
"Perus";7051;6572;6346;6253;6455;6348;5913;4867;4018;2989;2396;1622;1285;915;608;687;64325
"Pinheiros";2882;2874;3527;4614;5794;5939;5491;5656;5097;4809;4085;3345;3085;2617;2686;3962;66463
"Pirituba";13232;12961;13930;14831;14887;14393;13931;13178;11614;9379;7570;5596;4879;3767;2782;3068;159998
"Ponte Rasa";8098;8074;8712;9599;9446;8714;8433;7899;7063;5840;4748;3657;3213;2351;1733;1836;99416
"Raposo Tavares";8674;8411;8544;9427;9479;8684;7795;6800;5969;4849;3767;2471;1752;1168;757;917;89464
"República";2723;2259;2246;3210;5150;5808;5171;4493;3998;3281;2872;2242;1971;1525;1241;1804;49994
"Rio Pequeno";9696;9223;9984;10798;10871;10119;9388;8785;7636;6281;4963;3641;3099;2278;1530;1636;109928
"Sacomã";19172;18644;19297;20723;21732;20996;20372;18652;15977;12546;9745;7438;6497;5047;3796;4208;224842
"Santa Cecília";3943;3594;3960;5142;7196;7383;6546;6141;5727;5054;4358;3402;3109;2713;2459;3770;74497
"Santana";6755;7170;8422;9730;12626;11848;10767;10686;9862;8605;6984;5592;5271;4603;3900;5051;127872
"Santo Amaro";2837;3151;3992;5049;6038;5101;4628;4853;4824;4685;4325;3671;3108;2474;2123;3006;63865
"São Domingos";6561;6224;6708;7330;7996;7519;7080;6408;5542;4586;3866;3099;2553;1826;1338;1375;80011
"São Lucas";10615;10807;11656;12442;12901;12493;12062;11990;10247;8546;7251;5788;5316;4123;3085;3207;142529
"São Mateus";14529;14087;14772;15404;14978;14154;13471;12261;10402;8278;6690;4851;3900;2837;1831;1872;154317
"São Miguel";9293;8788;9199;9653;9687;9174;8519;7452;6321;5012;4118;3380;2878;2222;1524;1673;98893
"São Rafael";12785;11918;11585;11645;11712;11481;10416;8750;7122;5672;4499;3176;2238;1431;891;942;116263
"Sapopemba";26559;26152;27065;28271;27311;25447;23794;21690;18631;14861;11755;8249;6773;4604;3001;2969;277132
"Saúde";6243;6533;7532;8935;10100;10452;10126;10159;9548;8376;7114;5679;5220;4578;4090;5618;120303
"Sé";1609;1321;1363;1659;2393;2398;2088;1827;1616;1312;1074;816;651;555;416;510;21608
"Socorro";2348;2591;3073;3656;3861;3470;3090;3125;2975;2650;2367;1933;1648;1258;913;1146;40104
"Tatuapé";4369;4501;5276;6066;6508;6485;6283;6596;6181;5395;4576;3878;3825;3460;2955;3800;80154
"Tremembé";14736;13715;14131;14846;15163;14461;13153;11959;10319;8324;6697;4936;4171;2984;2185;2613;154393
"Tucuruvi";6200;6420;7594;8790;9046;8380;7801;7981;7658;6791;5729;4839;4455;3780;3133;3786;102383
"Vila Andrade";7176;6308;5987;6075;7026;7079;6419;5439;4239;3137;2270;1419;1026;618;409;492;65119
"Vila Curuçá";15392;14568;14612;14717;14069;13264;12238;10355;8534;6729;5338;3889;2992;2023;1293;1437;141450
"Vila Formosa";6523;6684;7430;8426;8622;8057;7541;7542;6923;5966;4997;4165;3812;3129;2451;2760;95028
"Vila Guilherme";3280;3385;3810;4482;4934;4578;3986;3977;3788;3291;2862;2380;2306;1990;1607;1926;52582
"Vila Jacuí";14260;13564;13736;13544;13165;12274;11484;10155;8417;6526;4706;3303;2449;1735;1177;1224;131719
"Vila Leopoldina";1730;1717;1884;2298;2506;2392;2213;2328;2057;1710;1396;1079;1033;864;759;962;26928
"Vila Maria";9997;9478;9712;10658;11499;10963;9627;8884;7628;6327;5243;4065;3742;3077;2360;2859;116119
"Vila Mariana";5808;6007;7359;9418;11626;11256;10070;10211;10033;9247;7795;6101;5254;4697;4334;6846;126062
"Vila Matilde";7573;7717;8553;9358;9487;9012;8452;8215;7502;6355;5348;4440;3849;3212;2604;2902;104579
"Vila Medeiros";11365;11220;12070;13464;13942;12913;11821;11379;10036;8298;6926;5472;5061;4090;3047;3274;144378
"Vila Prudente";7150;7245;8032;8953;9596;8962;8439;8459;7722;6574;5569;4487;4119;3420;2764;3565;105056
"Vila Sônia";6938;6798;7218;8054;8313;7777;7445;6906;6323;5273;4315;3201;2580;2012;1513;1926;86592
"Total";880980;853744;892770;960461;999665;943847;873777;805105;704433;578912;467670;349955;295899;229803;177569;219037;10233627
Fonte: Fundação SEADE, 1996 a 2023
