População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:1998
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";5219;5485;6261;7083;7588;7131;6818;6942;6360;5680;4990;4119;4067;3597;3035;3787;88162
"Alto de Pinheiros";2005;2279;2802;3512;4514;4092;3458;3594;3412;3283;3020;2531;2327;1760;1366;1910;45865
"Anhanguera";3464;3338;3097;2753;2733;2972;3114;2630;1912;1293;858;576;384;238;176;192;29730
"Aricanduva";7560;7466;8203;8944;9157;8432;7749;7377;6603;5647;4941;3892;3400;2543;1712;1828;95454
"Artur Alvim";8820;8682;9642;10914;11403;10252;8995;8550;7749;7151;6042;4686;3835;2740;1859;1831;113151
"Barra Funda";778;775;878;1069;1339;1241;1031;997;970;839;774;623;557;497;470;795;13633
"Bela Vista";3399;3000;3178;4325;6848;7458;6423;5511;4938;4254;3646;2803;2471;2166;1928;2901;65249
"Belém";2679;2537;2792;3310;3784;3495;3178;3197;2983;2551;2196;1778;1888;1701;1560;2216;41845
"Bom Retiro";2030;1906;1955;2287;2914;2777;2373;2181;1952;1630;1429;1134;1158;937;811;1137;28611
"Brás";2197;1905;1787;2100;2698;2713;2530;2408;2047;1555;1211;922;799;696;597;780;26945
"Brasilândia";26249;24097;23657;24136;24136;22544;20503;17738;14386;11121;8705;6161;4850;3461;2347;2539;236630
"Butantã";2924;3007;3646;4504;5206;4849;4320;4240;4015;3650;3289;2628;2346;1878;1455;2019;53976
"Cachoeirinha";14707;13982;13720;14357;14103;13312;12453;10933;9230;7133;5513;3927;3238;2463;1744;1905;142720
"Cambuci";1906;1755;1957;2383;2762;2550;2470;2330;2173;1883;1659;1351;1377;1181;1148;1644;30529
"Campo Belo";3938;3968;4503;5531;6778;6206;5418;5364;4952;4548;4287;3619;3173;2411;1952;2623;69271
"Campo Grande";6261;6563;7298;7714;8037;7879;8008;8099;7052;5849;4632;3489;2885;2149;1588;1881;89384
"Campo Limpo";18619;17426;17783;18686;19264;18241;16590;14568;12199;9381;7004;4767;3585;2485;1690;1853;184141
"Cangaíba";11599;11313;12043;12440;12322;12097;11537;10936;9301;7414;5947;4489;3733;2835;2118;2187;132311
"Capão Redondo";23879;22693;23296;24280;24832;22561;20249;17421;14602;11458;8545;5660;4058;2553;1631;1913;229631
"Carrão";5246;5394;6167;6633;6713;6500;6274;6446;5868;5011;4430;3755;3550;2982;2382;3051;80402
"Casa Verde";6050;6064;6860;7926;8064;7363;6882;6806;6313;5311;4487;3568;3387;2697;2200;2652;86630
"Cidade Ademar";23417;22269;23253;24780;25354;23131;20992;18251;15422;12402;9844;7139;5553;3857;2571;2834;241069
"Cidade Dutra";17612;17286;18399;19387;19012;17268;15964;14641;12785;10009;7899;5293;4045;2805;1924;2128;186457
"Cidade Líder";10386;10286;10801;11550;11488;10316;9625;8595;7739;6415;4968;3418;2495;1763;1205;1307;112357
"Cidade Tiradentes";19642;18788;18264;17330;15201;14467;14211;12811;10877;8241;5363;3184;2144;1357;826;740;163446
"Consolação";2273;2218;2500;3791;5894;5572;4707;4541;4323;3958;3615;2939;2612;2362;2215;3713;57233
"Cursino";7043;7123;8223;8969;9388;8829;8463;8530;7794;6533;5422;4252;4206;3499;2729;3218;104221
"Ermelino Matarazzo";9942;9479;9896;10264;10698;9948;9233;8280;6967;5636;4221;3048;2424;1763;1246;1385;104430
"Freguesia do Ó";11435;11399;12296;13476;13787;12858;12551;12043;10820;8730;7037;5401;4862;3962;3028;3374;147059
