População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2015
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4897;3852;4024;4667;5171;6316;6826;6914;6068;5740;6149;5778;4852;3953;2979;5774;83960
"Alto de Pinheiros";1769;1712;1745;2012;2391;2950;3093;3441;2971;2924;3337;3044;2815;2395;1897;3617;42113
"Anhanguera";5634;5341;5925;7376;7214;7269;6659;6330;6252;5841;4478;3199;2149;1244;702;727;76340
"Aricanduva";5374;4772;5246;6278;6169;7130;7448;6811;6370;6159;5693;5287;4338;3591;2687;4087;87440
"Artur Alvim";6382;5796;6096;7327;7369;8580;9323;8838;7711;6657;6427;5811;5104;4098;2959;4097;102575
"Barra Funda";1033;741;709;714;841;1247;1503;1453;1249;949;947;919;772;680;454;989;15200
"Bela Vista";4196;2714;2445;2723;3649;7098;9196;7672;5689;4835;4484;4237;3783;3048;2098;3813;71680
"Belém";4267;2561;2387;2624;2764;4064;4754;4234;3406;2888;2942;2598;2322;1692;1249;2664;47416
"Bom Retiro";3055;2172;2141;2371;2545;3600;3724;3369;2565;2316;2074;1816;1542;1095;807;1579;36771
"Brás";2971;1681;1747;1944;2143;3141;3322;2947;2437;2048;1792;1618;1226;898;608;875;31398
"Brasilândia";24167;18890;21355;25194;23312;24483;24074;21637;19154;17791;14812;12367;9332;6902;4392;5649;273511
"Butantã";2864;2293;2304;2546;3032;4740;5630;4953;3994;3603;3593;3422;3142;2582;1917;3547;54162
"Cachoeirinha";11824;9593;10336;11964;11765;12768;13107;11945;10164;9437;8426;7434;5555;4056;2603;3641;144618
"Cambuci";2598;2145;2059;2239;2313;3072;3585;3591;3169;2682;2499;2344;1947;1470;1152;2269;39134
"Campo Belo";3602;3062;2966;3104;3249;4598;5512;5689;5166;4495;4540;4299;3960;3235;2629;4721;64827
"Campo Grande";6099;5700;5783;6728;6834;7607;8714;9317;8446;8170;7650;6683;5340;4029;2877;4269;104246
"Campo Limpo";16823;15019;15609;18425;17242;19806;20921;20004;17306;14671;12134;10669;8178;5804;3607;4451;220669
"Cangaíba";9967;7956;8714;10615;10558;12186;12098;10877;9915;9407;8868;7706;6064;4522;3252;4451;137156
"Capão Redondo";22971;19321;21141;24612;23315;26124;26641;24435;21151;18604;15177;12881;10201;7211;4491;4647;282923
"Carrão";4528;4000;4361;5235;5532;6487;6891;6796;6244;5903;6186;5565;4698;3886;2859;5264;84435
"Casa Verde";5852;4580;4810;5568;5677;7224;7691;7178;6046;5564;5623;5302;4435;3444;2558;4449;86001
"Cidade Ademar";22016;17992;19099;22257;22095;25545;25651;24008;20644;18187;15302;13500;10724;8022;5362;6666;277070
"Cidade Dutra";14577;12257;13643;16178;15757;17632;17651;16665;14726;13620;11891;10600;8407;6431;4075;4833;198943
"Cidade Líder";9369;8165;8989;10412;10518;11600;11995;11200;9872;8780;7830;7041;5652;4191;2658;2883;131155
"Cidade Tiradentes";17913;16678;19217;22057;20485;20113;19989;17998;15547;13426;11693;10173;7776;4838;2769;2564;223236
"Consolação";2239;1634;1641;1922;3234;6702;6582;5130;3979;3568;3967;3834;3372;2922;2154;4591;57471
"Cursino";6876;5827;5857;6561;7153;8800;9962;9479;8106;7637;7735;7443;6109;4613;3337;6308;111803
"Ermelino Matarazzo";8586;7555;7991;9379;9246;10495;10498;9609;8617;8007;6937;6046;4912;3430;2216;2947;116471
"Freguesia do Ó";9312;7348;8012;9848;9863;11727;12575;11701;10139;9654;9593;9142;7171;5355;3627;6188;141255
"Grajaú";31873;26717;29882;35511;33416;34223;33851;30649;27392;25049;20422;16571;12233;8353;4696;4629;375467
"Guaianases";8820;7365;8306;9694;9559;9560;9307;8533;7556;6912;5797;4975;3882;2659;1672;1936;106533
"Iguatemi";11784;9888;11252;13285;12854;12608;12035;10641;9869;9377;7801;6244;4637;3034;1826;1767;138902
"Ipiranga";6732;5642;5792;6643;7171;8737;9827;9340;8413;7676;7383;6797;5656;4399;3187;6428;109823
"Itaim Bibi";5273;4223;3319;3395;4330;6599;9634;10263;8240;6404;6452;6319;5906;4828;3554;6811;95550
"Itaim Paulista";18146;15895;17654;21413;20672;20746;19933;17808;16079;15325;13061;10942;8127;5714;3656;4009;229180
"Itaquera";15624;13458;14665;17732;16664;17742;17918;17305;15814;14400;12204;10488;8418;6217;4264;5129;208042
"Jabaquara";15337;13032;13271;15715;15634;19050;20936;20160;17029;15858;14780;13008;10448;7635;5760;8995;226648
"Jaçanã";6205;5989;6540;7580;7272;8251;8593;8002;6755;6031;5668;5285;4252;3262;2227;3521;95433
"Jaguara";1478;1217;1332;1521;1547;1985;2177;2040;1742;1625;1634;1595;1347;1111;757;1292;24400
"Jaguaré";3691;3229;3424;3792;3845;4524;5220;4927;4141;3477;3098;2531;2086;1666;1238;1856;52745
"Jaraguá";15747;13295;15361;18324;17139;17674;17789;16699;14868;13339;11598;9857;7197;4888;3037;3258;200070
"Jardim Ângela";27114;24300;26112;30328;27789;28528;29028;26978;24079;20898;15626;12915;9685;6509;3836;3934;317659
"Jardim Helena";11704;9371;10249;12467;11947;12084;11709;10575;9469;8737;7218;6064;4637;3381;2199;2528;134339
"Jardim Paulista";4360;3283;2868;3108;3895;6861;9544;9156;6941;6005;6126;6120;5767;4922;3822;7268;90046
"Jardim São Luís";22056;18375;20220;23512;22474;25957;26942;24758;21628;18896;15651;13348;10410;7361;4592;5300;281480
"José Bonifácio";8508;8691;9453;11002;10190;10804;12179;12123;9815;8412;7162;6684;6167;4521;2558;2853;131122
"Lajeado";14228;12245;13256;16420;15610;15715;14533;13087;12276;10901;8891;7566;5598;3849;2377;2662;169214
