População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2008
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Cidade Líder";8777;9362;10505;10560;11567;11943;11264;9983;8975;7984;7061;5582;4208;2828;1864;2215;124678
"Cidade Tiradentes";18072;19796;21760;20068;19553;19681;18127;15854;13889;11952;9927;7306;4707;2850;1712;1738;206992
"Consolação";1703;1693;1938;3171;6400;6297;4966;4045;3690;3986;3842;3354;2936;2325;2081;4464;56891
"Cursino";5967;5957;6713;7317;8890;9745;9248;8239;7791;7660;7170;5857;4774;3681;3334;5327;107670
"Ermelino Matarazzo";8243;8467;9613;9451;10660;10730;9957;8976;8227;7126;6054;4868;3563;2445;1833;2367;112580
"Freguesia do Ó";8276;8784;10430;10539;12298;12993;12303;11014;10481;10072;9314;7311;5792;4244;3651;5480;142982
"Grajaú";29623;31679;35674;33818;34866;34941;31926;28338;25496;20643;16501;11955;8268;4945;3084;3386;355143
"Guaianases";8291;8966;9996;9803;9889;9710;8953;7918;7192;6054;5054;3911;2799;1842;1282;1531;103191
"Iguatemi";10158;11062;12377;11824;11702;11440;10423;9599;8959;7388;5875;4321;2915;1846;1122;1219;122230
"Ipiranga";5787;5852;6544;7105;8684;9608;9050;8284;7652;7276;6615;5460;4535;3518;3208;6026;105204
"Itaim Bibi";4054;3303;3417;4306;6498;9004;9261;7884;6399;6420;6208;5658;4655;3722;3017;6411;90217
"Itaim Paulista";17836;19144;22069;21233;21142;20683;18840;16968;15863;13381;11050;8168;5958;4011;2684;2984;222014
"Itaquera";15137;15912;18318;17352;18504;18859;18190;16577;14945;12689;10820;8607;6606;4716;3394;3931;204557
"Jabaquara";14133;14107;16193;16229;19432;21241;20595;17867;16498;15003;13019;10483;8114;6353;5112;7722;222101
"Jaçanã";6516;6891;7707;7537;8444;8695;8106;7084;6365;5869;5399;4321;3532;2566;2156;3030;94218
"Jaguara";1342;1448;1636;1699;2108;2253;2103;1880;1768;1752;1690;1397;1185;885;734;1197;25077
"Jaguaré";3311;3392;3632;3713;4429;5010;4715;3983;3348;2971;2468;2062;1691;1283;1027;1410;48445
"Jaraguá";13615;14934;17013;15763;16439;16775;15966;14400;12880;11101;9315;6782;4733;3097;2098;2286;177197
"Jardim Ângela";25206;25985;28771;26858;28152;28847;26498;23173;19997;15141;12346;9068;6264;3825;2497;2651;285279
"Jardim Helena";11078;11644;13336;12831;13035;12786;11684;10481;9483;7828;6520;4963;3765;2545;1828;2001;135808
"Jardim Paulista";3210;2865;3095;3929;6907;9086;8463;6803;6050;6183;6157;5689;4880;3958;3240;7140;87655
"Jardim São Luís";19749;20767;23281;22458;25627;26763;24774;21684;18882;15621;13139;10074;7386;4848;3342;3894;262289
"José Bonifácio";8790;9211;10435;10010;10818;11657;11264;9342;8357;7388;6763;5835;4355;2621;1806;2000;120652
"Lajeado";13809;14478;16842;15876;16006;15200;13869;12805;11229;9114;7604;5623;4018;2621;1792;2053;162939
"Lapa";2939;2846;3093;3492;4623;5420;5502;4993;4734;4829;4537;3896;3333;2778;2563;5078;64656
"Liberdade";3169;2957;3273;4142;6243;7389;6586;5597;4870;4534;4354;3678;3106;2272;1975;3530;67675
"Limão";5017;5201;5839;6098;7347;7376;6892;6146;5654;5309;4953;4088;3290;2367;2010;3077;80664
"Mandaqui";5990;6337;7475;7679;8890;9233;9162;8871;8395;7888;6913;5428;4474;3444;2748;3962;106889
"Marsilac";678;746;938;790;729;622;618;523;573;502;451;345;269;191;135;152;8262
"Moema";3656;3202;3446;3944;5617;7268;7778;7114;6117;6335;6045;5352;4332;3074;2597;5062;80939
"Moóca";3572;3425;3826;4428;5630;6176;6151;5854;5564;5340;4928;4165;3435;2914;2674;5135;73217
"Morumbi";2559;2710;3001;2963;3549;3884;3947;3675;3461;3207;2876;2407;1983;1491;1160;1759;44632
"Parelheiros";10838;11851;13425;12285;11697;11558;11004;9941;8951;7065;5796;4091;2880;1809;1140;1265;125596
"Pari";1040;1028;1099;1222;1619;1591;1347;1226;1151;1049;915;728;695;532;555;972;16769
"Parque do Carmo";5079;5436;5971;5774;6338;6542;6090;5371;4796;4035;3553;2760;2146;1392;994;1233;67510
"Pedreira";11429;11815;13382;12811;13725;13626;12949;11316;10173;8241;6924;5067;3605;2335;1535;1889;140822
"Penha";6972;7265;8269;8780;10509;11080;10354;9586;9321;9012;8197;6805;5843;4576;4106;6503;127178
"Perdizes";4732;4685;4906;5875;8921;10452;10106;8516;7908;8031;7955;6953;5871;4234;3511;6903;109559
"Perus";6362;6765;7685;7122;7496;7150;7000;6375;5767;4603;3737;2748;2063;1352;958;1152;78335
"Pinheiros";2603;2413;2627;3104;4789;6519;6204;5175;4673;4767;4464;4054;3358;2740;2410;5055;64955
"Pirituba";10682;10928;12515;12683;14503;15404;14606;13035;12434;11571;10284;8147;6414;4726;3731;5237;166900
"Ponte Rasa";5908;6232;7319;7305;8322;8569;7772;7073;6926;6521;6022;4776;3821;2864;2351;3137;94918
"Raposo Tavares";7290;7845;8285;8310;9065;9861;9475;8067;6998;5870;5092;4075;3087;2082;1319;1594;98315
"República";2430;2116;2236;2907;5580;6715;5878;4951;4406;3879;3511;2872;2337;1735;1354;2218;55125
"Rio Pequeno";7728;8036;8863;8968;10797;11551;10771;9432;8669;7807;6727;5212;4163;2975;2356;3104;117159
"Sacomã";16300;16797;18545;18808;21812;23800;22443;19863;18003;16240;13874;10946;8402;6202;5047;7084;244166
"Santa Cecília";3595;3325;3699;4494;7272;8647;7722;6559;6131;5747;5359;4564;3793;2975;2535;4920;81337
"Santana";5220;5394;6522;7330;9987;10823;9836;8889;8752;9045;8551;7346;6005;4617;4192;7457;119966
"Santo Amaro";3156;3237;3586;3918;4906;5559;5680;5536;5173;5286;4946;4434;3819;3119;2559;4607;69521
"São Domingos";5501;5625;6280;6384;7412;7865;7375;6647;6312;5729;5031;4054;3331;2490;1941;2485;84462
"São Lucas";8486;8707;9689;10135;12012;12701;11904;10946;10322;10298;8865;7344;6071;4742;4140;5639;142001
"São Mateus";10758;11509;13429;12999;14261;14598;13285;12218;11249;10084;8764;6791;5316;3857;2930;3454;155502
"São Miguel";6388;6714;7958;7799;8630;8309;7578;7078;6815;6085;5239;4074;3254;2614;2054;2838;93427
"São Rafael";11590;12640;13788;12875;12974;13060;12378;11305;9991;8226;6499;4986;3740;2578;1669;1788;140087
"Sapopemba";20384;21779;24715;24493;26783;26641;24221;21913;20231;18306;15800;12282;9553;6564;4865;5502;284032
"Saúde";5655;5461;5999;6904;9722;12229;11916;10182;9602;9466;9230;7870;6450;5210;4373;8184;128453
"Sé";1236;1374;1509;1641;2493;2625;2395;2280;1820;1404;1176;852;650;516;380;517;22868
"Socorro";1822;2064;2311;2521;3030;3358;3098;2942;2743;2785;2555;2253;1911;1605;1229;1930;38157
"Tatuapé";4023;4339;5000;5515;6734;7395;7262;7037;6884;7076;6252;5237;4214;3434;3130;5682;89214
"Tremembé";13733;14438;16643;16330;17426;17612;16377;15245;13825;11975;10249;8088;6184;4377;3316;4641;190459
"Tucuruvi";4751;4963;5772;6430;8174;8665;8022;7163;6991;7058;6883;5974;4823;3875;3443;5765;98752
"Vila Andrade";9886;9740;10067;9321;11316;11838;11711;10478;8663;7047;5369;3732;2674;1709;1165;1445;116161
"Vila Curuçá";11415;12484;14419;13769;13759;13863;12556;11793;10513;8845;7282;5702;4415;3087;2210;2647;148759
"Vila Formosa";5062;5395;6400;6674;7846;8017;7416;6891;6837;6977;6396;5341;4356;3388;2938;4656;94590
"Vila Guilherme";2894;3021;3402;3533;4466;4874;4603;4113;3721;3592;3406;2882;2396;1925;1685;2859;53372
"Vila Jacuí";11188;11670;13361;12864;13781;13597;12360;11022;10090;8845;7403;5511;3870;2587;1836;2217;142202
"Vila Leopoldina";2203;2012;2136;2253;2858;3438;3821;3652;2948;2763;2202;1732;1363;1027;898;1592;36898
"Vila Maria";7684;7998;8790;9032;10727;11127;9780;8588;7777;7062;6228;4958;3990;3035;2650;4132;113558
"Vila Mariana";5012;4817;5334;6871;10796;13290;11814;9654;8971;9475;9308;8398;6891;5182;4329;9066;129208
"Vila Matilde";6057;6325;7320;7579;8758;9126;8678;7968;7649;7313;6635;5638;4466;3579;2965;4589;104645
"Vila Medeiros";8250;8448;9683;10077;11977;12074;10736;9639;9124;8681;8155;6553;5445;4219;3592;5391;132044
"Vila Prudente";5663;5678;6550;6991;8794;9321;8798;7827;7498;7486;6827;5676;4695;3733;3197;5099;103833
"Vila Sônia";6645;6739;7286;7739;9316;10054;9670;8420;7607;6773;6106;5035;4048;2963;2296;3603;104300
"Total";744535;774702;874102;873313;1001587;1051857;985432;877933;799015;718331;630862;505664;396071;288574;227873;343895;11093746
Fonte: Fundação SEADE, 1996 a 2023
