População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2008
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4138;4286;4914;5403;6533;6960;7018;6421;6069;6320;5882;4940;4269;3457;3120;5459;85189
"Alto de Pinheiros";1793;1856;2126;2500;3180;3319;3509;3171;3100;3428;3140;2878;2528;2026;1798;3023;43375
"Anhanguera";5066;5323;6074;5538;5706;5650;5671;5474;4940;3730;2632;1790;1076;638;404;490;60202
"Aricanduva";5461;5824;6768;6732;7705;7980;7375;6978;6669;6121;5644;4648;3979;3083;2527;3254;90748
"Artur Alvim";6587;6760;7877;8059;9379;9966;9356;8358;7321;7092;6405;5539;4560;3426;2618;3345;106648
"Barra Funda";720;692;691;795;1189;1392;1310;1164;935;921;895;755;675;494;441;1001;14070
"Bela Vista";2790;2482;2709;3594;6929;8778;7341;5616;4856;4498;4219;3676;3041;2267;1898;3635;68329
"Belém";2547;2350;2576;2761;3950;4432;3950;3357;2930;2919;2564;2256;1808;1444;1370;2660;43874
"Bom Retiro";2096;2013;2142;2268;3245;3393;3057;2437;2217;1974;1738;1472;1151;886;873;1359;32321
"Brás";1772;1763;1877;2035;2931;3132;2838;2460;2093;1795;1576;1200;924;685;506;837;28424
"Brasilândia";21198;22668;25479;23810;25060;24909;22650;20106;18269;15158;12582;9497;7269;4932;3641;4567;261795
"Butantã";2419;2407;2685;3163;4752;5499;4889;4119;3771;3728;3540;3189;2715;2119;1864;3127;53986
"Cachoeirinha";10965;11455;12699;12545;13510;13837;12782;11053;10148;8901;7687;5737;4380;3028;2323;3152;144202
"Cambuci";2039;1897;2030;2110;2805;3201;3222;2918;2556;2383;2222;1854;1509;1251;1164;2145;35306
"Campo Belo";3250;3137;3300;3516;4943;5730;5739;5332;4713;4699;4485;4114;3462;2852;2456;4148;65876
"Campo Grande";5796;5860;6694;6824;7685;8616;9127;8511;8113;7470;6433;5131;4014;2983;2331;3330;98918
"Campo Limpo";16116;16208;18365;17350;19780;20890;19926;17402;14834;12240;10495;7946;5822;3837;2765;3326;207302
"Cangaíba";8976;9524;11201;11097;12549;12645;11599;10768;10051;9226;7936;6258;4854;3663;2726;3771;136844
"Capão Redondo";20699;21771;24448;23260;25945;26488;24428;21208;18610;15262;12781;9931;7174;4616;2910;3406;262937
"Carrão";4157;4442;5250;5523;6428;6780;6659;6326;5959;6058;5464;4647;4044;3169;2812;4663;82381
"Casa Verde";4910;5054;5776;5991;7391;7729;7265;6379;5935;5837;5400;4508;3724;2913;2548;3990;85350
"Cidade Ademar";19397;19945;22507;22396;25559;25718;24183;20939;18419;15527;13527;10703;8256;5764;4099;5152;262091
"Cidade Dutra";13730;14754;16953;16632;18372;18374;17366;15570;14308;12378;10880;8440;6568;4374;3035;3786;195520
