População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2023
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4033;4452;4299;3869;4413;5024;5548;6252;6523;6203;5559;5470;5455;4742;3752;6069;81663
"Alto de Pinheiros";1427;1600;1681;1701;1904;2219;2566;2886;3079;3099;2810;2926;3024;2715;2358;4204;40199
"Anhanguera";6044;5926;5736;6111;7586;8477;7937;7360;6718;6404;6099;5171;3756;2531;1524;1297;88677
"Aricanduva";4625;4895;4840;4773;5660;6246;6287;6804;6685;6123;5767;5419;4927;4228;3327;4897;85503
"Artur Alvim";5363;5752;5741;5626;6497;7252;7425;8210;8382;7627;6564;5848;5399;4678;3776;5055;99195
"Barra Funda";907;1015;967;839;889;953;1139;1459;1574;1430;1156;964;926;818;671;1101;16808
"Bela Vista";3444;4063;3591;2718;2743;3226;4837;7892;8575;6804;5300;4611;4218;3793;3113;4580;73508
"Belém";3365;3945;3513;2570;2619;2768;3221;4275;4486;3816;3110;2800;2628;2251;1766;2743;49876
"Bom Retiro";2633;2904;2714;2274;2443;2632;3016;3668;3586;3011;2436;2158;1873;1568;1185;1755;39856
"Brás";2374;2692;2351;1738;1966;2190;2585;3185;3089;2646;2181;1834;1590;1293;919;1137;33770
"Brasilândia";22060;22681;20874;19282;23168;24746;23134;22943;21510;19065;17030;14931;12136;9377;6633;7463;287033
"Butantã";2371;2651;2574;2310;2538;2903;3683;4973;5189;4377;3666;3410;3277;2992;2520;3990;53424
"Cachoeirinha";10236;10819;10296;9527;11023;11915;11706;12085;11710;10302;8984;8104;7038;5605;3926;4545;147821
"Cambuci";2257;2488;2465;2247;2380;2514;2732;3326;3615;3415;2941;2542;2316;2000;1522;2431;41191
"Campo Belo";2833;3234;3264;2988;3123;3267;3699;4756;5329;5205;4624;4234;4107;3750;3161;5320;62894
"Campo Grande";5211;5760;5977;5909;6500;7011;7134;7953;8878;8856;8198;7745;6912;5663;4244;5710;107661
"Campo Limpo";15249;15939;15636;15205;17447;18815;18325;19614;19659;17932;15255;12638;10478;8445;5972;6448;233057
"Cangaíba";8703;9188;8674;8007;9560;10723;10867;11483;10838;9731;8941;8365;7476;6036;4424;5636;138652
"Capão Redondo";21234;21979;20920;20034;23610;25395;24663;25599;24670;21942;18943;15948;12918;10315;7416;7526;303112
"Carrão";3952;4325;4337;4266;4957;5539;5895;6569;6782;6466;5965;5800;5589;4738;3781;5892;84853
"Casa Verde";4946;5376;5121;4607;5262;5787;6181;7091;7098;6311;5456;5151;4960;4310;3325;4889;85871
"Cidade Ademar";19742;20686;19623;18215;21024;22979;23250;24561;23699;21308;18340;15658;13133;10754;7912;9259;290143
"Cidade Dutra";12985;13602;13065;12564;15003;16420;16223;16838;16290;14903;13302;11885;10248;8443;6269;7070;205110
"Cidade Líder";8571;8937;8671;8508;10050;11059;11080;11463;11195;10129;8872;7781;6789;5625;4142;4405;137277
"Cidade Tiradentes";17935;17701;17033;17725;21435;22687;20658;19567;18380;16119;13768;11736;9961;7930;5279;4494;242408
"Consolação";2158;2327;2012;1707;1872;2480;4386;6669;5983;4646;3804;3685;3804;3457;2915;5171;57076
"Cursino";5787;6477;6475;5998;6442;6982;7734;9131;9660;8781;7762;7446;7243;6353;4830;7234;114335
"Ermelino Matarazzo";7636;8004;7829;7588;8744;9554;9563;10008;9550;8615;7771;6932;5886;4816;3487;3889;119872
"Freguesia do Ó";7914;8517;8075;7389;8834;9985;10275;11388;11437;10265;9152;8762;8387;7157;5228;6971;139736
