População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2018
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4563;4389;3865;4272;4944;5653;6438;6740;6429;5800;5756;5820;5179;4232;3277;5770;83127
"Alto de Pinheiros";1642;1718;1702;1847;2193;2617;2969;3169;3190;2900;3028;3153;2876;2546;2080;3791;41421
"Anhanguera";5858;5588;5702;6824;7877;7700;7235;6650;6379;6129;5263;3887;2683;1672;936;886;81269
"Aricanduva";5070;5003;4829;5563;6255;6494;7086;6976;6418;6074;5757;5298;4646;3775;2945;4312;86501
"Artur Alvim";6004;5986;5755;6459;7348;7753;8629;8845;8086;7003;6302;5891;5220;4364;3285;4379;101309
"Barra Funda";985;919;749;755;833;1058;1393;1522;1393;1134;956;935;848;717;554;994;15745
"Bela Vista";4052;3563;2640;2624;3175;4866;7917;8613;6848;5354;4703;4364;3997;3384;2513;4001;72614
"Belém";3951;3500;2511;2530;2752;3265;4319;4533;3873;3174;2889;2760;2421;1966;1408;2638;48490
"Bom Retiro";2893;2682;2186;2297;2547;3011;3672;3592;3028;2466;2209;1944;1667;1300;919;1611;38024
"Brás";2722;2366;1708;1853;2100;2583;3228;3154;2711;2250;1915;1684;1403;1032;717;952;32378
"Brasilândia";23418;21493;19445;22679;24654;23810;23863;22475;20025;18013;15965;13196;10474;7708;5243;6120;278581
"Butantã";2697;2606;2285;2421;2812;3710;5064;5305;4492;3782;3545;3450;3212;2787;2158;3644;53970
"Cachoeirinha";11204;10638;9646;10841;11940;12102;12610;12261;10845;9522;8677;7654;6259;4557;3088;3844;145688
"Cambuci";2473;2427;2144;2209;2399;2704;3310;3614;3429;2969;2601;2410;2129;1678;1258;2295;40049
"Campo Belo";3315;3332;2985;3024;3217;3770;4889;5499;5373;4795;4418;4335;4030;3496;2802;4900;64180
"Campo Grande";5758;5949;5761;6246;6935;7200;7998;8925;8946;8301;7911;7161;5982;4615;3347;4699;105734
"Campo Limpo";16273;15903;15109;16753;18358;18535;20102;20230;18550;15876;13285;11182;9222;6753;4448;5006;225585
"Cangaíba";9489;8938;8080;9363;10696;11191;11938;11305;10192;9421;8888;8061;6667;5063;3640;4805;137737
"Capão Redondo";22405;21234;19868;22608;24704;24885;26195;25379;22685;19704;16768;13794;11278;8406;5522;5508;290943
"Carrão";4324;4318;4160;4773;5483;5955;6617;6837;6543;6068;5961;5836;5066;4179;3232;5383;84735
"Casa Verde";5514;5232;4605;5101;5704;6305;7311;7343;6558;5709;5440;5316;4732;3784;2825;4530;86009
"Cidade Ademar";21195;20034;18184;20321;22591;23659;25286;24508;22132;19167;16530;14075;11802;9007;6297;7436;282224
"Cidade Dutra";13988;13390;12595;14586;16246;16592;17386;16891;15510;13926;12555;10980;9264;7127;4950;5476;201462
"Cidade Líder";9095;8783;8418;9594;10725;11154;11707;11510;10468;9231;8190;7271;6180;4727;3219;3334;133606
"Cidade Tiradentes";18020;17258;17537;20464;21995;20785;20006;18915;16693;14362;12394;10706;8745;6056;3557;3117;230610
"Consolação";2318;1995;1661;1796;2448;4414;6696;5999;4668;3833;3740;3910;3612;3126;2497;4724;57437
"Cursino";6479;6450;5864;6221;6938;7826;9199;9746;8874;7877;7622;7520;6728;5275;3840;6504;112963
"Ermelino Matarazzo";8234;8024;7605;8501;9452;9782;10348;9910;8982;8150;7344;6334;5314;3999;2642;3200;117821
"Freguesia do Ó";8788;8311;7447;8637;9944;10571;11821;11923;10746;9640;9309;9041;7903;5984;4206;6290;140561
"Grajaú";31001;29224;27513;31955;35152;33912;33514;31766;28593;25717;22403;18069;13990;9824;6081;5489;384203
"Guaianases";8614;8060;7590;8798;9747;9576;9286;8766;7910;7076;6231;5231;4279;3114;2007;2164;108449
"Iguatemi";11913;11022;10506;12337;13626;13068;12409;11441;10292;9604;8612;6989;5360;3718;2292;2128;145317
"Ipiranga";6397;6293;5742;6248;7065;7888;9154;9628;8942;8082;7512;7050;6173;4931;3658;6502;111265
"Itaim Bibi";4874;4871;3890;3455;3916;5281;7751;9967;9467;7495;6455;6393;6097;5344;4124;7181;96561
"Itaim Paulista";17668;16882;16253;18950;21319;20734;20041;18568;16616;15286;13894;11667;9224;6588;4355;4575;232620
"Itaquera";14970;14462;13690;15762;17497;17137;17499;17245;16270;14808;13059;11042;9147;6982;4884;5704;210158
