População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2020
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4345;4772;3754;4017;4790;5225;6174;6605;6669;5833;5490;5832;5400;4420;3484;5754;82564
"Alto de Pinheiros";1559;1719;1670;1739;2063;2407;2882;2994;3339;2876;2830;3220;2909;2648;2207;3900;40962
"Anhanguera";5992;5732;5538;6456;8316;7948;7617;6852;6441;6311;5836;4412;3099;2030;1132;1007;84719
"Aricanduva";4871;5150;4560;5126;6299;6074;6829;7084;6441;6010;5786;5295;4860;3896;3127;4460;85868
"Artur Alvim";5754;6098;5525;5930;7316;7213;8179;8828;8330;7233;6202;5937;5291;4542;3516;4568;100462
"Barra Funda";948;1055;773;778;823;942;1317;1560;1491;1270;959;941;898;739;630;991;16115
"Bela Vista";3907;4211;2740;2525;2854;3722;7067;9175;7647;5657;4789;4395;4093;3582;2794;4077;73235
"Belém";3723;4269;2577;2449;2722;2790;4017;4704;4190;3354;2831;2849;2469;2155;1514;2600;49213
"Bom Retiro";2779;3068;2205;2236;2536;2653;3617;3732;3364;2557;2292;2024;1746;1449;996;1623;38877
"Brás";2547;2941;1669;1779;2055;2241;3139;3273;2887;2376;1985;1714;1523;1126;793;997;33045
"Brasilândia";22878;23337;18211;21086;25520;23241;23651;23015;20576;18113;16723;13745;11284;8276;5884;6437;281977
"Butantã";2580;2817;2262;2328;2660;3127;4697;5525;4835;3887;3491;3453;3243;2918;2322;3691;53836
"Cachoeirinha";10788;11360;9187;10129;12025;11618;12246;12461;11300;9558;8823;7786;6763;4915;3452;3976;146387
"Cambuci";2390;2624;2195;2183;2451;2472;3131;3620;3605;3170;2664;2447;2254;1827;1329;2305;40667
"Campo Belo";3131;3512;2989;2965;3185;3286;4500;5349;5503;4996;4324;4347;4066;3671;2913;5007;63744
"Campo Grande";5531;6102;5731;5932;6984;6907;7534;8659;9257;8371;8064;7481;6439;5041;3692;4997;106722
"Campo Limpo";15881;16456;14739;15681;19074;17635;19515;20356;19378;16688;14065;11509;9966;7452;5100;5398;228893
"Cangaíba";9166;9627;7663;8591;10758;10520;11778;11585;10360;9407;8875;8288;7088;5445;3913;5043;138107
"Capão Redondo";21987;22527;19006;21305;25588;23964;25836;25985;23711;20420;17860;14401;12027;9288;6322;6151;296378
"Carrão";4188;4531;4024;4481;5442;5600;6431;6842;6741;6172;5803;6014;5321;4380;3502;5453;84925
"Casa Verde";5288;5699;4461;4801;5704;5728;7050;7430;6909;5795;5301;5309;4931;4018;3009;4571;86004
"Cidade Ademar";20624;21447;17552;19080;22856;22362;24985;24814;23132;19803;17348;14438;12554;9710;6992;7980;285677
"Cidade Dutra";13580;14154;11910;13581;16527;15849;17168;17019;16019;14100;12977;11216;9860;7615;5620;5936;203131
"Cidade Líder";8904;9193;8041;9068;10840;10815;11479;11711;10866;9526;8417;7413;6548;5113;3648;3665;135247
"Cidade Tiradentes";18050;17590;16451;19415;23000;21128;19956;19521;17459;14984;12845;11047;9435;7018;4192;3539;235630
"Consolação";2340;2247;1651;1692;2006;3284;6666;6570;5122;3964;3543;3907;3729;3224;2716;4744;57405
"Cursino";6212;6875;5853;5990;6779;7198;8698;9888;9403;8021;7522;7551;7159;5754;4205;6620;113728
"Ermelino Matarazzo";7995;8325;7342;7946;9569;9290;10209;10108;9218;8232;7608;6520;5593;4424;2964;3372;118715
"Freguesia do Ó";8433;8986;7071;7892;9966;9809;11311;12026;11141;9602;9092;8949;8408;6428;4628;6341;140083
"Grajaú";30360;30894;25927;29705;36191;33520;33226;32554;29357;26088;23728;19108;15243;10933;7152;6110;390096
"Guaianases";8466;8532;7129;8230;9838;9544;9250;8914;8140;7174;6519;5399;4558;3451;2261;2325;109730
"Iguatemi";11975;11809;10010;11714;14114;13310;12628;11992;10560;9738;9170;7516;5893;4246;2660;2404;149739
"Ipiranga";6173;6747;5697;5986;6978;7331;8709;9792;9295;8347;7576;7209;6532;5311;4001;6538;112222
"Itaim Bibi";4591;5310;4288;3467;3634;4503;6649;9682;10304;8260;6400;6392;6179;5674;4518;7378;97229
"Itaim Paulista";17320;17511;15341;17427;21710;20616;20057;19068;16946;15226;14435;12149;10012;7228;4882;4984;234912
"Itaquera";14523;15123;13045;14543;18020;16663;17193;17188;16548;15057;13622;11407;9649;7529;5335;6110;211555
"Jabaquara";13863;14965;12740;13280;16185;15874;18678;20313;19494;16395;15198;14033;12179;9549;6747;9853;229346
"Jaçanã";5846;6021;5830;6512;7745;7317;8034;8280;7684;6454;5727;5328;4892;3828;2825;3731;96054
"Jaguara";1318;1430;1172;1314;1539;1538;1916;2084;1946;1651;1532;1529;1472;1213;966;1330;23950
