População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2001
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4752;4890;5762;6776;7384;6749;6524;6790;6339;5880;5095;4053;3942;3582;3225;4257;86000
"Alto de Pinheiros";1873;2070;2470;3129;4134;3815;3322;3469;3309;3290;2994;2565;2398;1840;1533;2197;44408
"Anhanguera";4546;4299;4177;3775;3730;4010;4362;3663;2806;1957;1252;831;516;321;235;267;40747
"Aricanduva";6977;6809;7724;8614;8918;8203;7590;7350;6709;5875;5126;4041;3613;2781;2006;2180;94516
"Artur Alvim";8160;7786;8825;10281;11162;10054;8818;8348;7561;7322;6316;4920;4062;3027;2216;2194;111052
"Barra Funda";697;692;789;979;1276;1194;977;960;943;835;794;629;546;481;489;855;13136
"Bela Vista";3079;2691;2967;4156;6799;7315;6180;5264;4818;4352;3821;2882;2419;2131;1998;3107;63979
"Belém";2480;2286;2624;3158;3651;3314;2970;3057;2923;2623;2165;1688;1724;1590;1548;2306;40107
"Bom Retiro";1925;1768;1843;2153;2742;2636;2268;2086;1906;1625;1381;1095;1089;862;822;1144;27345
"Brás";2004;1761;1731;2030;2552;2495;2322;2313;2028;1584;1202;879;730;650;575;780;25636
"Brasilândia";26492;23902;24267;25303;25213;23577;21581;19028;15818;12554;9773;6902;5393;3894;2759;3104;249560
"Butantã";2666;2632;3234;4162;5049;4788;4233;4101;3932;3716;3386;2708;2410;1997;1650;2305;52969
"Cachoeirinha";14214;13520;13738;14776;14501;13507;12774;11445;10012;8020;6185;4286;3501;2668;2012;2271;147430
"Cambuci";1768;1569;1825;2285;2635;2395;2334;2242;2171;1953;1689;1343;1300;1136;1171;1738;29554
"Campo Belo";3551;3444;3933;4938;6334;5897;5205;5187;4792;4518;4313;3728;3214;2507;2170;3019;66750
"Campo Grande";6075;6201;7083;7764;8199;7897;8170;8425;7549;6443;5092;3818;3139;2380;1848;2250;92333
"Campo Limpo";18582;16992;17932;19462;20300;19101;17359;15439;13258;10596;8023;5467;4085;2860;2026;2221;193703
"Cangaíba";11345;10959;12209;12866;12739;12307;11733;11489;10023;8211;6558;4912;3995;3111;2405;2608;137470
"Capão Redondo";23742;22246;23627;25450;26275;23979;21557;18618;15985;13030;10016;6824;4827;3024;1941;2304;243445
"Carrão";4752;4841;5800;6417;6486;6185;6001;6377;5870;5232;4560;3744;3553;3040;2582;3415;78855
"Casa Verde";5503;5403;6336;7606;7881;7006;6519;6538;6255;5491;4575;3578;3328;2719;2396;2911;84045
"Cidade Ademar";22357;21030;22753;25139;25701;23345;21507;18853;16299;13494;10888;7956;6191;4397;3055;3423;246388
"Cidade Dutra";17001;16426;18114;19730;19545;17674;16326;15192;13542;11066;8964;6058;4592;3148;2266;2586;192230
"Cidade Líder";10216;9995;10753;11876;11948;10878;10159;9017;8293;7122;5693;3973;2874;2036;1405;1583;117821
"Cidade Tiradentes";21612;20317;20550;20628;18530;17216;16360;14648;13220;10605;7151;4297;2828;1791;1117;1010;191880
"Consolação";1982;1950;2238;3561;5784;5292;4384;4250;4101;3934;3642;2942;2490;2273;2213;3910;54946
"Cursino";6419;6371;7721;8759;9169;8510;8113;8373;7963;6924;5679;4309;4236;3650;3048;3719;102963
"Ermelino Matarazzo";9639;9118;9891;10480;10819;10066;9465;8612;7453;6283;4712;3426;2660;1935;1429;1621;107609
"Freguesia do Ó";10501;10319;11653;13131;13456;12335;12015;11861;11140;9329;7508;5544;4939;4118;3357;3904;145110
"Grajaú";36201;33834;33761;35787;35500;33229;30258;26011;21810;16760;12208;7719;5056;3214;2101;2173;335622
"Guaianases";10355;9864;9957;10391;10132;9290;8455;7327;6415;5279;3843;2692;2014;1326;924;1035;99299
"Iguatemi";11019;10661;10853;11034;10045;9421;9327;8245;7055;5460;4013;2627;1760;1125;667;725;104037
"Ipiranga";6368;6247;6860;8123;8977;8666;7918;7665;7317;6534;5477;4130;3972;3483;3343;4696;99776
"Itaim Bibi";3605;3475;4157;5658;7232;7338;6612;6883;6466;6251;5602;4442;3485;3364;3273;4903;82746
"Itaim Paulista";22201;21484;22218;22826;20723;19605;18476;16256;14071;11096;8357;5683;4264;2937;1854;2009;214060
"Itaquera";19196;18095;18816;19797;19943;18981;17645;15705;13486;11178;8890;6447;5098;3582;2460;2665;201984
"Jabaquara";16421;15552;17222;19235;20322;19721;19004;17918;15983;13096;10468;8052;6961;5476;4539;5481;215451
"Jaçanã";7680;7403;7826;8864;8915;7973;7211;7031;6377;5373;4551;3360;3099;2409;1855;2361;92288
"Jaguara";1587;1650;1920;2297;2406;2146;1916;1979;1895;1740;1550;1135;974;884;733;884;25696
"Jaguaré";3580;3330;3429;3899;4352;4208;3918;3366;2827;2420;2064;1708;1431;1037;808;927;43304
"Jaraguá";14567;13882;14885;15251;14626;13591;13138;12175;10529;8477;6410;4269;2926;1951;1357;1403;149437
"Jardim Ângela";27674;25256;25074;26366;26672;26038;23130;18737;15611;12048;8938;5681;3899;2331;1561;1588;250604
