População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2001
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Jardim Helena";14688;13850;14034;14545;13918;13068;11943;10442;8725;6914;5367;3750;2967;1947;1402;1398;138958
"Jardim Paulista";3032;3007;3515;5153;7865;7737;6501;6431;6270;6348;6038;4970;4050;3460;3532;6398;84307
"Jardim São Luís";22979;21079;22350;24957;25656;24289;22049;19129;16232;13061;10057;6821;5169;3529;2387;2568;242312
"José Bonifácio";9021;8593;9607;11489;11863;9740;8402;7520;7703;7539;6171;3931;2834;1835;1335;1285;108868
"Lajeado";17564;16706;16769;16528;15699;14854;13734;11866;9814;7584;5672;3910;2877;1944;1323;1427;158271
"Lapa";2757;2853;3444;4328;5004;4744;4532;4814;4632;4338;3852;3130;3001;2773;2593;4017;60812
"Liberdade";3337;3116;3605;4716;6200;6286;5423;5068;4825;4296;3781;2840;2396;2041;1940;2936;62806
"Limão";6115;5861;6554;7545;8140;7013;6327;6226;5976;5331;4342;3213;2852;2304;1924;2316;82039
"Mandaqui";7219;7139;8081;9014;9339;8913;8897;9013;8098;6712;5554;4259;3671;3019;2261;2637;103826
"Marsilac";989;927;963;890;733;599;609;588;529;401;315;240;214;168;100;106;8371
"Moema";3260;3115;3740;4847;6326;6213;5878;6310;6031;5987;5258;3769;2922;2574;2518;3797;72545
"Moóca";3210;3251;3932;4703;5226;4953;4827;5268;4967;4441;3746;3177;3156;3032;2765;3938;64592
"Morumbi";2353;2307;2460;2899;3469;3323;3093;2933;2689;2422;2235;1768;1346;959;748;997;36001
"Parelheiros";12264;11463;11266;11051;10408;9740;9309;7834;6756;5068;3698;2353;1622;1097;693;798;105420
"Pari";935;829;935;1192;1438;1335;1188;1094;1033;940;791;707;653;594;604;815;15083
"Parque do Carmo";6011;5756;6250;6664;6544;6035;5682;4926;4295;3619;2885;1927;1467;1022;667;794;64544
"Pedreira";13309;12402;12733;13362;13562;12553;11681;9921;8373;6624;4936;3284;2269;1591;1082;1198;128880
"Penha";8038;7879;9012;10560;10950;10229;9718;9845;9148;8109;6980;5524;5209;4594;3991;5077;124863
"Perdizes";4626;4774;5763;7467;9494;8665;8013;8548;8572;7994;6976;5192;4378;3849;3595;5525;103431
"Perus";7590;7007;6943;6892;7135;6990;6607;5541;4636;3514;2813;1855;1462;1056;695;821;71557
"Pinheiros";2588;2465;3067;4165;5466;5641;5138;5270;4868;4833;4129;3338;2904;2507;2750;4242;63371
"Pirituba";12559;12086;13576;14981;15012;14285;13889;13414;12259;10275;8258;5994;5176;4026;3155;3627;162572
"Ponte Rasa";7402;7294;8188;9327;9154;8417;8073;7784;7245;6186;5040;3842;3353;2499;2002;2146;97952
"Raposo Tavares";8426;7988;8330;9585;9663;8958;8121;7052;6248;5292;4262;2855;2017;1360;885;1074;92116
"República";2535;2084;2183;3135;4965;5556;4942;4298;3899;3329;2959;2270;1962;1503;1263;1863;48746
"Rio Pequeno";9350;8671;9665;10910;11158;10274;9571;9090;8048;6893;5423;3891;3385;2529;1790;1941;112589
"Sacomã";18446;17682;19146;21250;22052;21104;20539;19281;17094;13839;10606;7903;6848;5423;4312;4933;230458
"Santa Cecília";3697;3274;3717;4915;6941;7079;6258;5894;5626;5120;4494;3427;3007;2649;2500;4032;72630
"Santana";6088;6342;7802;9364;12284;11129;9960;10127;9783;9001;7261;5624;5142;4598;4184;5593;124282
"Santo Amaro";2628;2804;3496;4553;5632;4822;4434;4681;4619;4646;4376;3787;3157;2554;2315;3319;61823
"São Domingos";6515;6038;6617;7455;8207;7729;7307;6720;5904;4963;4174;3380;2771;2058;1572;1645;83055
"São Lucas";9669;9754;10958;12071;12483;11768;11529;11822;10394;8982;7493;5915;5428;4344;3544;3746;139900
"São Mateus";13550;13040;14298;15341;14868;14033;13420;12531;10909;8960;7266;5221;4234;3183;2145;2244;155243
"São Miguel";8576;8044;8806;9343;9267;8746;8291;7520;6569;5286;4312;3475;2988;2386;1727;1978;97314
"São Rafael";13465;12437;12310;12527;12521;12411;11483;9712;7901;6415;5116;3700;2645;1726;1074;1142;126585
"Sapopemba";25359;24704;26635;28637;27599;25479;23986;22286;19704;16307;12970;9080;7540;5187;3560;3550;282583
"Saúde";5684;5808;6928;8645;10034;10298;9830;9946;9658;8827;7517;5832;5150;4648;4400;6271;119476
"Sé";1425;1197;1309;1577;2283;2259;1930;1739;1571;1305;1052;783;606;537;415;503;20491
"Socorro";2096;2292;2781;3428;3706;3308;2931;3023;2909;2694;2403;2012;1731;1354;1035;1369;39072
"Tatuapé";4105;4172;5069;6030;6546;6350;6186;6669;6429;5805;4797;3899;3703;3445;3187;4284;80676
"Tremembé";15354;13952;14843;15876;16358;15661;14173;13046;11504;9435;7547;5517;4577;3370;2543;3108;166864
"Tucuruvi";5529;5610;6949;8347;8845;8003;7329;7614;7588;7001;5891;4866;4418;3838;3405;4321;99554
"Vila Andrade";8358;7255;7015;7227;8420;8514;7683;6691;5268;4035;3008;1868;1316;805;568;656;78687
"Vila Curuçá";14982;14176;14800;15106;14260;13697;12755;11119;9328;7459;5953;4408;3428;2318;1538;1743;147070
"Vila Formosa";5969;6055;6989;8166;8472;7723;7247;7450;7072;6301;5202;4266;3876;3235;2766;3272;94061
"Vila Guilherme";2934;2996;3486;4230;4730;4339;3733;3800;3699;3340;2847;2331;2228;1972;1671;2146;50482
"Vila Jacuí";14501;13659;14395;14520;14092;13206;12337;11049;9505;7608;5535;3864;2806;2001;1406;1492;141976
"Vila Leopoldina";1716;1665;1848;2323;2537;2472;2342;2506;2226;1904;1499;1144;1049;876;825;1101;28033
"Vila Maria";9355;8772;9330;10443;11211;10542;9267;8807;7703;6580;5400;4085;3725;3097;2501;3217;114035
"Vila Mariana";5298;5327;6611;8950;11577;11157;9751;9774;9844;9633;8334;6439;5209;4671;4508;7432;124515
"Vila Matilde";6981;7033;8112;9082;9263;8687;8209;8136;7643;6671;5585;4566;3875;3326;2843;3312;103324
"Vila Medeiros";10297;10007;11202;12918;13352;12152;11107;10945;10073;8587;7121;5491;5069;4236;3410;3899;139866
"Vila Prudente";6504;6498;7451;8675;9232;8476;8027;8277;7753;6874;5740;4531;4135;3525;2973;3930;102601
"Vila Sônia";6830;6504;7033;8169;8640;8072;7730;7120;6608;5670;4751;3487;2781;2170;1728;2295;89588
"Total";863432;822619;886448;978985;1022556;961573;892057;830803;743615;630874;510712;377054;312287;244412;197627;250313;10525367
Fonte: Fundação SEADE, 1996 a 2023
