População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2017
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4674;4205;3920;4402;5022;5872;6569;6799;6308;5782;5888;5807;5069;4139;3176;5774;83406
"Alto de Pinheiros";1684;1717;1716;1901;2258;2725;3011;3257;3118;2910;3130;3118;2857;2496;2018;3735;41651
"Anhanguera";5785;5509;5780;7008;7657;7563;7043;6545;6341;6034;4992;3645;2494;1517;851;830;79594
"Aricanduva";5171;4928;4966;5793;6228;6705;7209;6923;6403;6104;5739;5295;4542;3714;2858;4237;86815
"Artur Alvim";6129;5926;5869;6739;7359;8026;8865;8839;7961;6889;6346;5866;5183;4274;3175;4286;101732
"Barra Funda";1002;856;736;741;836;1118;1430;1500;1345;1070;954;931;823;706;520;994;15562
"Bela Vista";4110;3264;2581;2664;3336;5537;8355;8305;6455;5190;4643;4332;3936;3276;2372;3948;72304
"Belém";4059;3159;2474;2565;2760;3520;4467;4435;3718;3081;2913;2709;2392;1872;1355;2651;48130
"Bom Retiro";2949;2503;2173;2324;2550;3201;3692;3520;2869;2417;2166;1902;1626;1229;880;1601;37602
"Brás";2806;2114;1725;1886;2117;2762;3265;3088;2621;2185;1877;1665;1344;987;680;927;32049
"Brasilândia";23675;20604;20074;23500;24220;24058;23944;22199;19741;17947;15582;12921;10085;7432;4945;5962;276889
"Butantã";2754;2500;2294;2465;2886;4031;5254;5187;4323;3725;3566;3445;3192;2721;2077;3615;54035
"Cachoeirinha";11411;10285;9876;11209;11888;12333;12778;12161;10617;9498;8596;7583;6017;4386;2919;3777;145334
"Cambuci";2515;2331;2116;2220;2372;2825;3402;3609;3341;2872;2568;2389;2068;1606;1222;2287;39743
"Campo Belo";3411;3242;2980;3053;3230;4033;5092;5565;5305;4694;4463;4325;4010;3407;2745;4842;64397
"Campo Grande";5872;5870;5771;6405;6906;7340;8233;9067;8772;8261;7828;7002;5762;4412;3184;4553;105238
"Campo Limpo";16463;15614;15284;17302;17988;18971;20377;20166;18135;15472;12898;11015;8864;6424;4151;4816;223940
"Cangaíba";9650;8604;8292;9767;10656;11526;11997;11165;10104;9420;8886;7946;6462;4878;3507;4687;137547
"Capão Redondo";22603;20591;20295;23267;24246;25320;26359;25068;22174;19341;16229;13491;10912;7991;5159;5206;288252
"Carrão";4392;4211;4228;4924;5502;6133;6710;6829;6443;6014;6038;5746;4941;4080;3103;5344;84638
"Casa Verde";5628;5009;4677;5254;5700;6604;7448;7285;6385;5663;5504;5313;4633;3668;2734;4505;86010
"Cidade Ademar";21473;19341;18495;20956;22437;24298;25417;24349;21635;18844;16119;13886;11438;8670;5972;7173;280503
"Cidade Dutra";14189;13011;12944;15105;16089;16948;17483;16822;15252;13829;12337;10857;8972;6890;4642;5254;200624
"Cidade Líder";9188;8578;8608;9862;10660;11312;11808;11410;10269;9081;8073;7197;6000;4543;3020;3178;132787
"Cidade Tiradentes";17993;17076;18090;20992;21492;20581;20010;18610;16311;14050;12163;10531;8414;5623;3273;2922;228131
"Consolação";2298;1873;1660;1843;2693;5091;6681;5711;4439;3754;3828;3897;3540;3065;2384;4692;57449
"Cursino";6611;6239;5866;6336;7013;8146;9451;9664;8615;7800;7664;7499;6519;5047;3666;6442;112578
"Ermelino Matarazzo";8353;7869;7736;8787;9386;10023;10402;9814;8863;8105;7209;6239;5178;3801;2492;3115;117372
"Freguesia do Ó";8963;7983;7636;9028;9923;10956;12086;11845;10545;9650;9411;9079;7654;5771;4006;6260;140796
"Grajaú";31304;28387;28299;33117;34606;34063;33617;31393;28209;25507;21736;17562;13388;9310;5588;5191;381277
"Guaianases";8685;7827;7824;9090;9691;9579;9296;8690;7793;7025;6086;5147;4145;2956;1889;2086;107809
"Iguatemi";11874;10638;10754;12653;13371;12925;12289;11173;10153;9533;8338;6735;5110;3475;2127;2002;143150
"Ipiranga";6509;6072;5763;6379;7104;8169;9376;9538;8766;7948;7473;6967;5998;4748;3495;6480;110785
"Itaim Bibi";5013;4654;3695;3441;4055;5701;8347;10080;9054;7124;6465;6379;6042;5176;3932;7067;96225
"Itaim Paulista";17833;16557;16717;19748;21112;20760;20013;18318;16443;15306;13621;11426;8845;6284;4111;4380;231474
"Itaquera";15189;14128;14014;16401;17222;17353;17649;17270;16124;14676;12775;10858;8900;6720;4669;5508;209456
"Jabaquara";14749;13804;13078;14715;15882;17766;20033;20239;18001;16094;14977;13427;11126;8360;6146;9344;227741
"Jaçanã";6064;6011;6254;7141;7468;7885;8382;8115;7119;6201;5700;5308;4500;3481;2452;3607;95688
"Jaguara";1414;1300;1268;1437;1545;1798;2073;2060;1824;1638;1596;1571;1397;1153;837;1310;24221
"Jaguaré";3590;3417;3363;3693;3908;4291;4933;5045;4438;3726;3237;2727;2227;1786;1352;1982;53715
"Jaraguá";15686;14265;14588;17356;18027;17724;17760;17108;15541;13869;12176;10377;7987;5520;3494;3614;205092
"Jardim Ângela";26806;25418;25446;28860;29209;28391;28709;27676;25098;21992;17419;13757;10645;7395;4521;4430;325772
"Jardim Helena";11424;10056;9680;11378;12129;11916;11608;10743;9634;8763;7554;6264;4942;3632;2431;2701;134855
"Jardim Paulista";4248;3709;3062;3074;3663;5581;8418;9377;7802;6400;6105;6129;5883;5185;4139;7546;90321
"Jardim São Luís";21583;19666;19376;22251;23298;24872;26477;25401;22602;19709;16649;13963;11212;8164;5280;5809;286312
"José Bonifácio";8413;8637;9182;10493;10709;10661;11594;12134;10657;8915;7595;6798;6257;4980;3078;3178;133281
"Lajeado";14011;12845;12681;15014;16048;15706;14816;13417;12360;11201;9431;7846;6098;4268;2707;2888;171337
"Lapa";3359;3221;2964;3095;3474;4286;5291;5797;5363;4875;4858;4738;4191;3440;2695;5361;67008
"Liberdade";4077;3554;3030;3180;3867;5424;7120;7234;6188;5191;4670;4468;4026;3359;2442;4081;71911
"Limão";5733;4957;4582;5142;5608;6377;6908;6670;5939;5259;4877;4632;4074;3189;2204;3367;79518
"Mandaqui";6279;5842;5752;6753;7553;8392;8977;8906;8567;8172;7864;7168;5817;4534;3371;4981;108928
"Marsilac";525;549;629;807;822;741;642;586;511;510;509;466;377;272;181;216;8343
"Moema";4017;3999;3555;3574;4075;5237;7033;8351;7955;6735;6413;6374;5993;5078;3574;6118;88081
"Moóca";4454;4082;3664;3931;4641;5690;6531;6742;6327;5890;5648;5327;4599;3593;2762;5447;79328
"Morumbi";3526;2999;2790;3196;3376;3616;3983;4198;4051;3793;3548;3173;2701;2227;1704;2535;51416
"Parelheiros";12701;11224;11328;13560;14005;12819;12066;11529;10712;9735;8126;6611;4966;3419;2099;2008;146908
"Pari";1517;1253;1099;1176;1287;1556;1685;1496;1307;1203;1100;966;770;654;508;1018;18595
