População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2006
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4315;4462;5155;5777;6781;6916;6889;6539;6159;6206;5658;4679;4183;3501;3157;5096;85473
"Alto de Pinheiros";1819;1921;2225;2673;3438;3463;3464;3263;3168;3398;3107;2793;2497;1977;1724;2768;43698
"Anhanguera";4993;5090;5547;5044;5135;5207;5346;4959;4272;3153;2164;1461;886;533;352;418;54560
"Aricanduva";5882;6115;7058;7253;8066;8077;7466;7111;6708;6073;5514;4484;3887;3005;2376;2913;91988
"Artur Alvim";7034;7068;8171;8676;9899;10034;9237;8392;7421;7187;6407;5377;4430;3321;2507;2978;108139
"Barra Funda";714;690;716;843;1213;1331;1204;1101;937;895;864;715;634;489;452;956;13754
"Bela Vista";2875;2546;2788;3755;6908;8354;7006;5527;4854;4465;4111;3439;2856;2231;1931;3485;67131
"Belém";2526;2332;2590;2869;3861;4078;3639;3266;2925;2830;2443;2076;1783;1485;1420;2553;42676
"Bom Retiro";2043;1942;2055;2235;3096;3161;2808;2332;2126;1869;1629;1353;1134;878;859;1295;30815
"Brás";1829;1761;1833;2029;2815;2932;2678;2414;2071;1730;1457;1097;860;675;523;820;27524
"Brasilândia";22706;23131;25253;24350;25231;24644;22452;19892;17620;14435;11765;8714;6707;4633;3381;4110;259024
"Butantã";2497;2479;2843;3437;4856;5309;4713;4132;3833;3740;3510;3057;2636;2092;1809;2878;53821
"Cachoeirinha";11857;12057;13039;13199;13841;13796;12830;11207;10150;8674;7253;5299;4126;2932;2239;2882;145381
"Cambuci";1963;1804;1979;2168;2767;2958;2951;2716;2450;2260;2063;1697;1453;1222;1171;2028;33650
"Campo Belo";3347;3230;3480;3886;5320;5793;5597;5306;4748;4661;4447;4011;3399;2756;2377;3799;66157
"Campo Grande";5894;5976;6827;7104;7855;8433;8874;8514;7976;7186;6038;4731;3755;2807;2190;2988;97148
"Campo Limpo";16848;16490;18309;17996;20002;20440;19229;16880;14421;11788;9756;7166;5281;3542;2540;2974;203662
"Cangaíba";9637;9954;11527;11624;12655;12599;11685;11014;10085;8961;7545;5865;4610;3511;2640;3408;137320
"Capão Redondo";21604;21982;24294;23947;26129;25834;23651;20504;17880;14637;11959;8951;6427;4105;2601;3056;257561
"Carrão";4334;4566;5419;5782;6464;6625;6483;6361;5952;5828;5205;4384;3909;3140;2751;4279;81482
"Casa Verde";5083;5162;5944;6427;7544;7531;7057;6438;6038;5749;5161;4230;3614;2861;2508;3653;85000
"Cidade Ademar";20285;20335;22674;23247;25709;25124;23486;20407;17862;14979;12764;9875;7635;5357;3784;4602;258125
"Cidade Dutra";14667;15290;17362;17551;18793;18261;17147;15539;14155;12047;10345;7714;5960;4003;2807;3412;195053
"Cidade Líder";9206;9581;10621;10969;11727;11679;10986;9740;8813;7761;6667;5087;3789;2585;1727;2021;122959
"Cidade Tiradentes";19097;20026;21496;20308;19333;19020;17677;15564;13750;11599;9076;6303;4086;2506;1520;1493;202854
"Consolação";1782;1768;2026;3288;6237;6009;4806;4115;3814;3982;3796;3241;2811;2316;2125;4311;56427
"Cursino";6111;6090;7007;7726;8995;9402;8933;8301;7862;7463;6729;5381;4627;3683;3258;4821;106389
"Ermelino Matarazzo";8659;8687;9737;9777;10753;10584;9857;8911;8034;6905;5660;4423;3294;2298;1715;2134;111428
"Freguesia do Ó";8893;9232;10807;11265;12665;12850;12265;11292;10705;9891;8790;6779;5556;4224;3577;4991;143782
"Grajaú";31523;32438;35287;34535;35214;34611;31592;27787;24501;19543;15209;10600;7219;4392;2777;2999;350227
"Guaianases";8905;9282;10060;10042;10033;9659;8873;7803;7012;5865;4708;3541;2567;1689;1177;1379;102595
"Iguatemi";10453;11007;11986;11656;11264;10882;10153;9241;8414;6813;5298;3770;2538;1611;972;1056;117114
"Ipiranga";5961;5974;6645;7396;8784;9347;8728;8119;7570;7069;6281;5051;4374;3515;3252;5623;103689
"Itaim Bibi";3930;3358;3622;4667;6716;8514;8430;7601;6432;6387;6042;5294;4295;3624;3095;5954;87961
"Itaim Paulista";19070;19872;22209;21772;21115;20459;18819;16836;15396;12739;10245;7395;5439;3686;2424;2677;220153
"Itaquera";16267;16574;18533;18090;18980;18971;18105;16388;14571;12287;10270;7957;6159;4377;3108;3532;204169
"Jabaquara";14797;14546;16526;17084;19738;20854;20184;17933;16396;14473;12268;9749;7788;6107;4956;7020;220419
"Jaçanã";6857;7061;7771;7925;8610;8515;7871;7097;6393;5746;5162;4038;3415;2530;2073;2831;93895
"Jaguara";1417;1509;1720;1860;2199;2231;2057;1916;1812;1756;1655;1322;1125;888;737;1102;25306
"Jaguaré";3398;3387;3585;3779;4422;4785;4489;3811;3201;2813;2354;1961;1618;1211;962;1256;47032
"Jaraguá";13965;14714;16477;15711;15997;15893;15194;13810;12234;10340;8422;5978;4150;2731;1865;2000;169481
"Jardim Ângela";26001;25885;27781;26829;27838;28135;25595;21902;18709;14241;11304;7968;5494;3334;2191;2299;275506
"Jardim Helena";12066;12296;13598;13365;13346;12930;11816;10522;9307;7593;6198;4604;3534;2369;1704;1815;137063
"Jardim Paulista";3164;2912;3219;4259;7187;8703;7871;6711;6126;6245;6141;5490;4639;3821;3331;6941;86760
"Jardim São Luís";20724;20957;23123;23259;25760;26158;24081;21024;18172;14914;12233;9056;6702;4448;3050;3474;257135
"José Bonifácio";8887;9064;10229;10450;11148;11115;10398;8814;8192;7457;6611;5230;3866;2377;1663;1769;117270
"Lajeado";14844;15137;16881;16116;15973;15153;13879;12575;10844;8678;7016;5086;3664;2416;1649;1857;161768
"Lapa";2890;2854;3195;3720;4736;5227;5216;4951;4714;4691;4337;3668;3241;2783;2576;4758;63557
"Liberdade";3223;3011;3374;4310;6246;7074;6246;5455;4868;4477;4194;3425;2892;2210;1970;3359;66334
"Limão";5330;5402;6058;6506;7595;7299;6751;6194;5766;5336;4788;3831;3170;2358;1994;2848;81226
"Mandaqui";6340;6580;7670;8067;9045;9173;9117;8943;8339;7560;6517;5083;4242;3327;2609;3539;106151
"Marsilac";760;799;949;822;733;618;619;543;563;474;409;312;253;185;125;139;8303
"Moema";3552;3185;3535;4195;5827;6966;7199;6893;6108;6250;5825;4855;3881;2930;2581;4675;78457
"Moóca";3472;3380;3862;4513;5520;5807;5748;5689;5395;5074;4564;3858;3358;2952;2703;4769;70664
"Morumbi";2526;2617;2868;2976;3564;3754;3721;3483;3255;2990;2705;2227;1794;1330;1034;1512;42356
"Parelheiros";11318;11829;12866;12009;11400;11090;10569;9357;8323;6473;5135;3519;2463;1578;996;1117;120042
"Pari";1015;967;1049;1214;1568;1515;1300;1187;1116;1017;879;724;685;550;570;925;16281
"Parque do Carmo";5353;5549;6073;6041;6424;6420;5995;5262;4668;3927;3362;2503;1933;1280;890;1092;66772
"Pedreira";11988;12030;13249;13019;13736;13366;12626;10945;9663;7774;6312;4496;3173;2102;1395;1664;137538
"Penha";7273;7449;8491;9274;10654;10850;10187;9677;9289;8761;7844;6423;5666;4589;4079;6069;126575
"Perdizes";4714;4722;5152;6309;9106;9936;9485;8548;8114;8043;7685;6414;5413;4132;3545;6496;107814
