População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2022
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4137;4558;4113;3919;4536;5092;5757;6369;6576;6079;5538;5591;5439;4634;3662;5964;81964
"Alto de Pinheiros";1471;1639;1678;1714;1958;2281;2669;2923;3164;3024;2818;3024;2987;2695;2307;4101;40453
"Anhanguera";6031;5864;5674;6229;7827;8302;7840;7191;6627;6378;6013;4910;3526;2353;1381;1193;87339
"Aricanduva";4707;4980;4748;4890;5867;6191;6468;6900;6603;6087;5775;5381;4906;4115;3260;4749;85627
"Artur Alvim";5490;5867;5672;5728;6762;7243;7675;8417;8363;7496;6444;5881;5365;4634;3689;4890;99616
"Barra Funda";921;1030;898;819;867;950;1196;1494;1549;1376;1087;958;917;792;657;1063;16574
"Bela Vista";3601;4123;3291;2660;2787;3393;5507;8332;8272;6416;5138;4551;4187;3731;3011;4418;73418
"Belém";3485;4057;3174;2533;2657;2780;3476;4422;4392;3661;3018;2820;2578;2222;1681;2699;49655
"Bom Retiro";2683;2960;2535;2264;2476;2642;3211;3693;3513;2855;2389;2115;1832;1529;1120;1711;39528
"Brás";2434;2775;2101;1756;1998;2212;2764;3218;3025;2557;2117;1796;1571;1237;876;1090;33527
"Brasilândia";22340;22907;19962;19878;23939;24248;23333;22978;21203;18751;16937;14534;11850;9000;6375;7108;285343
"Butantã";2442;2708;2470;2318;2581;2979;3999;5157;5072;4212;3610;3430;3270;2969;2454;3891;53562
"Cachoeirinha";10420;11001;9919;9729;11352;11821;11897;12217;11579;10051;8933;8000;6948;5366;3763;4348;147344
"Cambuci";2302;2534;2373;2226;2406;2502;2862;3424;3614;3333;2847;2512;2296;1941;1455;2389;41016
"Campo Belo";2931;3326;3173;2982;3145;3276;3953;4949;5392;5137;4524;4275;4095;3725;3078;5216;63177
"Campo Grande";5318;5874;5898;5919;6660;6980;7271;8187;9011;8694;8156;7660;6754;5449;4053;5465;107349
"Campo Limpo";15463;16115;15342;15371;17983;18422;18734;19876;19569;17516;14854;12258;10310;8103;5669;6080;231665
"Cangaíba";8859;9336;8329;8201;9948;10662;11175;11522;10681;9626;8925;8343;7347;5835;4248;5435;138472
"Capão Redondo";21492;22171;20277;20460;24264;24926;25074;25736;24357;21433;18583;15425;12619;9966;7034;7040;300857
"Carrão";4030;4394;4232;4338;5115;5561;6073;6660;6773;6368;5912;5874;5500;4617;3687;5745;84879
"Casa Verde";5060;5484;4894;4675;5409;5770;6464;7214;7033;6136;5406;5207;4953;4213;3217;4783;85918
"Cidade Ademar";20041;20945;18920;18508;21627;22784;23838;24659;23516;20802;18011;15249;12942;10399;7596;8816;288653
"Cidade Dutra";13186;13789;12677;12901;15502;16236;16549;16906;16206;14636;13198;11665;10121;8159;6047;6674;204452
"Cidade Líder";8684;9024;8460;8694;10310;10981;11222;11549;11089;9927;8721;7661;6711;5451;3972;4144;136600
"Cidade Tiradentes";17980;17671;16848;18280;21953;22165;20444;19561;18074;15739;13458;11508;9788;7617;4893;4152;240131
"Consolação";2225;2306;1890;1707;1921;2729;5060;6660;5698;4420;3725;3770;3790;3388;2856;5041;57186
"Cursino";5929;6610;6265;5999;6556;7058;8053;9382;9576;8525;7685;7486;7219;6150;4614;7028;114135
