População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2011
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4142;4065;4548;4975;6059;6864;7087;6424;6000;6295;6121;5326;4454;3519;3060;5835;84774
"Alto de Pinheiros";1768;1780;1971;2271;2826;3133;3467;3152;3025;3345;3209;2982;2611;2139;1883;3365;42927
"Anhanguera";5183;5462;6427;6248;6446;6270;6067;6034;5752;4617;3389;2344;1428;834;499;594;67594
"Aricanduva";5137;5385;6222;6259;7113;7736;7317;6841;6582;6172;5763;4909;4127;3246;2692;3722;89223
"Artur Alvim";6218;6330;7271;7456;8573;9636;9446;8423;7320;6938;6406;5730;4778;3641;2783;3823;104772
"Barra Funda";781;697;673;742;1090;1414;1442;1273;996;947;935;819;729;528;432;1037;14535
"Bela Vista";2962;2481;2602;3292;6136;8786;7993;6072;5035;4607;4370;4003;3351;2446;1920;3805;69861
"Belém";2838;2410;2530;2652;3749;4657;4375;3595;3025;2987;2742;2484;1923;1459;1309;2750;45485
"Bom Retiro";2303;2103;2214;2313;3212;3638;3401;2693;2362;2129;1896;1642;1233;928;874;1456;34397
"Brás";1909;1747;1885;2015;2844;3305;3066;2587;2176;1897;1719;1370;1034;732;509;857;29652
"Brasilândia";20611;21519;24780;23665;24603;25038;23091;20583;18992;16287;13721;10733;8148;5547;4011;5185;266514
"Butantã";2440;2332;2487;2837;4277;5503;5183;4267;3770;3698;3580;3351;2867;2233;1925;3434;54184
"Cachoeirinha";10485;10637;11958;11964;12938;13687;12837;11126;10175;9216;8222;6449;4832;3303;2458;3492;143779
"Cambuci";2195;2017;2072;2081;2724;3368;3523;3210;2754;2536;2404;2077;1633;1311;1154;2258;37317
"Campo Belo";3248;3055;3100;3173;4294;5441;5820;5436;4781;4697;4535;4242;3612;3010;2561;4572;65577
"Campo Grande";5775;5733;6394;6582;7375;8540;9247;8656;8280;7840;6998;5765;4479;3321;2556;3812;101353
"Campo Limpo";15701;15755;17828;17065;19100;21040;20709;18341;15658;13088;11462;9157;6740;4443;3123;3857;213067
"Cangaíba";8672;8880;10420;10613;12070;12611;11636;10608;10009;9496;8458;6881;5296;3960;2903;4232;136745
"Capão Redondo";20435;21094;23866;22987;25277;26941;25497;22412;19713;16423;13952;11366;8400;5544;3473;3952;271332
"Carrão";4092;4252;4929;5264;6207;6837;6843;6382;6017;6213;5816;5044;4279;3324;2872;5112;83483
"Casa Verde";4943;4869;5438;5577;6897;7779;7510;6474;5872;5850;5638;4898;3946;3054;2580;4369;85694
"Cidade Ademar";19218;19256;21668;21740;24761;26188;25065;21987;19329;16512;14543;11968;9262;6537;4615;5938;268587
"Cidade Dutra";13196;13828;15938;15860;17529;18318;17606;15821;14527;12905;11539;9497;7461;5076;3431;4325;196857
"Cidade Líder";8560;8944;10092;10218;11240;12097;11634;10416;9283;8327;7545;6296;4855;3288;2130;2513;127438
"Cidade Tiradentes";17263;18953;21423;20255;19934;20305;18852;16500;14317;12527;11015;8780;5830;3517;2071;2118;213660
