População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:1999
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";5028;5224;6071;7035;7553;6918;6629;6889;6364;5744;4988;4028;3981;3598;3134;3943;87127
"Alto de Pinheiros";1943;2189;2658;3366;4397;3988;3376;3551;3376;3276;2995;2526;2353;1788;1430;2001;45213
"Anhanguera";3911;3707;3477;3115;3075;3345;3592;2995;2209;1508;976;651;420;261;195;214;33651
"Aricanduva";7383;7201;8025;8921;9117;8323;7677;7383;6652;5735;4994;3924;3477;2636;1821;1938;95207
"Artur Alvim";8605;8292;9284;10761;11395;10143;8856;8433;7659;7242;6162;4755;3908;2850;2003;1941;112289
"Barra Funda";734;732;841;1040;1311;1202;981;965;957;830;777;618;543;487;483;815;13316
"Bela Vista";3257;2858;3089;4282;6808;7287;6220;5357;4874;4292;3704;2791;2404;2138;1969;2966;64296
"Belém";2578;2408;2714;3268;3703;3339;3014;3109;2957;2571;2158;1700;1801;1660;1570;2241;40791
"Bom Retiro";1967;1818;1879;2209;2794;2657;2271;2110;1908;1606;1383;1090;1117;896;813;1126;27644
"Brás";2116;1830;1748;2063;2600;2559;2388;2348;2032;1556;1182;880;751;669;591;777;26090
"Brasilândia";26741;24044;23829;24772;24627;22921;20924;18263;14902;11633;9041;6361;4996;3603;2490;2723;241870
"Butantã";2809;2830;3476;4411;5140;4767;4230;4163;3981;3679;3324;2635;2356;1926;1533;2109;53369
"Cachoeirinha";14710;13893;13786;14707;14349;13364;12594;11197;9590;7495;5740;4012;3309;2537;1850;2028;145161
"Cambuci";1817;1635;1876;2347;2693;2421;2345;2242;2148;1890;1641;1315;1322;1150;1160;1663;29665
"Campo Belo";3761;3719;4259;5350;6662;6056;5269;5259;4872;4515;4284;3644;3175;2434;2038;2748;68045
"Campo Grande";6186;6402;7214;7806;8150;7835;8021;8246;7254;6070;4774;3571;2956;2226;1683;1999;90393
"Campo Limpo";18765;17239;17799;19196;19772;18520;16780;14846;12595;9851;7342;4965;3726;2606;1807;1968;187777
