População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2012
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4323;4014;4413;4899;5832;6729;7030;6546;6018;6157;6133;5437;4552;3625;3044;5824;84576
"Alto de Pinheiros";1769;1763;1913;2205;2714;3089;3366;3224;3014;3237;3243;3000;2663;2202;1890;3432;42724
"Anhanguera";5300;5438;6306;6522;6646;6515;6217;6114;5876;4904;3636;2537;1584;921;545;625;69686
"Aricanduva";5198;5228;5965;6268;6874;7593;7351;6837;6530;6172;5748;5002;4179;3330;2693;3811;88779
"Artur Alvim";6262;6195;6961;7430;8266;9360;9426;8531;7420;6872;6416;5752;4860;3753;2828;3893;104225
"Barra Funda";838;710;682;735;1023;1372;1461;1319;1056;949;940;845;740;564;438;1027;14699
"Bela Vista";3245;2548;2572;3154;5415;8370;8311;6463;5210;4683;4414;4074;3466;2596;1972;3822;70315
"Belém";3153;2453;2499;2651;3483;4516;4476;3752;3124;2970;2797;2518;2022;1517;1299;2734;45964
"Bom Retiro";2476;2123;2200;2332;3037;3631;3483;2853;2415;2178;1942;1686;1306;969;858;1489;34978
"Brás";2138;1735;1854;2002;2659;3270;3136;2680;2245;1939;1742;1431;1082;773;533;863;30082
"Brasilândia";21471;20847;23894;24064;24313;24927;23345;20856;19046;16666;13996;11128;8437;5863;4108;5302;268263
"Butantã";2546;2325;2445;2766;3934;5309;5297;4436;3831;3680;3589;3374;2938;2320;1927;3466;54183
"Cachoeirinha";10818;10376;11540;11976;12654;13457;12908;11334;10181;9279;8277;6687;5005;3479;2494;3533;143998
"Cambuci";2291;2050;2071;2122;2619;3295;3541;3303;2855;2573;2429;2143;1707;1350;1155;2261;37765
"Campo Belo";3338;3060;3069;3158;4011;5223;5753;5500;4877;4651;4538;4258;3698;3068;2580;4613;65395
"Campo Grande";5859;5729;6238;6623;7246;8304;9118;8823;8328;7929;7161;5986;4683;3488;2635;3925;102075
"Campo Limpo";15992;15582;17259;17412;18647;20746;20779;18758;16067;13481;11635;9523;7079;4754;3242;4000;214956
"Cangaíba";8990;8647;9974;10624;11691;12505;11757;10683;9994;9485;8566;7084;5481;4096;2990;4289;136856
"Capão Redondo";21064;20656;23170;23407;24812;26770;25790;22919;20079;16958;14260;11736;8827;5927;3706;4120;274201
"Carrão";4199;4189;4782;5260;6038;6751;6866;6486;6074;6138;5910;5170;4381;3457;2871;5153;83725
"Casa Verde";5162;4799;5277;5579;6579;7653;7560;6648;5917;5783;5639;4997;4065;3149;2577;4392;85776
"Cidade Ademar";19900;18947;21010;21887;24102;26053;25220;22491;19662;16929;14738;12342;9617;6888;4796;6118;270700
"Cidade Dutra";13540;13428;15342;15952;17094;18165;17624;16038;14585;13093;11635;9771;7693;5391;3586;4451;197388
"Cidade Líder";8766;8750;9812;10275;11070;11976;11729;10614;9435;8446;7621;6479;5044;3496;2252;2601;128366
"Cidade Tiradentes";17443;18374;20875;20712;20102;20279;19139;16876;14627;12759;11190;9119;6270;3811;2231;2222;216029
"Consolação";1862;1640;1779;2557;4994;6696;5709;4438;3758;3848;3951;3638;3211;2571;2103;4646;57401
"Cursino";6236;5833;6200;6786;8112;9569;9737;8685;7880;7783;7686;6786;5372;4033;3387;6059;110144
"Ermelino Matarazzo";8134;7963;8855;9229;10027;10717;10220;9257;8496;7607;6653;5617;4243;2902;2060;2748;114728
"Freguesia do Ó";8326;7949;9200;9873;11093;12571;12444;11129;10226;10030;9771;8376;6477;4678;3693;6092;141928
"Grajaú";29442;29219;33489;34125;34181;34844;32868;29623;26908;23092;18891;14662;10517;6589;3893;4136;366479
"Guaianases";8160;8127;9255;9634;9696;9691;9147;8240;7458;6516;5579;4575;3364;2249;1502;1794;104987
