População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2021
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4242;4664;3931;3969;4661;5159;5964;6489;6619;5955;5515;5713;5422;4527;3574;5860;82264
"Alto de Pinheiros";1515;1679;1674;1727;2010;2343;2775;2959;3250;2950;2824;3120;2948;2672;2258;4004;40708
"Anhanguera";6012;5799;5608;6345;8069;8125;7733;7021;6536;6346;5927;4657;3307;2187;1251;1097;86020
"Aricanduva";4791;5064;4654;5008;6079;6133;6650;6990;6523;6048;5781;5339;4885;4005;3195;4602;85747
"Artur Alvim";5621;5983;5599;5830;7034;7229;7927;8623;8349;7363;6323;5911;5329;4590;3602;4727;100040
"Barra Funda";935;1042;834;799;845;946;1256;1525;1520;1322;1022;950;908;766;645;1027;16342
"Bela Vista";3757;4172;3009;2595;2824;3558;6249;8755;7966;6032;4970;4479;4145;3661;2905;4250;73327
"Belém";3606;4164;2862;2493;2692;2787;3740;4567;4291;3508;2925;2837;2525;2190;1596;2651;49434
"Bom Retiro";2732;3016;2366;2251;2508;2649;3411;3714;3439;2703;2342;2069;1789;1490;1056;1667;39202
"Brás";2492;2862;1873;1768;2028;2228;2950;3249;2956;2466;2052;1756;1547;1181;835;1043;33286
"Brasilândia";22612;23126;19072;20479;24725;23748;23503;23002;20892;18433;16834;14139;11567;8632;6127;6767;283658
"Butantã";2512;2765;2363;2324;2622;3054;4338;5340;4954;4049;3553;3442;3259;2946;2388;3791;53700
"Cachoeirinha";10606;11182;9550;9930;11684;11723;12076;12339;11441;9804;8879;7895;6855;5137;3605;4160;146866
"Cambuci";2346;2580;2283;2205;2429;2487;2995;3522;3609;3253;2754;2480;2275;1885;1391;2348;40842
"Campo Belo";3030;3419;3081;2975;3166;3281;4219;5147;5447;5068;4424;4312;4083;3699;2996;5113;63460
"Campo Grande";5423;5987;5816;5928;6821;6945;7405;8420;9138;8532;8111;7573;6596;5244;3870;5227;107036
"Campo Limpo";15673;16288;15043;15529;18523;18031;19130;20122;19479;17101;14458;11881;10140;7771;5378;5730;230277
"Cangaíba";9013;9482;7992;8397;10348;10595;11479;11555;10521;9519;8900;8318;7218;5638;4079;5237;138291
