População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2013
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4509;3961;4280;4823;5608;6592;6966;6669;6036;6017;6141;5551;4652;3733;3024;5811;84373
"Alto de Pinheiros";1770;1747;1856;2140;2605;3043;3273;3296;3002;3130;3275;3016;2713;2265;1893;3497;42521
"Anhanguera";5414;5411;6180;6800;6844;6763;6364;6189;6002;5204;3901;2742;1754;1018;594;659;71839
"Aricanduva";5259;5074;5717;6274;6635;7442;7384;6830;6478;6170;5731;5096;4234;3415;2693;3902;88334
"Artur Alvim";6305;6062;6661;7398;7962;9098;9398;8636;7518;6803;6421;5773;4941;3866;2873;3961;103676
"Barra Funda";901;721;692;728;961;1331;1476;1363;1117;950;943;869;752;602;444;1015;14865
"Bela Vista";3546;2610;2536;3011;4761;7939;8625;6861;5379;4746;4449;4138;3578;2745;2018;3828;70770
"Belém";3493;2493;2465;2647;3233;4365;4576;3911;3219;2948;2851;2549;2121;1576;1284;2714;46445
"Bom Retiro";2658;2141;2182;2346;2868;3626;3565;3018;2467;2225;1986;1731;1382;1010;842;1520;35567
"Brás";2389;1719;1821;1986;2479;3237;3201;2771;2311;1978;1761;1493;1129;814;558;869;30516
"Brasilândia";22350;20186;23028;24452;24002;24791;23593;21124;19093;17045;14271;11532;8730;6194;4204;5417;270012
"Butantã";2651;2316;2398;2694;3612;5114;5418;4606;3888;3659;3593;3392;3007;2406;1926;3497;54177
"Cachoeirinha";11151;10114;11130;11980;12363;13229;12977;11539;10180;9338;8331;6932;5183;3662;2532;3570;144211
"Cambuci";2391;2081;2068;2160;2516;3221;3558;3397;2957;2611;2453;2210;1785;1390;1155;2265;38218
"Campo Belo";3427;3062;3035;3141;3742;5008;5677;5565;4973;4602;4541;4275;3786;3125;2598;4651;65208
"Campo Grande";5942;5722;6085;6661;7112;8070;8978;8997;8372;8014;7324;6212;4893;3662;2715;4038;102797
"Campo Limpo";16276;15400;16701;17755;18187;20441;20834;19174;16480;13876;11806;9897;7433;5085;3362;4147;216854
"Cangaíba";9312;8416;9540;10630;11314;12402;11871;10751;9973;9465;8670;7290;5671;4235;3077;4344;136961
"Capão Redondo";21698;20213;22488;23821;24330;26565;26081;23425;20441;17502;14568;12112;9268;6332;3956;4291;277091
"Carrão";4308;4127;4638;5253;5868;6664;6881;6588;6132;6062;6002;5300;4486;3597;2868;5191;83965
"Casa Verde";5385;4728;5119;5577;6270;7504;7618;6823;5962;5713;5638;5098;4187;3247;2572;4414;85855
"Cidade Ademar";20596;18634;20363;22023;23438;25892;25370;22996;19994;17351;14931;12722;9977;7251;4982;6298;272818
"Cidade Dutra";13889;13034;14761;16037;16653;17995;17637;16253;14639;13274;11725;10045;7929;5720;3745;4577;197913
"Cidade Líder";8969;8555;9534;10327;10894;11856;11818;10810;9584;8562;7693;6663;5240;3715;2381;2694;129295
"Cidade Tiradentes";17611;17802;20317;21166;20252;20238;19426;17251;14937;12987;11363;9463;6741;4130;2400;2331;218415
"Consolação";1986;1641;1737;2329;4333;6721;6001;4670;3840;3763;3966;3710;3272;2691;2126;4640;57426
"Cursino";6446;5834;6086;6715;7787;9313;9818;8946;7959;7739;7707;7001;5610;4221;3373;6144;110699
"Ermelino Matarazzo";8288;7829;8561;9284;9768;10644;10315;9377;8540;7742;6749;5759;4459;3070;2112;2814;115311
"Freguesia do Ó";8650;7750;8792;9872;10680;12292;12487;11322;10203;9911;9717;8629;6705;4897;3674;6128;141709
"Grajaú";30251;28385;32258;34618;33956;34680;33192;29966;27088;23741;19394;15283;11059;7154;4148;4296;369469
"Guaianases";8380;7868;8932;9657;9658;9655;9203;8341;7494;6650;5654;4706;3529;2379;1558;1841;105505
"Iguatemi";10991;10369;11847;12755;12596;12381;11481;10372;9740;8813;7264;5693;4071;2626;1593;1614;134206
"Ipiranga";6274;5684;6050;6724;7727;9190;9660;8985;8144;7612;7222;6428;5255;4031;3182;6447;108615
"Itaim Bibi";4826;3816;3293;3627;5052;7672;9888;9406;7458;6448;6444;6230;5564;4414;3308;6873;94319
"Itaim Paulista";17569;16885;19270;21153;20921;20832;19502;17536;16198;14825;12601;10138;7451;5136;3371;3724;227112
"Itaquera";15004;14165;15961;17299;17235;18148;18051;17091;15623;13878;11879;10004;7859;5736;4035;4814;206782
"Jabaquara";14596;13302;14265;15611;16987;20064;20976;19192;16868;15755;14396;12292;9604;7217;5569;8799;225493
"Jaçanã";6210;6280;6966;7420;7678;8514;8499;7621;6588;6023;5663;5014;4004;2980;2237;3408;95105
"Jaguara";1396;1285;1420;1535;1727;2100;2170;1963;1738;1675;1671;1550;1308;1016;750;1298;24602
"Jaguaré";3501;3295;3525;3736;4078;4802;5116;4608;3874;3340;2884;2381;1954;1537;1178;1742;51551
"Jaraguá";14706;14003;16196;17268;17052;17676;17354;15990;14319;12746;11052;8920;6407;4278;2748;2980;193695
"Jardim Ângela";26041;25019;27543;28928;28121;28955;28376;25973;22968;18845;14740;11812;8579;5563;3407;3554;308424
"Jardim Helena";11097;10025;11325;12434;12301;12334;11666;10545;9568;8486;7085;5780;4386;3113;2108;2397;134650
"Jardim Paulista";3899;3103;2925;3322;4851;7851;9416;8217;6570;6084;6174;6057;5528;4599;3561;7338;89495
"Jardim São Luís";20736;19252;21477;22796;23706;26554;26366;23797;20824;17866;15036;12462;9445;6456;4203;4910;275886
"José Bonifácio";8592;8962;9920;10424;10338;11362;12190;11188;9285;7964;7068;6619;5631;3782;2305;2600;128230
