População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2004
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4487;4633;5396;6164;7024;6856;6747;6646;6237;6080;5431;4421;4089;3537;3187;4747;85682
"Alto de Pinheiros";1843;1982;2322;2849;3705;3604;3411;3347;3228;3356;3064;2703;2459;1923;1646;2527;43969
"Anhanguera";4858;4803;4999;4535;4562;4735;4976;4434;3645;2629;1755;1175;720;437;302;352;48917
"Aricanduva";6313;6400;7335;7789;8418;8148;7535;7224;6725;6008;5369;4313;3784;2921;2225;2601;93108
"Artur Alvim";7490;7369;8452;9313;10417;10072;9095;8399;7500;7262;6390;5205;4291;3209;2393;2642;109499
"Barra Funda";701;690;744;893;1235;1270;1106;1040;937;869;834;677;597;485;466;913;13457
"Bela Vista";2963;2606;2862;3915;6873;7933;6672;5428;4843;4424;3998;3208;2676;2194;1961;3332;65888
"Belém";2503;2305;2594;2970;3761;3739;3342;3169;2913;2734;2319;1905;1754;1521;1465;2444;41438
"Bom Retiro";2000;1872;1968;2201;2949;2939;2579;2230;2035;1767;1525;1243;1115;871;844;1232;29370
"Brás";1897;1761;1791;2028;2707;2749;2529;2372;2053;1670;1348;1005;805;665;541;804;26725
"Brasilândia";24224;23507;24931;24802;25300;24285;22166;19601;16927;13693;10955;7961;6166;4336;3126;3685;255665
"Butantã";2567;2546;3001;3719;4945;5108;4528;4131;3882;3740;3469;2921;2551;2060;1748;2641;53557
"Cachoeirinha";12779;12652;13346;13842;14134;13712;12837;11328;10118;8425;6821;4879;3872;2830;2151;2626;146352
"Cambuci";1883;1709;1919;2217;2718;2723;2691;2520;2337;2135;1907;1547;1392;1188;1173;1910;31969
"Campo Belo";3433;3319;3660;4283;5713;5843;5444;5264;4771;4609;4400;3901;3328;2656;2295;3470;66389
"Campo Grande";5977;6074;6939;7372;8003;8226;8597;8491;7814;6889;5649;4348;3500;2631;2049;2670;95229
"Campo Limpo";17564;16726;18197;18610;20165;19937;18498;16326;13974;11320;9041;6446;4774;3259;2325;2651;199813
"Cangaíba";10305;10361;11814;12125;12709;12501;11723;11220;10077;8667;7145;5472;4361;3349;2548;3066;137443
"Capão Redondo";22473;22124;24065;24578;26231;25116;22827;19760;17125;13995;11156;8044;5741;3639;2317;2736;251927
"Carrão";4503;4680;5575;6034;6482;6453;6294;6375;5926;5588;4943;4122;3767;3104;2685;3915;80446
"Casa Verde";5252;5260;6101;6878;7680;7319;6840;6481;6127;5646;4920;3958;3499;2805;2464;3336;84566
"Cidade Ademar";21147;20665;22765;24049;25774;24461;22733;19823;17265;14404;12007;9081;7039;4963;3483;4099;253758
"Cidade Dutra";15608;15784;17714;18449;19150;18081;16867;15448;13950;11681;9800;7025;5386;3648;2584;3063;194238
"Cidade Líder";9621;9769;10701;11353;11844;11379;10674;9468;8623;7517;6274;4619;3401;2356;1595;1838;121032
"Cidade Tiradentes";20113;20189;21161;20484;19050;18319;17178;15226;13567;11218;8269;5421;3535;2196;1346;1280;198552
"Consolação";1863;1842;2112;3400;6060;5720;4639;4175;3932;3967;3740;3122;2682;2302;2163;4152;55871
"Cursino";6243;6211;7296;8137;9079;9049;8610;8344;7915;7256;6298;4932;4474;3676;3177;4354;105051
"Ermelino Matarazzo";9052;8874;9817;10072;10799;10393;9716;8806;7810;6662;5269;4001;3030;2150;1597;1916;109964
"Freguesia do Ó";9525;9674;11162;12003;13003;12669;12190;11541;10900;9683;8270;6269;5310;4190;3495;4533;144417
"Grajaú";33413;33085;34769;35131;35429;34149;31141;27141;23455;18431;13968;9363;6279;3887;2491;2644;344776
"Guaianases";9493;9545;10056;10219;10111;9545;8736;7636;6791;5643;4356;3185;2339;1540;1072;1235;101502
"Iguatemi";10699;10891;11545;11429;10784;10295;9836;8849;7860;6250;4750;3270;2197;1400;839;911;111805
"Ipiranga";6118;6083;6732;7681;8862;9070;8396;7936;7470;6852;5947;4661;4210;3503;3289;5233;102043
"Itaim Bibi";3804;3410;3835;5051;6931;8038;7664;7318;6458;6344;5874;4945;3957;3525;3171;5520;85845
"Itaim Paulista";20322;20561;22275;22249;21016;20171;18733;16648;14893;12087;9469;6675;4949;3375;2184;2393;218000
"Itaquera";17420;17203;18686;18795;19400;19015;17958;16146;14158;11857;9714;7329;5722;4049;2836;3162;203450
"Jabaquara";15458;14971;16835;17949;20011;20435;19744;17963;16262;13934;11537;9049;7461;5858;4795;6372;218634
"Jaçanã";7195;7214;7813;8309;8753;8315;7621;7090;6403;5610;4922;3762;3294;2487;1988;2640;93416
"Jaguara";1483;1566;1799;2026;2283;2200;2002;1943;1848;1750;1615;1245;1065;888;736;1010;25459
"Jaguaré";3479;3373;3531;3837;4404;4558;4262;3636;3054;2656;2239;1861;1545;1142;900;1116;45593
"Jaraguá";14249;14419;15871;15574;15482;14975;14381;13172;11557;9580;7574;5241;3620;2395;1648;1740;161478
"Jardim Ângela";26729;25701;26738;26713;27439;27350;24645;20633;17450;13356;10319;6978;4803;2898;1919;1990;265661
"Jardim Helena";13098;12939;13817;13871;13618;13027;11906;10524;9100;7339;5870;4255;3306;2197;1581;1641;138089
"Jardim Paulista";3118;2954;3339;4602;7460;8313;7300;6603;6188;6291;6107;5282;4400;3677;3415;6727;85776
"Jardim São Luís";21654;21060;22869;23984;25782;25457;23305;20294;17413;14178;11340;8106;6056;4065;2772;3086;251421
"José Bonifácio";8971;8899;10004;10886;11463;10576;9577;8296;8014;7512;6450;4679;3425;2150;1528;1562;113992
"Lajeado";15899;15771;16863;16306;15888;15056;13842;12305;10436;8235;6454;4586;3331;2218;1512;1675;160377
"Lapa";2838;2855;3294;3954;4843;5031;4932;4898;4683;4548;4136;3444;3144;2780;2583;4449;62412
"Liberdade";3275;3059;3471;4475;6238;6759;5914;5305;4858;4411;4031;3183;2687;2144;1961;3188;64959
"Limão";5641;5592;6265;6918;7824;7199;6592;6220;5861;5344;4614;3578;3044;2340;1970;2627;81629
"Mandaqui";6692;6812;7848;8451;9180;9086;9047;8990;8259;7224;6127;4746;4012;3206;2468;3152;105300
"Marsilac";840;849;956;849;733;612;616;562;550;443;369;282;237;179;114;125;8316
"Moema";3440;3162;3622;4453;6033;6666;6650;6666;6087;6155;5601;4395;3470;2786;2560;4309;76055
"Moóca";3369;3333;3895;4595;5408;5457;5367;5523;5227;4818;4223;3574;3281;2989;2733;4424;68216
"Morumbi";2468;2499;2711;2960;3542;3593;3473;3268;3031;2762;2518;2040;1607;1172;913;1286;39843
"Parelheiros";11729;11727;12249;11662;11035;10570;10085;8749;7686;5893;4521;3008;2092;1370;864;980;114220
"Pari";978;908;1000;1204;1512;1438;1253;1148;1080;984;841;716;671;567;583;878;15761
"Parque do Carmo";5622;5645;6160;6299;6489;6280;5883;5140;4526;3811;3170;2260;1736;1173;795;964;65953
"Pedreira";12527;12204;13069;13184;13695;13063;12264;10546;9145;7308;5733;3973;2781;1884;1262;1461;134099
"Penha";7579;7629;8708;9782;10787;10611;10010;9757;9245;8505;7497;6056;5486;4597;4049;5658;125956
"Perdizes";4687;4753;5399;6762;9278;9425;8883;8565;8309;8039;7407;5905;4983;4023;3571;6100;106089
"Perus";7066;6934;7286;7021;7320;7089;6803;5912;5114;3963;3192;2206;1702;1180;802;954;74544
"Pinheiros";2604;2449;2879;3683;5179;6018;5586;5244;4796;4816;4283;3639;3098;2612;2606;4586;64078
"Pirituba";11763;11621;13163;14005;14849;14814;14250;13303;12383;10855;9108;6865;5697;4329;3403;4263;164671
"Ponte Rasa";6749;6849;7839;8438;8828;8520;7978;7505;7140;6356;5465;4237;3562;2660;2155;2537;96818
"Raposo Tavares";7945;7953;8339;9046;9434;9366;8706;7496;6580;5551;4614;3336;2428;1638;1054;1277;94763
"República";2498;2104;2214;3045;5237;6046;5341;4581;4119;3565;3195;2519;2121;1604;1305;2013;51507
"Rio Pequeno";8656;8429;9352;10073;11048;10848;10110;9275;8342;7302;5971;4429;3714;2722;2022;2384;114677
"Sacomã";17548;17353;18946;20232;22021;22291;21404;19592;17536;14868;11939;9116;7501;5761;4628;5780;236516
"Santa Cecília";3670;3312;3728;4754;7117;7750;6881;6197;5862;5402;4870;3892;3339;2798;2526;4413;76511
"Santana";5727;5944;7259;8471;11252;11006;9928;9615;9367;9061;7822;6336;5523;4627;4206;6357;122501
"Santo Amaro";2856;2994;3547;4285;5330;5145;4951;5050;4868;4929;4629;4067;3437;2793;2427;3835;65143
"São Domingos";6074;5872;6486;6991;7875;7805;7353;6705;6091;5290;4532;3662;3006;2237;1725;1966;83670
"São Lucas";9167;9315;10422;11227;12310;12191;11719;11467;10388;9549;8073;6507;5709;4522;3797;4475;140838
"São Mateus";12349;12434;14002;14374;14692;14358;13443;12471;11120;9482;7920;5878;4696;3476;2467;2714;155876
"São Miguel";7607;7488;8482;8697;9041;8607;8024;7370;6713;5649;4715;3741;3116;2495;1870;2321;95936
"São Rafael";12656;12553;12954;12705;12741;12713;11887;10390;8757;7153;5681;4215;3075;2055;1299;1387;132221
"Sapopemba";23182;23498;25895;26885;27351;26072;24181;22212;20006;17200;14169;10375;8377;5759;4085;4300;283547
"Saúde";5699;5683;6542;7885;9942;11132;10722;10091;9676;9136;8244;6661;5697;4903;4408;7059;123480
"Sé";1337;1268;1389;1602;2368;2406;2115;1951;1671;1344;1101;811;624;528;400;509;21424
"Socorro";1984;2202;2582;3019;3415;3345;3016;3001;2851;2746;2478;2121;1815;1463;1119;1593;38750
"Tatuapé";4089;4259;5058;5826;6652;6806;6652;6850;6646;6344;5394;4441;3930;3452;3175;4854;84428
"Tremembé";14705;14223;15660;16143;16884;16543;15148;14010;12505;10498;8644;6529;5231;3786;2862;3707;177078
"Tucuruvi";5201;5343;6442;7491;8582;8310;7646;7442;7352;7050;6320;5333;4604;3866;3434;4907;99323
"Vila Andrade";9172;8404;8361;8229;9755;10011;9396;8278;6654;5233;3936;2565;1820;1134;790;940;94678
"Vila Curuçá";13411;13505;14723;14605;14126;13849;12744;11472;9877;8074;6531;4951;3844;2636;1807;2096;148251
"Vila Formosa";5579;5783;6752;7514;8224;7873;7343;7229;6996;6605;5703;4713;4089;3310;2847;3818;94378
"Vila Guilherme";2919;3009;3454;3922;4621;4567;4088;3935;3713;3451;3077;2556;2301;1954;1679;2430;51676
"Vila Jacuí";13037;12829;14010;13853;14025;13437;12407;11091;9799;8155;6300;4521;3236;2244;1584;1777;142305
"Vila Leopoldina";1927;1820;1982;2311;2687;2867;2910;2968;2530;2252;1781;1378;1182;945;863;1301;31704
"Vila Maria";8625;8464;9129;9848;11042;10830;9519;8744;7764;6809;5762;4457;3851;3082;2573;3595;114094
"Vila Mariana";5193;5120;6051;8020;11276;12067;10624;9758;9491;9598;8770;7241;5893;4902;4446;8122;126572
"Vila Matilde";6587;6743;7788;8432;9073;8902;8435;8091;7671;6961;6033;5013;4131;3444;2905;3819;104028
"Vila Medeiros";9401;9342;10565;11661;12795;12167;10990;10408;9694;8662;7577;5947;5248;4246;3496;4498;136697
"Vila Prudente";6147;6149;7068;7930;9067;8851;8371;8102;7664;7148;6199;5003;4378;3622;3075;4406;103180
"Vila Sônia";6789;6646;7186;8032;8980;8924;8564;7699;7062;6157;5324;4107;3285;2494;1965;2802;96016
"Total";813393;804953;884298;935479;1017342;1003200;934297;853592;769311;669258;561011;428924;346548;262844;210258;287588;10782296
Fonte: Fundação SEADE, 1996 a 2023
