População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2016
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4785;4027;3973;4534;5096;6092;6696;6857;6188;5762;6019;5794;4962;4046;3076;5776;83683
"Alto de Pinheiros";1727;1716;1732;1956;2323;2836;3053;3348;3044;2917;3232;3082;2837;2446;1957;3676;41882
"Anhanguera";5711;5428;5854;7191;7433;7419;6848;6439;6299;5939;4731;3417;2316;1374;774;777;77950
"Aricanduva";5271;4852;5105;6032;6199;6917;7329;6867;6388;6133;5717;5292;4440;3653;2771;4162;87128
"Artur Alvim";6255;5862;5984;7027;7364;8301;9095;8840;7836;6773;6388;5840;5146;4187;3065;4191;102154
"Barra Funda";1018;796;723;729;839;1182;1467;1475;1297;1008;951;925;797;693;486;993;15379
"Bela Vista";4157;2981;2515;2698;3494;6280;8776;7994;6069;5017;4571;4290;3865;3166;2233;3886;71992
"Belém";4164;2847;2433;2597;2765;3786;4613;4336;3562;2985;2929;2655;2358;1782;1301;2659;47772
"Bom Retiro";3004;2333;2158;2350;2549;3399;3708;3444;2714;2367;2121;1859;1584;1160;843;1591;37184
"Brás";2891;1886;1737;1917;2132;2947;3299;3018;2530;2117;1835;1642;1286;942;643;901;31723
"Brasilândia";23926;19736;20710;24339;23768;24284;24014;21923;19451;17873;15197;12645;9702;7164;4661;5805;275198
"Butantã";2811;2394;2301;2506;2960;4374;5442;5071;4159;3666;3580;3436;3169;2652;1996;3583;54100
"Cachoeirinha";11617;9936;10105;11581;11829;12554;12948;12056;10390;9469;8514;7508;5783;4220;2757;3710;144977
"Cambuci";2558;2235;2087;2230;2343;2947;3495;3601;3255;2776;2534;2367;2007;1537;1186;2280;39438
"Campo Belo";3505;3153;2973;3080;3240;4308;5299;5628;5237;4596;4503;4313;3986;3322;2686;4783;64612
"Campo Grande";5986;5787;5778;6567;6870;7476;8471;9194;8610;8216;7741;6843;5549;4219;3026;4409;104742
"Campo Limpo";16644;15318;15448;17858;17615;19393;20664;20090;17719;15070;12513;10843;8516;6107;3871;4632;222301
"Cangaíba";9809;8277;8502;10184;10610;11858;12051;11022;10011;9416;8880;7827;6261;4698;3378;4568;137352
"Capão Redondo";22793;19955;20720;23937;23783;25731;26500;24758;21662;18974;15699;13187;10553;7592;4815;4921;285580
"Carrão";4460;4107;4295;5079;5518;6309;6798;6810;6344;5959;6115;5656;4820;3982;2979;5305;84536
"Casa Verde";5740;4793;4745;5411;5688;6910;7568;7234;6215;5616;5565;5308;4535;3555;2645;4478;86006
"Cidade Ademar";21750;18660;18798;21601;22269;24927;25542;24184;21137;18516;15710;13696;11076;8341;5659;6918;278784
"Cidade Dutra";14383;12632;13291;15636;15926;17296;17578;16748;14989;13727;12113;10731;8686;6657;4350;5041;199784
"Cidade Líder";9280;8371;8798;10135;10591;11461;11904;11306;10070;8931;7953;7120;5824;4365;2833;3028;131970
"Cidade Tiradentes";17955;16881;18649;21530;20990;20356;20002;18306;15927;13737;11929;10353;8090;5218;3012;2737;225672
"Consolação";2273;1752;1652;1885;2955;5853;6638;5421;4211;3666;3903;3872;3461;2999;2270;4650;57461
"Cursino";6744;6033;5863;6450;7083;8471;9713;9567;8358;7721;7702;7472;6312;4826;3500;6376;112191
"Ermelino Matarazzo";8470;7713;7864;9079;9319;10262;10450;9711;8740;8058;7074;6143;5047;3612;2351;3030;116923
"Freguesia do Ó";9139;7662;7825;9431;9896;11341;12333;11776;10343;9654;9505;9113;7410;5560;3813;6226;141027
"Grajaú";31600;27552;29099;34302;34040;34171;33764;31035;27814;25279;21069;17054;12783;8793;5133;4882;378370
"Guaianases";8754;7594;8064;9389;9627;9575;9303;8612;7674;6969;5942;5062;4013;2805;1778;2010;107171
"Iguatemi";11830;10261;11003;12966;13117;12773;12162;10908;10012;9456;8068;6486;4870;3248;1971;1881;141012
"Ipiranga";6620;5856;5779;6511;7139;8451;9607;9434;8589;7812;7430;6883;5825;4573;3339;6456;110304
"Itaim Bibi";5145;4438;3505;3422;4194;6140;8974;10180;8644;6760;6465;6353;5978;5004;3742;6944;95888
"Itaim Paulista";17991;16228;17183;20567;20904;20763;19975;18066;16263;15318;13342;11183;8480;5993;3877;4193;230326
"Itaquera";15407;13792;14338;17055;16943;17555;17794;17291;15970;14540;12488;10675;8657;6464;4465;5317;208751
"Jabaquara";15043;13415;13176;15209;15761;18404;20496;20206;17513;15979;14883;13219;10783;7989;5952;9169;227197
"Jaçanã";6134;6001;6396;7357;7371;8069;8489;8060;6934;6117;5686;5297;4376;3372;2338;3565;95562
"Jaguara";1447;1259;1300;1479;1547;1891;2122;2051;1783;1632;1615;1583;1373;1133;796;1301;24312
"Jaguaré";3640;3324;3394;3743;3876;4409;5076;4984;4290;3601;3167;2628;2156;1725;1295;1919;53227
"Jaraguá";15720;13776;14973;17843;17585;17709;17776;16907;15204;13604;11887;10117;7582;5195;3258;3432;202568
"Jardim Ângela";26967;24863;25786;29590;28498;28475;28873;27335;24590;21445;16504;13333;10155;6939;4166;4176;321695
"Jardim Helena";11564;9712;9963;11912;12044;12004;11659;10661;9553;8753;7386;6165;4790;3506;2312;2614;134598
"Jardim Paulista";4306;3494;2966;3094;3781;6195;8970;9274;7365;6206;6123;6130;5830;5056;3981;7414;90185
"Jardim São Luís";21826;19017;19801;22879;22890;25423;26714;25086;22117;19303;16147;13655;10806;7753;4924;5549;283890
"José Bonifácio";8463;8668;9319;10747;10451;10738;11886;12135;10230;8662;7379;6742;6213;4747;2807;3012;132199
"Lajeado";14121;12546;12969;15704;15835;15718;14676;13254;12321;11052;9160;7706;5845;4055;2538;2774;170274
"Lapa";3432;3119;2929;3122;3520;4502;5481;5822;5211;4818;4900;4699;4094;3334;2612;5355;66950
"Liberdade";4166;3336;2984;3226;4022;5868;7398;7076;5957;5021;4613;4458;3925;3264;2293;4009;71616
"Limão";5847;4707;4671;5292;5625;6630;6975;6637;5818;5207;4877;4658;3997;3087;2092;3349;79469
"Mandaqui";6382;5674;5866;7016;7545;8619;9049;8911;8534;8155;7874;7055;5603;4410;3240;4889;108822
"Marsilac";520;565;649;860;793;729;623;586;493;528;504;463;362;260;171;210;8316
"Moema";4100;3917;3438;3589;4118;5531;7423;8473;7712;6476;6450;6329;5913;4888;3313;5977;87647
"Moóca";4536;3903;3618;3987;4729;5907;6640;6711;6204;5828;5621;5273;4463;3446;2682;5445;78993
"Morumbi";3577;2802;2831;3260;3317;3688;4048;4219;3984;3750;3493;3099;2618;2160;1627;2447;50920
"Parelheiros";12661;10778;11630;13982;13631;12548;12002;11419;10550;9570;7794;6423;4692;3227;1935;1894;144736
"Pari";1541;1162;1102;1185;1299;1636;1678;1444;1281;1188;1080;946;736;653;482;1025;18438
"Parque do Carmo";5204;4738;5027;5661;5652;6093;6351;5966;5316;4750;4012;3542;2874;2190;1381;1666;70423
"Pedreira";11173;10800;11310;13244;13468;14115;13901;13153;11684;10560;8761;7434;5647;3978;2484;2738;154450
"Penha";7692;6757;6869;7871;8597;10212;11028;10371;9352;9014;8868;8212;6907;5622;4160;7315;128847
"Perdizes";5274;4898;4745;4884;5733;8359;10627;10871;8932;7875;7931;8087;7447;6250;4305;7613;113831
"Perus";7286;6118;6390;7612;7562;7692;7155;6868;6423;5911;4870;3900;2932;2108;1316;1522;85665
"Pinheiros";3123;2730;2466;2558;2907;4264;6247;6557;5379;4702;4688;4525;4206;3458;2698;5340;65848
"Pirituba";11237;10066;10125;11674;12250;13850;14918;14247;12561;11849;11310;10326;8431;6339;4446;6412;170041
"Ponte Rasa";5649;5251;5463;6518;6707;7535;7952;7238;6419;6223;6020;5710;4652;3548;2572;3793;91250
"Raposo Tavares";8418;7012;7333;8025;8113;8687;9519;9449;8198;7026;5873;5094;4259;3248;2153;2264;104671
"República";3667;2662;2240;2381;3043;5402;7010;6454;5390;4688;4118;3664;3043;2383;1709;2561;60415
"Rio Pequeno";10054;7493;7375;8241;8515;10094;11179;10652;9218;8392;7647;6733;5347;4068;2798;4007;121813
"Sacomã";16591;15630;16072;18053;19009;21722;23886;22727;19924;17922;16528;14562;11682;8577;6013;9019;257917
"Santa Cecília";4957;3857;3457;3829;4686;7113;8971;8453;7059;6375;5957;5558;4858;3915;2893;5182;87120
"Santana";6224;5026;4870;5804;6707;8763;10084;9465;8277;7961;8340;8300;7390;5825;4180;7934;115150
"Santo Amaro";3695;3442;3443;3783;4126;4858;5722;6120;5903;5441;5422;5088;4547;3881;3089;5264;73824
"São Domingos";5381;5113;5262;5955;6211;6984;7513;7143;6428;6127;5701;5052;4075;3234;2368;3266;85813
"São Lucas";8080;7938;8119;9071;9808;11534;12461;11704;10462;9875;10066;8963;7444;5868;4402;7151;142946
"São Mateus";11154;9739;10177;12159;12272;13248;13699;12506;11346;10526;9640;8499;6748;5103;3549;4608;154973
"São Miguel";7451;5684;5698;6954;7150;7761;7526;6764;6248;6098;5645;4915;3792;2864;2189;3185;89924
"São Rafael";11089;11032;12327;14125;13620;13133;12938;12480;11702;10611;8866;6951;5318;3941;2679;2778;153590
"Sapopemba";20622;18577;19516;22716;23399;25373;25522;23199;20726;19138;17678;15578;12478;9342;6267;7685;287816
"Saúde";6697;5882;5465;5840;6655;9120;12063;12564;10613;9643;9531;9558;8485;6778;5158;9261;133313
"Sé";2337;1349;1365;1568;1744;2460;2722;2543;2416;1938;1450;1182;859;629;465;597;25624
"Socorro";2091;1730;1845;2078;2268;2684;3099;2984;2766;2542;2579;2412;2136;1781;1459;2224;36678
"Tatuapé";4796;4202;4407;5138;5846;6966;7727;7701;7273;7052;7337;6739;5657;4305;3237;6296;94679
"Tremembé";16269;13871;14476;17318;17899;18388;18253;17198;15997;14599;12821;11014;8820;6475;4374;5911;213683
"Tucuruvi";5087;4544;4608;5293;6024;7654;8510;8042;6954;6561;6683;6754;6013;4681;3531;6409;97348
"Vila Andrade";10455;10668;11159;12311;12348;13902;14203;13955;12625;10639;8746;6715;4799;3370;2154;2500;150549
"Vila Curuçá";10961;10144;11085;13343;13478;13288;13125;11914;11232;10258;8789;7243;5695;4300;2945;3557;151357
"Vila Formosa";5164;4775;4995;5986;6459;7496;7865;7312;6588;6458;6746;6449;5448;4242;3133;5388;94504
"Vila Guilherme";3902;3078;3019;3380;3485;4205;4835;4853;4278;3757;3596;3475;2987;2350;1766;3176;56142
"Vila Jacuí";9350;9743;10446;12283;12521;13232;13068;11856;10526;9687;8723;7560;5781;3971;2518;2978;144243
"Vila Leopoldina";2437;2423;2258;2412;2610;3185;3847;4414;4218;3409;3119;2559;1998;1479;1053;1895;43316
"Vila Maria";8598;7162;7236;8132;8539;9906;10544;9499;8149;7329;6720;6015;4876;3719;2666;4543;113633
