População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2010
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Cidade Ademar";18544;19559;22337;21579;25411;26325;24900;21483;18988;16091;14339;11599;8921;6203;4436;5764;266479
"Cidade Dutra";12847;14229;16547;15755;17955;18478;17579;15595;14457;12711;11438;9230;7234;4779;3281;4202;196317
"Cidade Líder";8357;9140;10379;10157;11400;12201;11538;10219;9133;8205;7469;6118;4668;3092;2011;2425;126512
"Cidade Tiradentes";17070;19535;21988;19792;19740;20326;18559;16121;14003;12291;10835;8452;5417;3241;1922;2017;211309
"Consolação";1623;1619;1852;3052;6560;6583;5123;3974;3567;3987;3887;3466;3065;2327;2038;4619;57342
"Cursino";5821;5820;6424;6921;8773;10089;9560;8170;7713;7854;7633;6364;4919;3679;3408;5881;109029
"Ermelino Matarazzo";7820;8225;9460;9106;10533;10843;10025;9012;8397;7330;6456;5340;3845;2591;1955;2618;113556
"Freguesia do Ó";7694;8350;10059;9854;11929;13127;12331;10734;10252;10249;9861;7878;6035;4262;3721;6013;142349
"Grajaú";27807;30907;36023;33078;34484;35237;32230;28870;26501;21783;17887;13469;9459;5562;3420;3821;360538
"Guaianases";7722;8655;9925;9566;9745;9756;9029;8032;7376;6247;5427;4318;3050;2007;1393;1700;103948
"Iguatemi";9845;11084;12741;11956;12118;11992;10671;9942;9510;7988;6500;4938;3336;2105;1289;1403;127418
"Ipiranga";5619;5728;6441;6820;8580;9870;9375;8449;7731;7484;6966;5898;4698;3525;3158;6455;106797
"Itaim Bibi";4169;3240;3214;3960;6269;9494;10147;8155;6348;6433;6359;6031;5030;3811;2931;6883;92474
"Itaim Paulista";16655;18410;21895;20673;21138;20876;18834;17074;16319;14033;11895;9005;6516;4358;2970;3323;223974
"Itaquera";14055;15240;18064;16604;17999;18705;18228;16728;15292;13073;11370;9290;7068;5065;3696;4364;204841
"Jabaquara";13477;13655;15836;15386;19097;21597;20974;17765;16569;15525;13789;11250;8436;6600;5264;8479;223699
"Jaçanã";6193;6722;7641;7161;8275;8870;8343;7067;6332;5991;5642;4622;3650;2597;2239;3240;94585
"Jaguara";1276;1389;1558;1551;2023;2273;2150;1844;1726;1746;1720;1478;1248;886;733;1301;24902
"Jaguaré";3217;3384;3668;3636;4420;5230;4938;4152;3493;3129;2581;2162;1763;1354;1091;1579;49797
"Jaraguá";13197;15065;17461;15719;16791;17602;16681;14926;13481;11845;10238;7646;5362;3489;2351;2597;184451
"Jardim Ângela";24364;26004;29701;26805;28381;29485;27346;24441;21302;16047;13444;10289;7119;4375;2835;3041;294979
"Jardim Helena";10190;11045;13102;12341;12753;12669;11579;10463;9681;8086;6870;5362;4020;2739;1966;2209;135075
"Jardim Paulista";3250;2814;2974;3624;6633;9480;9097;6896;5975;6122;6168;5893;5132;4099;3150;7344;88651
"Jardim São Luís";18792;20545;23405;21653;25460;27341;25451;22334;19591;16338;14094;11194;8127;5276;3657;4359;267617
"José Bonifácio";8658;9327;10606;9553;10463;12183;12163;9869;8497;7290;6894;6488;4892;2880;1957;2250;123970
"Lajeado";12844;13848;16807;15638;16037;15246;13862;13041;11630;9575;8240;6218;4402;2846;1949;2268;164451
"Lapa";2983;2828;2986;3269;4499;5605;5789;5024;4741;4958;4735;4130;3419;2775;2543;5408;65692
"Liberdade";3109;2900;3171;3976;6233;7708;6933;5734;4867;4583;4515;3944;3336;2334;1979;3708;69030
"Limão";4723;5007;5630;5718;7108;7456;7036;6102;5545;5282;5122;4364;3414;2377;2033;3328;80245
"Mandaqui";5645;6088;7267;7290;8714;9270;9180;8779;8431;8211;7313;5783;4708;3554;2890;4420;107543
"Marsilac";607;698;927;759;728;629;618;505;581;534;499;381;284;192;148;169;8259
"Moema";3754;3204;3341;3689;5389;7546;8364;7305;6097;6389;6245;5870;4807;3209;2598;5454;83261
"Moóca";3662;3456;3771;4326;5718;6538;6552;5996;5717;5596;5299;4475;3499;2865;2634;5509;75613
"Morumbi";2578;2791;3125;2938;3515;3995;4161;3857;3662;3420;3040;2586;2178;1664;1295;2034;46839
"Parelheiros";10323;11801;13921;12493;11930;11971;11387;10496;9564;7666;6506;4728;3350;2058;1296;1423;130913
"Pari";1071;1089;1151;1230;1672;1669;1394;1263;1185;1079;953;737;704;518;540;1022;17277
"Parque do Carmo";4808;5311;5853;5505;6237;6648;6173;5470;4917;4135;3747;3037;2374;1510;1108;1389;68222
"Pedreira";10872;11575;13485;12581;13681;13862;13254;11675;10686;8716;7578;5700;4087;2589;1686;2138;144165
"Penha";6672;7078;8047;8307;10356;11303;10512;9483;9343;9257;8557;7203;6022;4556;4133;6962;127791
"Perdizes";4726;4626;4655;5450;8703;10951;10725;8445;7677;7986;8203;7504;6342;4323;3464;7307;111087
"Perus";6001;6647;7853;7136;7548;7146;7069;6590;6096;4936;4022;3053;2261;1441;1044;1258;80101
"Pinheiros";2603;2390;2500;2841;4588;6763;6518;5123;4602;4727;4543;4264;3486;2797;2310;5290;65345
"Pirituba";10146;10563;12163;12032;14285;15659;14738;12858;12415;11903;10890;8846;6782;4921;3894;5784;167879
"Ponte Rasa";5508;5924;7048;6774;8052;8569;7644;6843;6799;6584;6300;5051;3944;2963;2448;3478;93929
"Raposo Tavares";6957;7762;8230;7935;8853;10079;9850;8336;7192;6013;5332;4490;3469;2340;1470;1778;100086
"República";2391;2112;2240;2832;5741;7054;6147;5130;4552;4038;3670;3056;2443;1799;1375;2318;56898
"Rio Pequeno";7283;7824;8600;8436;10645;11884;11087;9484;8812;8046;7120;5633;4393;3096;2531;3527;118401
"Sacomã";15650;16463;18279;18068;21629;24500;22897;19926;18174;16909;14899;11946;8859;6411;5251;7820;247681
"Santa Cecília";3542;3312;3668;4351;7318;9095;8146;6721;6249;5906;5600;4918;4024;3054;2531;5171;83606
"Santana";4971;5121;6163;6801;9415;10746;9785;8528;8437;9009;8917;7888;6244;4596;4175;8049;118845
"Santo Amaro";3297;3346;3584;3721;4675;5738;6041;5755;5295;5439;5080;4598;3999;3273;2610;5011;71462
"São Domingos";5221;5491;6163;6083;7171;7869;7366;6602;6411;5947;5285;4256;3495;2621;2058;2786;84825
"São Lucas";8129;8382;9302;9588;11819;12912;11946;10650;10242;10649;9250;7768;6234;4837;4307;6308;142323
"São Mateus";10002;11032;13100;12311;13995;14663;13161;12050;11273;10358;9181;7270;5637;4045;3179;3881;155138
"São Miguel";5833;6334;7681;7359;8402;8134;7339;6913;6845;6294;5504;4236;3314;2664;2144;3128;92124
"São Rafael";11039;12626;14156;12898;13030;13176;12569;11735;10620;8776;6917;5397;4104;2876;1881;2021;143821
"Sapopemba";19073;20927;24097;23333;26450;26879;24194;21723;20302;18849;16653;13337;10181;6995;5299;6211;284503
"Saúde";5610;5328;5714;6427;9566;12753;12497;10173;9518;9585;9716;8512;6829;5344;4330;8769;130671
"Sé";1183;1428;1570;1660;2553;2735;2547;2460;1901;1428;1210;870;665;518;369;523;23620
"Socorro";1733;1991;2177;2293;2842;3348;3123;2904;2675;2795;2579;2311;1954;1675;1279;2115;37794
"Tatuapé";3979;4370;4953;5347;6755;7684;7562;7110;6984;7449;6707;5671;4349;3416;3097;6130;91563
"Tremembé";13207;14477;17078;16347;17620;18085;16949;15827;14469;12731;11103;8962;6695;4683;3550;5169;196952
"Tucuruvi";4531;4770;5449;5942;7956;8823;8194;7006;6799;7048;7163;6306;4923;3867;3438;6232;98447
"Vila Andrade";10056;10276;10828;9721;11944;12618;12818;11548;9688;8012;6147;4412;3176;2056;1387;1752;126439
"Vila Curuçá";10497;11968;14229;13331;13541;13831;12431;11924;10817;9231;7671;6100;4721;3330;2440;2968;149030
"Vila Formosa";4815;5203;6222;6280;7653;8079;7443;6718;6750;7161;6762;5678;4490;3425;2977;5136;94792
"Vila Guilherme";2876;3027;3374;3351;4387;5033;4880;4200;3722;3662;3582;3060;2443;1906;1689;3103;54295
"Vila Jacuí";10343;11109;13024;12373;13634;13655;12316;10965;10220;9197;8012;6075;4224;2771;1974;2473;142365
"Vila Leopoldina";2323;2086;2186;2198;2916;3716;4317;3993;3139;3017;2416;1917;1443;1055;907;1731;39360
"Vila Maria";7248;7775;8627;8649;10573;11281;9912;8515;7782;7194;6477;5230;4064;3018;2692;4430;113467
"Vila Mariana";4904;4655;4989;6334;10523;13894;12410;9564;8688;9374;9553;9011;7424;5308;4255;9541;130427
"Vila Matilde";5792;6113;7081;7170;8588;9220;8784;7892;7623;7479;6939;5967;4634;3641;2989;5019;104931
"Vila Medeiros";7721;8028;9261;9360;11578;12022;10605;9271;8847;8683;8460;6875;5541;4211;3642;5900;130005
"Vila Prudente";5432;5447;6294;6554;8647;9552;9005;7680;7403;7648;7152;6035;4855;3785;3256;5480;104225
"Vila Sônia";6528;6741;7292;7549;9430;10603;10214;8749;7844;7057;6499;5539;4466;3210;2467;4059;108247
"Total";710410;757740;866819;841677;990992;1073850;1009378;888065;812427;742235;667245;547773;422802;302159;237172;375239;11245983
Fonte: Fundação SEADE, 1996 a 2023
