População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2010
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";3965;4116;4683;5050;6288;7002;7147;6301;5977;6432;6108;5213;4355;3414;3075;5845;84971
"Alto de Pinheiros";1766;1794;2030;2338;2942;3178;3556;3081;3035;3455;3174;2963;2560;2077;1878;3301;43128
"Anhanguera";5062;5481;6547;5982;6240;6032;5920;5951;5623;4344;3154;2164;1287;753;458;563;65561
"Aricanduva";5071;5545;6489;6248;7356;7881;7283;6845;6631;6167;5775;4815;4072;3163;2689;3634;89664
"Artur Alvim";6168;6463;7592;7481;8883;9898;9472;8316;7220;7000;6398;5706;4695;3533;2736;3756;105317
"Barra Funda";726;685;662;747;1160;1454;1421;1229;938;944;929;794;716;495;425;1046;14371
"Bela Vista";2695;2410;2624;3429;6930;9195;7667;5687;4848;4519;4314;3918;3228;2300;1864;3778;69406
"Belém";2553;2364;2555;2648;4024;4796;4269;3436;2925;3001;2683;2446;1828;1401;1319;2762;45010
"Bom Retiro";2140;2081;2228;2294;3392;3635;3318;2539;2307;2080;1850;1597;1163;888;889;1424;33825
"Brás";1702;1757;1913;2026;3037;3328;2995;2494;2106;1854;1694;1308;987;694;485;849;29229
"Brasilândia";19769;22195;25682;23259;24869;25152;22832;20302;18924;15901;13441;10344;7868;5243;3913;5070;264764
"Butantã";2339;2335;2529;2907;4645;5691;5067;4101;3707;3712;3567;3324;2794;2148;1921;3397;54184
"Cachoeirinha";10159;10901;12389;11946;13215;13904;12760;10919;10167;9149;8162;6219;4660;3134;2417;3454;143555
"Cambuci";2102;1983;2073;2041;2832;3444;3498;3117;2655;2498;2378;2013;1560;1273;1153;2252;36872
"Campo Belo";3161;3049;3130;3185;4594;5668;5888;5366;4684;4742;4526;4222;3524;2952;2539;4530;65760
"Campo Grande";5688;5733;6549;6537;7501;8782;9363;8490;8232;7747;6837;5551;4281;3161;2476;3703;100631
"Campo Limpo";15402;15918;18404;16711;19541;21335;20634;17922;15249;12698;11283;8803;6413;4150;3007;3716;211186
"Cangaíba";8360;9114;10885;10597;12448;12695;11514;10530;10021;9504;8349;6683;5113;3824;2816;4175;136628
"Capão Redondo";19806;21528;24564;22559;25724;27116;25193;21903;19341;15890;13639;11000;7993;5184;3249;3792;268481
"Carrão";3983;4313;5078;5266;6376;6925;6826;6278;5955;6285;5723;4918;4177;3193;2870;5072;83238
"Casa Verde";4730;4936;5600;5570;7223;7912;7460;6302;5820;5914;5636;4794;3827;2959;2580;4345;85608
