População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2005
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4400;4549;5276;5970;6903;6889;6820;6595;6200;6145;5545;4550;4138;3520;3173;4920;85593
"Alto de Pinheiros";1833;1951;2273;2762;3569;3534;3439;3306;3199;3378;3086;2749;2479;1950;1685;2646;43839
"Anhanguera";4930;4954;5275;4792;4849;4974;5167;4698;3953;2884;1952;1313;800;484;327;384;51736
"Aricanduva";6096;6256;7196;7519;8241;8114;7502;7169;6718;6042;5442;4398;3836;2963;2300;2753;92545
"Artur Alvim";7264;7222;8316;8995;10160;10060;9173;8401;7464;7230;6403;5293;4362;3267;2450;2807;108867
"Barra Funda";713;690;730;867;1223;1299;1153;1069;936;881;848;695;615;487;459;934;13599
"Bela Vista";2917;2578;2827;3836;6893;8143;6840;5478;4850;4445;4056;3321;2766;2212;1946;3409;66517
"Belém";2515;2318;2592;2919;3810;3904;3486;3216;2919;2782;2380;1988;1768;1502;1442;2497;42038
"Bom Retiro";2021;1907;2012;2219;3022;3048;2692;2282;2081;1818;1577;1297;1125;875;852;1264;30092
"Brás";1866;1761;1812;2029;2760;2840;2602;2394;2064;1700;1403;1050;832;670;533;812;27128
"Brasilândia";23468;23336;25110;24594;25285;24482;22325;19761;17283;14070;11362;8336;6436;4486;3253;3895;257482
"Butantã";2537;2515;2923;3577;4904;5211;4623;4135;3860;3743;3492;2990;2596;2077;1780;2759;53722
"Cachoeirinha";12310;12354;13194;13520;13990;13757;12836;11271;10137;8551;7036;5086;3997;2881;2196;2751;145867
"Cambuci";1927;1757;1951;2194;2744;2841;2821;2619;2395;2198;1984;1621;1422;1206;1173;1969;32822
"Campo Belo";3390;3275;3570;4081;5515;5820;5522;5286;4760;4636;4425;3957;3364;2706;2336;3632;66275
"Campo Grande";5938;6026;6886;7240;7932;8333;8738;8505;7897;7039;5843;4538;3627;2718;2120;2825;96205
"Campo Limpo";17206;16612;18257;18304;20088;20192;18864;16605;14199;11554;9393;6798;5022;3398;2430;2808;201730
"Cangaíba";9967;10161;11677;11879;12689;12556;11711;11123;10086;8817;7347;5668;4486;3431;2596;3234;137428
"Capão Redondo";22046;22067;24194;24275;26196;25488;23249;20140;17509;14321;11556;8490;6078;3867;2456;2894;254826
"Carrão";4420;4624;5499;5909;6474;6540;6390;6370;5941;5709;5073;4251;3839;3122;2719;4094;80974
"Casa Verde";5170;5213;6024;6652;7615;7427;6951;6462;6085;5699;5042;4093;3556;2834;2487;3493;84803
"Cidade Ademar";20719;20506;22727;23651;25750;24798;23115;20119;17567;14693;12383;9473;7334;5157;3632;4345;255969
"Cidade Dutra";15137;15540;17543;18000;18978;18177;17012;15499;14058;11867;10072;7364;5668;3822;2693;3234;194664
"Cidade Líder";9415;9678;10664;11163;11790;11532;10833;9608;8722;7642;6470;4850;3591;2469;1660;1929;122016
"Cidade Tiradentes";19618;20123;21344;20412;19205;18680;17438;15405;13669;11416;8670;5849;3803;2347;1431;1383;200793
"Consolação";1820;1806;2070;3346;6151;5866;4725;4147;3875;3977;3770;3183;2747;2311;2146;4233;56173
"Cursino";6177;6151;7152;7930;9038;9226;8772;8324;7890;7360;6511;5153;4551;3680;3217;4582;105714
"Ermelino Matarazzo";8854;8783;9779;9926;10778;10490;9789;8861;7923;6783;5463;4208;3159;2223;1655;2022;110696
"Freguesia do Ó";9203;9455;10989;11634;12840;12765;12234;11422;10808;9792;8532;6523;5435;4209;3538;4759;144138
"Grajaú";32472;32779;35047;34852;35341;34400;31385;27479;23987;18990;14584;9969;6737;4134;2632;2817;347605
"Guaianases";9197;9418;10064;10136;10078;9608;8808;7724;6906;5756;4531;3360;2451;1613;1124;1306;102080
"Iguatemi";10581;10953;11768;11547;11026;10589;9996;9047;8136;6528;5019;3513;2362;1502;902;982;114451
"Ipiranga";6041;6029;6689;7539;8824;9209;8562;8028;7520;6960;6112;4853;4292;3510;3271;5425;102864
"Itaim Bibi";3868;3385;3728;4857;6825;8275;8039;7460;6447;6367;5959;5117;4124;3575;3134;5735;86895
"Itaim Paulista";19693;20218;22246;22013;21069;20318;18780;16745;15146;12411;9851;7026;5189;3527;2301;2532;219065
"Itaquera";16842;16894;18618;18448;19198;19002;18039;16275;14371;12076;9993;7640;5939;4211;2970;3344;203860
"Jabaquara";15131;14764;16688;17519;19884;20652;19973;17957;16336;14208;11902;9398;7627;5984;4877;6691;219591
"Jaçanã";7024;7139;7794;8118;8684;8417;7747;7095;6401;5680;5042;3899;3355;2509;2031;2735;93670
"Jaguara";1449;1539;1761;1942;2243;2218;2031;1931;1832;1754;1637;1284;1094;889;738;1057;25399
"Jaguaré";3441;3380;3558;3808;4414;4671;4375;3724;3127;2733;2296;1910;1581;1177;930;1184;46309
"Jaraguá";14114;14574;16180;15652;15745;15436;14790;13495;11897;9958;7991;5600;3879;2559;1753;1867;165490
