População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2002
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4667;4805;5640;6569;7266;6789;6601;6745;6309;5950;5207;4175;3993;3569;3214;4417;85916
"Alto de Pinheiros";1864;2042;2422;3035;3990;3747;3355;3431;3285;3315;3019;2613;2420;1869;1571;2304;44282
"Anhanguera";4666;4479;4453;4030;4004;4256;4576;3919;3074;2168;1408;937;579;357;257;293;43456
"Aricanduva";6754;6675;7598;8337;8755;8193;7578;7314;6720;5924;5212;4134;3673;2829;2079;2315;94090
"Artur Alvim";7940;7653;8709;9959;10920;10071;8920;8374;7549;7311;6348;5018;4142;3090;2276;2337;110617
"Barra Funda";701;692;776;952;1264;1221;1020;988;943;849;809;646;563;483;482;876;13265
"Bela Vista";3041;2665;2934;4077;6828;7521;6344;5321;4829;4379;3882;2990;2504;2153;1988;3183;64639
"Belém";2487;2290;2612;3091;3684;3447;3086;3090;2917;2656;2214;1755;1732;1566;1520;2349;40496
"Bom Retiro";1948;1801;1882;2168;2808;2732;2366;2132;1947;1670;1427;1141;1097;865;829;1172;27985
"Brás";1966;1763;1752;2030;2605;2579;2391;2335;2037;1613;1250;920;754;655;564;789;26003
"Brasilândia";25739;23795;24513;25162;25269;23837;21797;19237;16198;12937;10164;7247;5646;4041;2879;3290;251751
"Butantã";2638;2606;3157;4013;5020;4898;4334;4115;3920;3729;3418;2780;2460;2019;1684;2415;53206
"Cachoeirinha";13731;13239;13620;14474;14393;13589;12808;11418;10058;8162;6397;4481;3624;2724;2061;2386;147165
"Cambuci";1803;1613;1855;2261;2661;2499;2446;2330;2223;2011;1757;1407;1329;1152;1171;1792;30310
"Campo Belo";3518;3405;3844;4714;6126;5885;5289;5217;4789;4553;4346;3789;3255;2558;2213;3165;66666
"Campo Grande";6046;6162;7040;7638;8139;8011;8316;8454;7642;6594;5275;3990;3258;2463;1914;2384;93326
"Campo Limpo";18260;16927;18045;19201;20283;19403;17755;15750;13511;10847;8361;5782;4309;2991;2124;2359;195908
"Cangaíba";10998;10766;12087;12626;12741;12381;11740;11409;10050;8368;6755;5097;4117;3191;2454;2754;137534
"Capão Redondo";23305;22203;23770;25154;26257;24350;21970;18989;16355;13342;10381;7208;5114;3217;2058;2440;246113
"Carrão";4670;4787;5725;6287;6485;6274;6097;6378;5889;5349;4685;3866;3623;3061;2615;3575;79366
"Casa Verde";5420;5356;6258;7357;7815;7111;6625;6521;6213;5543;4688;3700;3385;2747;2419;3047;84205
"Cidade Ademar";21979;20935;22787;24803;25760;23742;21938;19197;16638;13809;11263;8326;6470;4584;3196;3639;249066
"Cidade Dutra";16544;16229;18001;19316;19436;17831;16524;15294;13693;11281;9245;6372;4849;3310;2369;2739;193033
"Cidade Líder";10020;9927;10745;11709;11923;11052;10337;9172;8408;7258;5885;4182;3041;2139;1467;1666;118931
"Cidade Tiradentes";21116;20288;20765;20594;18715;17588;16640;14848;13344;10813;7511;4647;3048;1919;1189;1094;194119
"Consolação";1943;1912;2196;3505;5872;5430;4467;4224;4043;3944;3673;3000;2552;2282;2196;3988;55227
"Cursino";6361;6315;7576;8546;9139;8685;8276;8362;7946;7032;5878;4507;4314;3658;3090;3919;103604
"Ermelino Matarazzo";9444;9041;9870;10348;10817;10178;9553;8680;7574;6408;4893;3610;2779;2005;1484;1715;108399
"Freguesia do Ó";10172;10109;11499;12756;13316;12458;12085;11766;11070;9455;7762;5782;5065;4145;3406;4107;144953
"Grajaú";35284;33616;34129;35603;35512;33566;30580;26409;22368;17316;12780;8240;5440;3427;2226;2322;338818
"Guaianases";10080;9778;10013;10357;10149;9396;8568;7446;6552;5410;4016;2855;2122;1398;973;1100;100213
"Iguatemi";10920;10749;11091;11175;10297;9715;9503;8449;7322;5718;4250;2829;1897;1212;720;784;106631
"Ipiranga";6286;6195;6820;7977;8943;8803;8079;7759;7372;6642;5632;4302;4051;3492;3326;4871;100550
"Itaim Bibi";3667;3455;4049;5451;7134;7567;6950;7028;6465;6285;5694;4605;3637;3418;3240;5104;83749
"Itaim Paulista";21586;21198;22264;22661;20846;19817;18585;16406;14356;11431;8722;6003;4487;3080;1960;2132;215534
"Itaquera";18596;17800;18782;19467;19770;19003;17758;15858;13713;11405;9161;6731;5301;3733;2580;2823;202481
"Jabaquara";16106;15368;17105;18810;20232;19969;19262;17947;16087;13379;10820;8378;7129;5605;4626;5767;216590
"Jaçanã";7523;7348;7831;8686;8871;8096;7355;7059;6394;5458;4676;3492;3166;2438;1901;2454;92748
"Jaguara";1552;1622;1880;2204;2366;2165;1946;1969;1881;1744;1573;1172;1005;886;735;924;25624
