População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2002
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Jaguaré";3551;3348;3467;3883;4374;4327;4035;3458;2905;2500;2123;1759;1469;1071;838;987;44095
"Jaraguá";14481;14078;15228;15380;14928;14057;13559;12517;10876;8842;6787;4578;3146;2092;1450;1510;153509
"Jardim Ângela";27388;25433;25647;26511;26957;26498;23650;19371;16220;12483;9386;6091;4185;2509;1673;1715;255717
"Jardim Helena";14150;13554;13977;14333;13832;13068;11943;10481;8858;7059;5535;3917;3079;2029;1461;1476;138752
"Jardim Paulista";3057;2990;3457;4965;7730;7928;6759;6489;6243;6331;6063;5073;4165;3532;3493;6507;84782
"Jardim São Luís";22539;21081;22530;24639;25708;24681;22470;19518;16623;13428;10472;7227;5452;3701;2510;2731;245310
"José Bonifácio";9012;8703;9747;11296;11740;10021;8785;7778;7812;7538;6268;4169;3022;1937;1398;1373;110599
"Lajeado";17002;16398;16811;16464;15772;14930;13778;12018;10023;7800;5925;4126;3022;2032;1384;1506;158991
"Lapa";2784;2853;3393;4199;4948;4837;4660;4841;4649;4405;3944;3230;3047;2774;2589;4155;61308
"Liberdade";3321;3101;3564;4640;6220;6448;5588;5153;4843;4340;3868;2954;2493;2078;1949;3022;63582
"Limão";5958;5773;6460;7334;8037;7078;6417;6227;5940;5338;4434;3332;2916;2317;1941;2417;81919
"Mandaqui";7043;7035;8012;8832;9295;8981;8957;9015;8159;6885;5745;4421;3785;3083;2331;2803;104382
"Marsilac";938;899;959;875;733;602;610;578;535;414;331;253;222;171;104;111;8335
"Moema";3321;3132;3703;4717;6232;6365;6130;6431;6054;6047;5375;3971;3097;2645;2534;3964;73718
"Moóca";3265;3280;3922;4669;5289;5119;5002;5353;5055;4566;3900;3305;3198;3019;2755;4096;65793
"Morumbi";2393;2374;2547;2924;3500;3418;3222;3046;2804;2535;2331;1858;1432;1028;801;1088;37301
"Parelheiros";12095;11566;11601;11266;10628;10023;9575;8139;7063;5336;3960;2557;1768;1182;747;855;108361
"Pari";955;855;955;1194;1460;1366;1207;1110;1046;953;807;710;659;585;597;835;15294
"Parque do Carmo";5886;5724;6225;6545;6531;6121;5753;5001;4375;3685;2979;2035;1553;1070;707;848;65038
"Pedreira";13056;12349;12860;13317;13622;12736;11885;10137;8633;6851;5195;3503;2432;1685;1140;1282;130683
"Penha";7884;7799;8913;10299;10901;10359;9819;9820;9185;8244;7151;5699;5302;4598;4012;5267;125252
"Perdizes";4651;4768;5640;7225;9423;8914;8295;8556;8486;8010;7119;5421;4571;3908;3588;5712;104287
"Perus";7418;6989;7062;6941;7203;7029;6678;5668;4795;3661;2937;1967;1539;1097;730;865;72579
"Pinheiros";2589;2461;3005;3999;5372;5766;5285;5263;4846;4830;4181;3437;2968;2543;2703;4355;63603
"Pirituba";12295;11937;13446;14659;14968;14471;14018;13387;12309;10472;8538;6276;5349;4128;3238;3832;163323
"Ponte Rasa";7183;7148;8077;9031;9053;8460;8049;7698;7217;6248;5183;3973;3424;2554;2054;2272;97624
"Raposo Tavares";8265;7981;8336;9406;9590;9096;8315;7202;6360;5380;4379;3008;2147;1447;939;1139;92990
"República";2525;2092;2194;3109;5058;5719;5076;4395;3974;3408;3038;2352;2016;1536;1278;1913;49683
"Rio Pequeno";9119;8598;9569;10634;11132;10471;9757;9160;8152;7033;5605;4067;3495;2595;1866;2081;113334
"Sacomã";18153;17583;19092;20918;22055;21506;20837;19396;17252;14183;11041;8294;7063;5537;4418;5204;232532
"Santa Cecília";3687;3289;3723;4863;7004;7301;6462;5996;5706;5215;4619;3578;3115;2699;2510;4158;73925
"Santana";5971;6214;7625;9065;11935;11092;9955;9964;9653;9030;7451;5858;5272;4612;4196;5843;123736
"Santo Amaro";2702;2867;3514;4464;5532;4930;4602;4804;4703;4740;4461;3880;3248;2632;2352;3484;62915
"São Domingos";6370;5988;6580;7305;8103;7760;7329;6721;5971;5075;4295;3474;2849;2118;1623;1747;83308
"São Lucas";9506;9608;10781;11787;12429;11911;11596;11706;10396;9171;7685;6109;5522;4404;3628;3976;140215
"São Mateus";13153;12847;14212;15025;14823;14154;13440;12523;10989;9139;7484;5436;4386;3281;2250;2393;155535
"São Miguel";8256;7868;8710;9137;9206;8713;8214;7481;6626;5413;4450;3567;3035;2426;1776;2089;96967
"São Rafael";13197;12482;12527;12592;12601;12517;11621;9938;8180;6656;5301;3866;2782;1829;1146;1219;128454
"Sapopemba";24627;24310;26401;28057;27532;25689;24065;22274;19816;16609;13366;9499;7814;5374;3729;3786;282948
"Saúde";5692;5766;6797;8385;10003;10569;10119;9994;9665;8929;7752;6095;5327;4732;4402;6523;120750
"Sé";1402;1218;1334;1584;2309;2306;1988;1805;1602;1316;1067;792;612;534;410;505;20784
"Socorro";2058;2261;2713;3287;3607;3321;2959;3016;2891;2712;2429;2048;1759;1390;1063;1440;38954
"Tatuapé";4099;4201;5066;5963;6582;6501;6339;6729;6503;5981;4990;4073;3778;3447;3185;4467;81904
"Tremembé";15141;14050;15119;15974;16542;15959;14499;13369;11835;9782;7902;5839;4788;3505;2647;3298;170249
"Tucuruvi";5421;5523;6779;8055;8761;8108;7437;7559;7512;7021;6033;5020;4482;3849;3416;4511;99487
"Vila Andrade";8661;7652;7469;7579;8881;9024;8251;7215;5719;4419;3304;2084;1473;906;637;743;84017
"Vila Curuçá";14447;13961;14787;14950;14227;13760;12762;11245;9516;7666;6145;4587;3564;2421;1624;1855;147517
"Vila Formosa";5834;5965;6910;7945;8391;7775;7281;7377;7049;6404;5365;4412;3947;3260;2793;3445;94153
"Vila Guilherme";2929;3000;3474;4122;4693;4413;3846;3843;3702;3376;2921;2403;2252;1965;1673;2237;50849
"Vila Jacuí";14012;13391;14281;14310;14085;13298;12374;11075;9613;7795;5784;4075;2946;2082;1465;1584;142170
"Vila Leopoldina";1783;1716;1892;2319;2586;2597;2519;2652;2324;2014;1589;1218;1093;898;837;1165;29202
"Vila Maria";9114;8675;9271;10250;11164;10647;9358;8793;7730;6662;5523;4209;3770;3095;2527;3340;114128
"Vila Mariana";5267;5260;6423;8635;11485;11461;10041;9776;9732;9629;8483;6701;5431;4751;4490;7660;125225
"Vila Matilde";6850;6939;8006;8864;9204;8763;8288;8126;7656;6771;5734;4712;3960;3367;2865;3475;103580
"Vila Medeiros";9998;9787;10993;12492;13172;12164;11076;10770;9952;8617;7274;5642;5131;4242;3441;4093;138844
"Vila Prudente";6393;6386;7331;8430;9189;8611;8150;8229;7733;6973;5896;4689;4219;3561;3010;4087;102887
"Vila Sônia";6825;6558;7090;8132;8761;8355;8007;7315;6762;5833;4940;3686;2942;2276;1806;2455;91743
"Total";847013;817273;886302;964878;1021509;975949;906512;838841;752512;643811;527280;393824;323443;250470;201785;262289;10613691
Fonte: Fundação SEADE, 1996 a 2023
