População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2000
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4834;4969;5879;6978;7493;6700;6437;6826;6360;5803;4977;3929;3887;3590;3232;4098;85992
"Alto de Pinheiros";1876;2097;2516;3222;4281;3881;3288;3504;3331;3263;2965;2517;2374;1810;1495;2093;44513
"Anhanguera";4408;4106;3898;3519;3455;3760;4137;3406;2549;1758;1109;734;457;286;214;241;38037
"Aricanduva";7197;6934;7839;8887;9069;8202;7590;7375;6688;5817;5037;3946;3550;2730;1934;2050;94845
"Artur Alvim";8373;7904;8923;10590;11384;10015;8699;8303;7558;7319;6271;4813;3976;2958;2152;2056;111294
"Barra Funda";693;690;803;1007;1285;1164;934;932;941;821;779;611;528;477;494;833;12992
"Bela Vista";3116;2716;2997;4232;6761;7107;6012;5201;4802;4321;3757;2775;2335;2108;2007;3029;63276
"Belém";2476;2280;2634;3223;3617;3183;2856;3021;2926;2587;2116;1623;1715;1615;1578;2262;39712
"Bom Retiro";1899;1734;1802;2134;2674;2539;2170;2037;1863;1579;1335;1048;1079;857;814;1114;26678
"Brás";2035;1757;1708;2024;2497;2410;2251;2287;2014;1552;1154;839;705;643;584;770;25230
"Brasilândia";27200;23952;23968;25386;25097;23266;21316;18776;15413;12155;9375;6559;5139;3745;2638;2921;246906
"Butantã";2693;2655;3308;4311;5074;4677;4131;4082;3940;3700;3351;2636;2362;1971;1615;2199;52705
"Cachoeirinha";14682;13781;13828;15056;14580;13397;12713;11448;9947;7865;5967;4092;3374;2608;1963;2157;147458
"Cambuci";1726;1524;1795;2308;2607;2294;2225;2155;2117;1895;1620;1281;1271;1119;1170;1683;28790
"Campo Belo";3585;3478;4019;5164;6537;5898;5114;5147;4785;4476;4272;3662;3169;2452;2124;2874;66756
"Campo Grande";6097;6233;7120;7886;8251;7777;8019;8390;7450;6291;4911;3649;3022;2299;1782;2121;91298
"Campo Limpo";18875;17025;17786;19691;20279;18770;16940;15105;12985;10330;7685;5159;3865;2729;1928;2087;191239
"Cangaíba";11686;11138;12314;13091;12718;12212;11707;11551;9981;8045;6357;4728;3869;3028;2353;2465;137243
"Capão Redondo";24127;22238;23432;25691;26232;23560;21104;18214;15588;12696;9642;6447;4547;2837;1826;2172;240353
"Carrão";4832;4889;5869;6540;6478;6089;5898;6369;5843;5111;4432;3622;3478;3015;2545;3259;78269
"Casa Verde";5579;5440;6403;7849;7932;6889;6402;6543;6285;5429;4456;3452;3266;2685;2369;2774;83753
"Cidade Ademar";22697;21080;22669;25423;25587;22904;21040;18475;15934;13156;10502;7586;5910;4208;2914;3212;243297
"Cidade Dutra";17443;16599;18196;20119;19622;17491;16103;15064;13371;10837;8678;5750;4343;2988;2162;2437;191203
"Cidade Líder";10404;10054;10754;12037;11963;10697;9976;8856;8171;6984;5502;3772;2712;1936;1345;1503;116666
"Cidade Tiradentes";22092;20318;20307;20634;18322;16829;16064;14432;13079;10387;6799;3969;2620;1670;1047;931;189500
"Consolação";2020;1986;2282;3613;5691;5154;4300;4273;4157;3920;3608;2881;2428;2262;2228;3829;54632
"Cursino";6466;6413;7853;8962;9185;8323;7940;8367;7965;6806;5477;4113;4153;3635;3001;3523;102182
"Ermelino Matarazzo";9829;9187;9901;10604;10808;9943;9369;8534;7326;6152;4532;3248;2544;1866;1375;1530;106748
"Freguesia do Ó";10813;10511;11785;13487;13567;12188;11920;11933;11186;9185;7246;5305;4805;4082;3303;3702;145018
"Grajaú";37058;33973;33320;35889;35405;32817;29869;25559;21217;16183;11634;7213;4688;3006;1977;2029;331837
"Guaianases";10628;9944;9898;10421;10112;9181;8340;7207;6276;5148;3676;2539;1912;1259;877;973;98391
