População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:1996
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";5605;6023;6638;7158;7655;7552;7180;7025;6331;5537;4980;4300;4234;3590;2841;3491;90140
"Alto de Pinheiros";2132;2464;3108;3812;4718;4290;3618;3670;3482;3290;3061;2531;2268;1703;1245;1738;47130
"Anhanguera";2715;2704;2451;2145;2154;2337;2333;2025;1430;949;661;451;322;198;147;152;23174
"Aricanduva";7902;7999;8546;8965;9201;8625;7870;7349;6497;5463;4829;3820;3239;2359;1513;1628;95805
"Artur Alvim";9237;9484;10368;11197;11363;10436;9247;8760;7907;6959;5794;4537;3678;2529;1603;1624;114723
"Barra Funda";869;868;955;1133;1389;1317;1131;1061;995;851;765;631;585;517;445;758;14270
"Bela Vista";3691;3301;3356;4404;6909;7780;6829;5817;5057;4174;3523;2820;2602;2219;1846;2772;67100
"Belém";2883;2810;2950;3384;3931;3818;3522;3371;3031;2504;2268;1937;2068;1787;1541;2169;43974
"Bom Retiro";2166;2086;2114;2441;3173;3022;2584;2328;2037;1678;1525;1221;1237;1022;809;1159;30602
"Brás";2356;2054;1861;2170;2907;3040;2830;2528;2069;1555;1266;1010;902;750;611;790;28699
"Brasilândia";25222;24147;23276;22878;23154;21759;19634;16704;13388;10144;8058;5760;4560;3190;2085;2203;226162
"Butantã";3155;3389;3998;4683;5306;5000;4494;4381;4072;3584;3213;2606;2316;1780;1304;1850;55131
"Cachoeirinha";14668;14125;13564;13645;13598;13167;12139;10401;8536;6447;5076;3752;3094;2319;1547;1679;137757
"Cambuci";2096;2010;2124;2449;2917;2820;2726;2509;2223;1864;1692;1416;1481;1239;1123;1597;32286
"Campo Belo";4296;4501;5022;5896;6987;6492;5706;5564;5098;4598;4282;3556;3159;2361;1786;2384;71688
"Campo Grande";6398;6877;7447;7517;7799;7941;7960;7771;6650;5416;4352;3322;2743;2002;1413;1664;87272
"Campo Limpo";18272;17759;17710;17674;18246;17647;16168;14000;11425;8489;6359;4383;3310;2256;1482;1643;176823
"Cangaíba";11459;11442;11735;11788;11903;11930;11321;10318;8639;6814;5546;4242;3582;2647;1903;1937;127206
"Capão Redondo";23508;23046;23066;22860;23429;21500;19329;16597;13629;10304;7542;4947;3605;2290;1452;1684;218788
"Carrão";5666;5923;6455;6704;6905;6908;6639;6499;5872;4896;4409;3874;3607;2938;2224;2852;82371
"Casa Verde";6527;6730;7318;7971;8163;7830;7359;7048;6318;5177;4496;3670;3494;2699;2036;2526;89362
"Cidade Ademar";24035;23414;23758;24063;25025;23251;20840;17958;14875;11650;9189;6686;5190;3522;2265;2493;238214
"Cidade Dutra";17692;17919;18529;18607;18362;16968;15748;14171;12179;9210;7164;4849;3750;2624;1707;1856;181335
"Cidade Líder";10316;10474;10807;11049;10996;9901;9241;8309;7300;5874;4468;3083;2284;1601;1076;1134;107913
"Cidade Tiradentes";17366;17284;16349;14487;12558;12371;12502;11320;9009;6511;4210;2541;1747;1098;648;585;140586
