População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2019
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4453;4579;3810;4142;4868;5438;6306;6671;6547;5819;5624;5826;5292;4327;3380;5764;82846
"Alto de Pinheiros";1601;1719;1686;1792;2126;2510;2925;3079;3266;2888;2928;3187;2893;2598;2144;3849;41191
"Anhanguera";5925;5662;5622;6641;8099;7828;7427;6750;6411;6221;5546;4143;2884;1842;1030;945;82976
"Aricanduva";4970;5078;4694;5342;6278;6283;6953;7033;6430;6043;5773;5297;4753;3836;3035;4386;86184
"Artur Alvim";5879;6045;5640;6192;7333;7481;8404;8835;8207;7119;6254;5914;5258;4453;3399;4474;100887
"Barra Funda";966;985;762;766;828;999;1355;1540;1442;1201;958;939;873;729;591;993;15927
"Bela Vista";3982;3880;2694;2577;3014;4260;7489;8901;7245;5511;4754;4385;4050;3486;2653;4044;72925
"Belém";3837;3870;2547;2492;2739;3021;4168;4618;4033;3266;2863;2807;2447;2060;1461;2621;48850
"Bom Retiro";2839;2870;2197;2267;2543;2828;3646;3664;3193;2512;2252;1984;1707;1373;957;1617;38449
"Brás";2635;2639;1690;1816;2078;2408;3186;3219;2801;2314;1952;1700;1464;1080;755;974;32711
"Brasilândia";23153;22407;18823;21874;25086;23538;23764;22748;20302;18067;16345;13472;10875;7988;5557;6279;280278
"Butantã";2641;2709;2275;2375;2736;3408;4880;5414;4662;3837;3519;3455;3229;2854;2240;3670;53904
"Cachoeirinha";10995;10998;9416;10480;11986;11864;12432;12363;11072;9541;8752;7721;6508;4735;3265;3911;146039
"Cambuci";2433;2523;2169;2196;2426;2586;3221;3619;3518;3069;2633;2428;2192;1751;1293;2300;40357
"Campo Belo";3224;3423;2988;2997;3202;3522;4691;5419;5441;4897;4372;4342;4049;3584;2857;4954;63962
"Campo Grande";5644;6028;5748;6090;6961;7055;7764;8793;9100;8338;7989;7321;6207;4825;3516;4848;106227
"Campo Limpo";16080;16183;14926;16211;18716;18089;19813;20303;18963;16280;13675;11348;9590;7095;4764;5199;227235
"Cangaíba";9328;9280;7871;8971;10730;10856;11861;11447;10279;9416;8884;8176;6875;5250;3775;4924;137923
"Capão Redondo";22202;21880;19437;21953;25148;24435;26022;25684;23199;20064;17310;14098;11649;8838;5910;5822;293651
"Carrão";4255;4425;4093;4627;5464;5777;6524;6835;6642;6121;5885;5926;5194;4279;3366;5418;84831
"Casa Verde";5401;5464;4533;4951;5706;6012;7181;7386;6732;5754;5372;5314;4833;3901;2916;4551;86007
"Cidade Ademar";20913;20736;17869;19696;22730;23014;25141;24664;22631;19487;16938;14258;12174;9354;6638;7706;283949
"Cidade Dutra";13784;13770;12251;14077;16389;16225;17289;16958;15765;14015;12768;11101;9558;7369;5275;5703;202297
"Cidade Líder";9001;8988;8229;9328;10782;10988;11592;11620;10666;9379;8305;7343;6362;4919;3427;3496;134425
"Cidade Tiradentes";18039;17429;16990;19939;22500;20969;19987;19220;17076;14673;12621;10877;9085;6521;3863;3321;233110
"Consolação";2333;2120;1658;1746;2218;3814;6690;6284;4897;3902;3645;3914;3674;3179;2608;4739;57421
"Cursino";6346;6661;5861;6107;6860;7510;8948;9819;9137;7950;7575;7537;6942;5511;4020;6563;113347
"Ermelino Matarazzo";8116;8175;7473;8221;9511;9538;10279;10009;9102;8193;7477;6428;5455;4208;2798;3285;118268
"Freguesia do Ó";8610;8645;7259;8258;9958;10189;11566;11982;10945;9622;9204;8997;8154;6204;4412;6319;140324
"Grajaú";30692;30057;26728;30801;35702;33734;33418;32175;28982;25901;23054;18579;14590;10341;6610;5784;387148
"Guaianases";8542;8294;7357;8511;9794;9565;9270;8841;8025;7127;6377;5315;4419;3279;2130;2243;109089
"Iguatemi";11946;11413;10259;12023;13871;13194;12521;11716;10427;9673;8890;7251;5623;3974;2470;2263;147514
"Ipiranga";6285;6518;5722;6118;7023;7609;8930;9712;9118;8215;7546;7130;6352;5118;3826;6522;111744
"Itaim Bibi";4734;5091;4087;3464;3775;4881;7184;9822;9892;7875;6433;6397;6144;5511;4321;7285;96896
"Itaim Paulista";17494;17198;15793;18178;21524;20686;20053;18819;16784;15259;14168;11909;9610;6902;4613;4777;233767
"Itaquera";14747;14792;13366;15143;17763;16905;17351;17217;16411;14935;13342;11226;9396;7252;5106;5906;210858
"Jabaquara";14158;14577;12858;13747;16093;16498;19131;20304;18990;16303;15133;13835;11821;9138;6544;9685;228815
"Jaçanã";5918;6021;5970;6718;7654;7509;8149;8231;7492;6371;5721;5323;4760;3710;2696;3691;95934
"Jaguara";1351;1386;1205;1355;1542;1623;1968;2075;1905;1648;1554;1544;1448;1193;921;1324;24042
"Jaguaré";3487;3605;3295;3589;3960;4055;4650;5150;4749;3985;3373;2932;2373;1911;1471;2112;54697
"Jaraguá";15597;15258;13818;16403;18926;17695;17692;17499;16209;14391;12748;10903;8845;6220;4011;4002;210217
"Jardim Ângela";26450;26505;24737;27407;30608;28129;28335;28350;26110;23094;19358;14621;11677;8384;5315;4977;334057
"Jardim Helena";11132;10762;9123;10366;12273;11700;11483;10900;9784;8773;7885;6458;5262;3897;2682;2878;135358
"Jardim Paulista";4112;4158;3244;3018;3420;4496;7373;9525;8710;6774;6042;6095;5963;5431;4449;7778;90588
"Jardim São Luís";21080;20979;18519;21008;24088;23728;25972;26017;23569;20512;17661;14575;12048;9035;6054;6353;291198
