População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2019
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"José Bonifácio";8300;8555;8896;9979;11221;10470;11008;12108;11543;9423;8031;6897;6334;5472;3695;3529;135461
"Lajeado";13770;13436;12105;13699;16458;15626;15074;13734;12421;11490;9978;8120;6631;4725;3075;3127;173469
"Lapa";3212;3425;3028;3037;3381;3872;4913;5721;5678;4987;4765;4810;4395;3661;2864;5369;67118
"Liberdade";3888;4018;3113;3074;3557;4607;6566;7518;6657;5527;4768;4475;4217;3548;2759;4211;72503
"Limão";5503;5492;4401;4849;5558;5878;6753;6728;6181;5360;4867;4577;4226;3401;2443;3396;79613
"Mandaqui";6075;6178;5521;6253;7553;7934;8805;8893;8621;8200;7834;7391;6267;4796;3644;5166;109131
"Marsilac";532;516;587;712;895;757;681;582;545;472;517;469;408;294;202;229;8398
"Moema";3844;4156;3791;3533;3975;4673;6291;8061;8444;7264;6321;6442;6138;5472;4152;6392;88949
"Moóca";4288;4458;3755;3815;4460;5268;6307;6775;6574;6015;5696;5429;4882;3905;2924;5446;79997
"Morumbi";3420;3421;2704;3063;3490;3468;3851;4153;4186;3878;3646;3326;2868;2363;1868;2711;52416
"Parelheiros";12761;12141;10725;12732;14752;13325;12170;11739;11026;10054;8817;6991;5558;3831;2464;2253;151339
"Pari";1464;1453;1091;1149;1262;1403;1700;1604;1355;1229;1134;1008;844;655;558;1001;18910
"Parque do Carmo";4966;5037;4640;5271;5865;5748;6129;6139;5586;4937;4341;3642;3149;2425;1706;1837;71418
"Pedreira";11040;11008;10802;12045;14164;13888;14103;13509;12492;10992;9762;7940;6550;4703;3119;3208;159325
"Penha";7279;7449;6541;7239;8471;9197;10592;10772;9807;8936;8749;8421;7451;6031;4677;7430;129042
"Perdizes";5055;5254;4815;4891;5291;6562;9421;11027;10308;8342;7746;7941;7802;6813;5281;8003;114552
"Perus";7172;6911;5930;6848;8052;7650;7507;6868;6595;6078;5412;4295;3346;2412;1623;1688;88387
"Pinheiros";2916;3077;2598;2507;2736;3285;4980;6673;6198;5007;4602;4616;4335;3844;3003;5518;65895
"Pirituba";10652;10864;9700;10584;12345;12715;14152;14573;13350;11816;11318;10591;9245;7131;5095;6809;170940
"Ponte Rasa";5317;5445;5065;5696;6781;6777;7563;7550;6638;6013;5908;5618;5081;3889;2849;3955;90145
"Raposo Tavares";7983;7988;6724;7655;8297;8276;8832;9434;8879;7500;6387;5322;4574;3640;2582;2662;106735
"República";3420;3461;2418;2310;2688;3741;6333;7055;6022;5038;4409;3850;3343;2657;1978;2755;61478
"Rio Pequeno";9372;9295;6883;7656;8574;8881;10438;10905;9886;8530;7850;7019;5938;4506;3257;4248;123238
"Sacomã";15927;16328;15426;16871;19263;20124;22570;23594;21407;18670;16978;15423;13027;9934;6978;9673;262193
"Santa Cecília";4719;4734;3604;3621;4284;5473;8063;9078;7936;6662;6155;5710;5192;4322;3293;5324;88170
"Santana";5829;5872;4685;5115;6303;7301;9301;9858;8807;7825;7818;8138;7718;6447;4773;7939;113729
"Santo Amaro";3459;3713;3419;3654;4109;4443;5207;5973;6114;5733;5342;5284;4782;4140;3377;5545;74294
"São Domingos";5112;5281;5021;5494;6278;6454;7140;7338;6730;6098;5832;5281;4498;3497;2665;3539;86258
"São Lucas";7774;7974;7848;8428;9640;10389;11895;12139;11007;9904;9616;9531;8026;6448;4877;7457;142953
"São Mateus";10570;10615;9330;10710;12648;12314;13193;13023;11600;10599;9799;8795;7436;5628;4053;4976;155289
"São Miguel";6996;6793;5183;5964;7223;7106;7529;6955;6214;5846;5664;5052;4194;3092;2283;3270;89364
"São Rafael";11021;11070;11343;13214;14552;13314;12876;12714;12097;11173;9839;7910;6046;4500;3169;3305;158143
"Sapopemba";19711;19752;17976;20428;23674;23687;25119;24156;21475;19308;17884;16184;13677;10424;7359;8470;289284
"Saúde";6225;6621;5643;5635;6288;7397;10255;12666;11983;10019;9471;9441;9109;7608;5819;9764;133944
"Sé";2148;2067;1207;1480;1701;1978;2656;2649;2444;2231;1693;1277;1017;708;512;655;26423
"Socorro";1940;1985;1652;1938;2188;2386;2795;3058;2818;2601;2435;2453;2198;1882;1510;2355;36194
"Tatuapé";4589;4720;4184;4814;5705;6370;7361;7847;7574;7144;7065;7151;6197;4953;3620;6411;95705
"Tremembé";16099;15707;13707;15792;18654;18268;18362;17909;16642;15351;13766;11836;9850;7493;5184;6431;221051
"Tucuruvi";4817;4931;4396;4838;5729;6566;8052;8327;7512;6547;6405;6532;6318;5240;3889;6509;96608
"Vila Andrade";10599;10650;11120;12269;13638;13514;14663;14401;13759;12010;9926;7934;5862;4085;2748;2995;160173
"Vila Curuçá";10703;10535;10004;11802;13947;13301;12909;12449;11196;10566;9378;7816;6268;4761;3405;3927;152967
"Vila Formosa";4968;5024;4691;5317;6435;6802;7673;7600;6882;6310;6372;6521;5876;4701;3505;5528;94205
"Vila Guilherme";3650;3740;2924;3182;3544;3656;4461;4906;4651;4012;3602;3480;3227;2615;1965;3231;56846
"Vila Jacuí";9167;9238;9795;10952;12853;12614;13031;12366;10998;9818;9023;7940;6573;4704;3050;3321;145443
"Vila Leopoldina";2292;2500;2414;2380;2669;2892;3504;4137;4481;3968;3223;2929;2290;1737;1238;1989;44643
"Vila Maria";8115;8102;6744;7474;8454;8820;10054;10026;8669;7484;6811;6173;5318;4107;2999;4581;113931
"Vila Mariana";5999;6057;4937;4927;5630;7449;11252;13552;11779;9369;8767;9236;9074;8070;6163;9861;132122
"Vila Matilde";5862;6027;5641;6233;7362;7789;8673;8760;8129;7354;7069;6747;6015;4876;3578;5435;105550
"Vila Medeiros";8036;8118;6943;7569;8884;9313;10699;10441;9050;7965;7597;7334;6766;5268;3980;6016;123979
"Vila Prudente";5590;5758;5259;5573;6619;7314;8828;9111;8297;7200;6990;6984;6250;5035;3816;6044;104668
"Vila Sônia";7858;7986;6744;7299;8244;8892;10190;10724;10001;8600;7651;6795;6004;4882;3652;4983;120505
"Total";779314;780721;694965;773543;893375;904379;997464;1019108;936105;823790;746487;669408;576947;450776;324402;440732;11811516
Fonte: Fundação SEADE, 1996 a 2023
