População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2007
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4226;4374;5034;5588;6656;6940;6955;6481;6114;6264;5770;4809;4228;3479;3138;5276;85332
"Alto de Pinheiros";1809;1889;2176;2586;3308;3392;3489;3218;3135;3414;3125;2836;2513;2002;1761;2893;43546
"Anhanguera";5035;5213;5812;5293;5421;5432;5515;5217;4600;3435;2389;1620;978;584;378;453;57375
"Aricanduva";5670;5970;6914;6990;7887;8032;7424;7047;6690;6100;5580;4567;3934;3045;2452;3080;91382
"Artur Alvim";6809;6914;8025;8364;9637;10001;9299;8377;7371;7141;6408;5459;4495;3374;2562;3156;107392
"Barra Funda";716;691;703;818;1201;1361;1256;1132;936;908;880;734;654;491;446;978;13905
"Bela Vista";2833;2514;2749;3675;6921;8565;7173;5573;4855;4482;4166;3557;2949;2249;1915;3559;67735
"Belém";2539;2342;2584;2815;3906;4253;3792;3313;2929;2876;2504;2165;1796;1465;1395;2608;43282
"Bom Retiro";2072;1977;2099;2252;3171;3276;2930;2384;2172;1921;1682;1411;1143;882;866;1327;31565
"Brás";1803;1761;1854;2031;2870;3029;2755;2436;2081;1761;1515;1146;890;680;514;828;27954
"Brasilândia";21942;22902;25370;24082;25149;24780;22554;20002;17945;14794;12168;9098;6984;4781;3509;4333;260393
"Butantã";2454;2444;2763;3297;4804;5403;4801;4126;3803;3735;3525;3123;2675;2105;1837;3001;53896
"Cachoeirinha";11408;11757;12874;12873;13680;13823;12812;11135;10154;8790;7470;5515;4253;2981;2282;3015;144822
"Cambuci";2002;1851;2005;2140;2788;3079;3086;2817;2503;2322;2142;1775;1482;1238;1167;2087;34484
"Campo Belo";3302;3184;3391;3699;5130;5763;5670;5321;4732;4683;4468;4063;3432;2804;2417;3971;66030
"Campo Grande";5848;5919;6762;6963;7770;8526;9001;8514;8044;7328;6233;4928;3883;2894;2259;3155;98027
"Campo Limpo";16485;16354;18342;17676;19897;20670;19581;17146;14631;12016;10122;7548;5546;3687;2650;3147;205498
"Cangaíba";9301;9736;11363;11358;12603;12623;11643;10891;10068;9092;7739;6059;4730;3586;2682;3585;137059
"Capão Redondo";21151;21881;24377;23607;26044;26166;24043;20858;18246;14950;12365;9430;6792;4354;2751;3228;260243
"Carrão";4246;4504;5334;5651;6446;6702;6572;6344;5956;5942;5333;4514;3976;3155;2782;4466;81923
"Casa Verde";4998;5109;5861;6207;7469;7632;7163;6410;5988;5794;5281;4368;3670;2887;2528;3819;85184
"Cidade Ademar";19844;20142;22594;22821;25638;25423;23837;20674;18142;15253;13141;10282;7940;5558;3938;4869;260096
"Cidade Dutra";14194;15024;17161;17091;18586;18323;17261;15559;14237;12215;10612;8070;6258;4186;2920;3595;195292
"Cidade Líder";8990;9474;10566;10766;11650;11814;11127;9863;8898;7874;6863;5330;3995;2705;1795;2117;123827
"Cidade Tiradentes";18582;19914;21630;20190;19445;19350;17903;15711;13821;11776;9493;6788;4386;2673;1613;1611;204886
"Consolação";1741;1731;1980;3228;6317;6150;4885;4079;3751;3984;3819;3296;2872;2320;2103;4387;56643
"Cursino";6041;6024;6861;7522;8945;9575;9093;8273;7829;7564;6948;5616;4702;3683;3296;5070;107042
"Ermelino Matarazzo";8449;8584;9682;9621;10715;10666;9916;8950;8137;7020;5859;4644;3428;2373;1775;2249;112068
"Freguesia do Ó";8579;9008;10619;10899;12482;12924;12288;11155;10594;9984;9051;7041;5674;4235;3615;5231;143379
"Grajaú";30570;32068;35492;34186;35051;34788;31769;28071;25002;20091;15847;11262;7727;4662;2927;3188;352701
"Guaianases";8595;9127;10033;9927;9967;9689;8917;7865;7105;5962;4880;3724;2683;1764;1229;1454;102921
"Iguatemi";10311;11039;12184;11744;11485;11162;10290;9422;8685;7097;5582;4038;2721;1725;1044;1136;119665
"Ipiranga";5873;5914;6596;7250;8734;9478;8889;8203;7612;7173;6447;5252;4454;3518;3230;5822;104445
"Itaim Bibi";3992;3330;3518;4483;6606;8756;8836;7741;6416;6403;6124;5473;4471;3672;3056;6178;89055
"Itaim Paulista";18448;19513;22148;21509;21136;20579;18837;16908;15634;13061;10644;7775;5695;3847;2552;2828;221114
"Itaquera";15701;16246;18433;17725;18748;18923;18155;16489;14763;12492;10545;8279;6380;4545;3249;3728;204401
"Jabaquara";14461;14324;16359;16651;19585;21047;20390;17900;16447;14736;12637;10109;7949;6229;5033;7363;221220
"Jaçanã";6685;6977;7741;7731;8528;8607;7989;7093;6381;5809;5281;4179;3474;2548;2114;2930;94067
"Jaguara";1379;1479;1680;1778;2154;2242;2081;1899;1791;1754;1673;1360;1155;887;736;1150;25198
