"","sample","interval_score","dispersion","underprediction","overprediction","coverage_deviation","bias","ae_median","rs_cir","base","week","dt_event","Median","LI","LS","LIb","LSb","casos","cov_50","cov_95"
"669",1022,4.84,0.64,0,4.2,-0.58,1,7,"BAIXADA SANTISTA",2023-03-10,8,2023-02-18,62,57,71,60,65,55,0,0
"670",1085,4.69,1.29,3.4,0,-0.18,-0.95,9,"BAIXADA SANTISTA",2023-03-10,9,2023-02-25,70,58,87,65,75,79,0,1
"671",1148,12.84,3.64,9.2,0,-0.18,-0.95,26,"BAIXADA SANTISTA",2023-03-10,10,2023-03-04,52,24,108,40,68,78,0,1
"672",1211,9.13,5.13,4,0,0.22,-0.5,20,"BAIXADA SANTISTA",2023-03-10,11,2023-03-11,51,15,148,36,74,71,1,1
"673",3038,0.86,0.66,0,0.2,0.22,0.5,1,"BAIXADA SANTISTA",2023-04-28,8,2023-04-07,78,72,88,76,81,77,1,1
"674",3101,10.41,1.41,9,0,-0.18,-0.95,19,"BAIXADA SANTISTA",2023-04-28,9,2023-04-14,55,43,74,50,61,74,0,1
"675",3164,3.71,2.91,0.8,0,0.22,-0.5,4,"BAIXADA SANTISTA",2023-04-28,10,2023-04-21,42,17,88,32,54,46,1,1
"676",3227,4.2,3.6,0,0.6,0.22,0.5,3,"BAIXADA SANTISTA",2023-04-28,11,2023-04-28,38,12,102,27,54,35,1,1
"677",18,12.74,0.54,0,12.2,-0.58,1,15,"BAURU",2022-05-04,8,2022-04-13,32,27,41,30,34,17,0,0
"678",81,7.25,1.05,6.2,0,-0.18,-0.95,13,"BAURU",2022-05-04,9,2022-04-20,18,9,34,14,22,31,0,1
"679",144,1.77,1.57,0.2,0,0.22,-0.5,1,"BAURU",2022-05-04,10,2022-04-27,19,6,43,14,26,20,1,1
"680",207,5.48,1.68,3.8,0,-0.18,-0.95,11,"BAURU",2022-05-04,11,2022-05-04,19,6,44,13,26,30,0,1
"681",774,6.63,0.63,6,0,-0.58,-1,10,"BAURU",2022-06-08,8,2022-05-18,37,32,45,34,39,47,0,0
"682",837,5.53,1.33,4.2,0,-0.18,-0.95,11,"BAURU",2022-06-08,9,2022-05-25,36,26,59,32,42,47,0,1
"683",900,21.08,2.28,18.8,0,-0.18,-0.95,38,"BAURU",2022-06-08,10,2022-06-01,28,9,67,21,38,66,0,1
"684",963,8,2.8,5.2,0,-0.18,-0.95,16,"BAURU",2022-06-08,11,2022-06-08,31,11,81,21,42,47,0,1
"685",1782,4.97,0.77,4.2,0,-0.18,-0.95,9,"BAURU",2022-06-12,8,2022-05-22,41,35,52,38,44,50,0,1
"686",1845,1.9,1.7,0,0.2,0.22,0.5,1,"BAURU",2022-06-12,9,2022-05-29,58,44,84,52,65,57,1,1
"687",1908,4.34,3.54,0.8,0,0.22,-0.5,4,"BAURU",2022-06-12,10,2022-06-05,52,23,107,40,67,56,1,1
"688",1971,7.4,5.4,0,2,0.22,0.5,10,"BAURU",2022-06-12,11,2022-06-12,61,24,154,45,86,51,1,1
"689",522,31.53,0.53,31,0,-0.58,-1,35,"BAURU",2022-07-06,8,2022-06-15,28,23,36,26,30,63,0,0
"690",585,30.32,0.92,29.4,0,-0.58,-1,37,"BAURU",2022-07-06,9,2022-06-22,23,16,38,20,27,60,0,0
"691",648,21.79,1.79,20,0,-0.58,-1,34,"BAURU",2022-07-06,10,2022-06-29,16,4,43,10,24,50,0,0
"692",711,13.74,2.14,11.6,0,-0.18,-0.95,26,"BAURU",2022-07-06,11,2022-07-06,14,2,56,8,24,40,0,1
"693",2286,20.49,0.89,19.6,0,-0.58,-1,26,"BAURU",2022-07-20,8,2022-06-29,24,17,36,21,28,50,0,0
"694",2349,14.72,0.92,13.8,0,-0.58,-1,21,"BAURU",2022-07-20,9,2022-07-06,19,11,33,16,23,40,0,0
"695",2412,15.94,1.34,14.6,0,-0.58,-1,27,"BAURU",2022-07-20,10,2022-07-13,11,2,36,7,17,38,0,0
"696",2475,11.86,1.26,10.6,0,-0.18,-0.95,21,"BAURU",2022-07-20,11,2022-07-20,9,1,37,5,14,30,0,1
"697",1278,1.28,1.28,0,0,0.42,0,0,"BAURU",2022-08-10,8,2022-07-20,30,20,48,26,36,30,1,1
"698",1341,1.7,1.1,0,0.6,0.22,0.5,3,"BAURU",2022-08-10,9,2022-07-27,15,6,36,12,20,12,1,1
"699",1404,1.48,1.48,0,0,0.42,0,0,"BAURU",2022-08-10,10,2022-08-03,13,3,41,8,19,13,1,1
"700",1467,1.9,1.5,0.4,0,0.22,-0.5,2,"BAURU",2022-08-10,11,2022-08-10,10,2,42,6,17,12,1,1
"701",2538,6.17,0.77,0,5.4,-0.58,1,9,"BAURU",2022-08-24,8,2022-08-03,22,16,33,19,25,13,0,0
"702",2601,1.39,0.79,0,0.6,0.22,0.5,3,"BAURU",2022-08-24,9,2022-08-10,15,8,27,12,18,12,1,1
"703",2664,2.19,1.19,1,0,0.22,-0.5,5,"BAURU",2022-08-24,10,2022-08-17,11,2,31,7,16,16,1,1
"704",2727,1.41,1.21,0.2,0,0.22,-0.5,1,"BAURU",2022-08-24,11,2022-08-24,10,2,33,6,15,11,1,1
"705",270,0.33,0.13,0.2,0,0.22,-0.5,1,"BAURU",2022-11-05,8,2022-10-15,6,6,9,6,7,7,1,1
"706",333,0.14,0.14,0,0,0.42,0,0,"BAURU",2022-11-05,9,2022-10-22,3,2,6,2,3,3,1,1
"707",396,3.18,0.38,2.8,0,-0.18,-0.95,6,"BAURU",2022-11-05,10,2022-10-29,2,0,8,1,4,8,0,1
"708",459,7.8,0.4,7.4,0,-0.58,-1,11,"BAURU",2022-11-05,11,2022-11-05,3,0,10,2,5,14,0,0
"709",1530,0.93,0.53,0.4,0,0.22,-0.5,2,"BAURU",2022-12-10,8,2022-11-19,25,22,35,24,28,27,1,1
"710",1593,1.42,0.82,0,0.6,0.22,0.5,3,"BAURU",2022-12-10,9,2022-11-26,25,19,41,22,28,22,1,1
"711",1656,4.08,2.28,1.8,0,0.22,-0.5,9,"BAURU",2022-12-10,10,2022-12-03,25,8,66,18,35,34,1,1
"712",1719,4.72,3.92,0,0.8,0.22,0.5,4,"BAURU",2022-12-10,11,2022-12-10,29,6,118,18,46,25,1,1
"713",2790,0.4,0.4,0,0,0.42,0,0,"BAURU",2023-01-28,8,2023-01-07,14,11,21,13,16,14,1,1
"714",2853,1.06,0.66,0,0.4,0.22,0.5,2,"BAURU",2023-01-28,9,2023-01-14,12,7,23,10,15,10,1,1
"715",2916,4.05,1.05,0,3,-0.18,0.95,7,"BAURU",2023-01-28,10,2023-01-21,14,6,31,11,19,7,0,1
"716",2979,3.08,1.48,0,1.6,-0.18,0.95,6,"BAURU",2023-01-28,11,2023-01-28,11,2,40,6,17,5,0,1
"717",2034,0.75,0.15,0,0.6,-0.18,0.95,1,"BAURU",2023-02-18,8,2023-01-29,6,5,10,6,7,5,0,1
"718",2097,0.59,0.39,0,0.2,0.22,0.5,1,"BAURU",2023-02-18,9,2023-02-05,8,5,14,7,10,7,1,1
"719",2160,1.53,0.53,1,0,-0.18,-0.95,3,"BAURU",2023-02-18,10,2023-02-12,4,0,13,2,6,7,0,1
"720",2223,4.86,0.66,4.2,0,-0.18,-0.95,9,"BAURU",2023-02-18,11,2023-02-19,4,0,16,2,7,13,0,1
"721",1026,0.26,0.26,0,0,0.42,0,0,"BAURU",2023-03-10,8,2023-02-18,14,13,19,13,15,14,1,1
"722",1089,2.13,0.53,0,1.6,-0.18,0.95,4,"BAURU",2023-03-10,9,2023-02-25,12,7,20,10,14,8,0,1
"723",1152,2.87,1.07,0,1.8,-0.18,0.95,5,"BAURU",2023-03-10,10,2023-03-04,10,2,29,7,15,5,0,1
"724",1215,2.38,1.78,0.6,0,0.22,-0.5,3,"BAURU",2023-03-10,11,2023-03-11,12,2,50,7,20,15,1,1
"725",3042,1.46,0.26,0,1.2,-0.58,1,2,"BAURU",2023-04-28,8,2023-04-07,8,7,13,7,9,6,0,0
"726",3105,0.6,0.4,0.2,0,0.22,-0.5,1,"BAURU",2023-04-28,9,2023-04-14,9,6,16,7,10,10,1,1
"727",3168,1.15,0.75,0,0.4,0.22,0.5,2,"BAURU",2023-04-28,10,2023-04-21,6,1,16,3,9,4,1,1
"728",3231,5.32,0.92,4.4,0,-0.18,-0.95,10,"BAURU",2023-04-28,11,2023-04-28,6,0,22,3,10,16,0,1
"729",22,6.6,1.2,0,5.4,-0.58,1,11,"BRAGANÇA",2022-05-04,8,2022-04-13,34,24,54,30,39,23,0,0
"730",85,5.29,1.69,0,3.6,-0.18,0.95,10,"BRAGANÇA",2022-05-04,9,2022-04-20,30,16,55,24,37,20,0,1
"731",148,3.86,2.26,1.6,0,0.22,-0.5,8,"BRAGANÇA",2022-05-04,10,2022-04-27,29,11,67,21,38,37,1,1
"732",211,4.24,3.04,1.2,0,0.22,-0.5,6,"BRAGANÇA",2022-05-04,11,2022-05-04,32,11,85,22,45,38,1,1
"733",778,7.44,0.64,6.8,0,-0.58,-1,12,"BRAGANÇA",2022-06-08,8,2022-05-18,25,21,35,23,28,37,0,0
"734",841,1.92,1.32,0.6,0,0.22,-0.5,3,"BRAGANÇA",2022-06-08,9,2022-05-25,32,22,54,28,38,35,1,1
"735",904,13.98,2.38,11.6,0,-0.18,-0.95,26,"BRAGANÇA",2022-06-08,10,2022-06-01,29,10,68,21,39,55,0,1
"736",967,5.08,3.28,1.8,0,0.22,-0.5,9,"BRAGANÇA",2022-06-08,11,2022-06-08,35,11,89,23,48,44,1,1
"737",1786,5.14,0.54,4.6,0,-0.18,-0.95,9,"BRAGANÇA",2022-06-12,8,2022-05-22,26,21,35,24,28,35,0,1
"738",1849,3.5,1.3,2.2,0,-0.18,-0.95,7,"BRAGANÇA",2022-06-12,9,2022-05-29,39,28,58,34,44,46,0,1
"739",1912,6.88,2.68,4.2,0,-0.18,-0.95,15,"BRAGANÇA",2022-06-12,10,2022-06-05,42,21,79,33,54,57,0,1
"740",1975,5.39,3.99,0,1.4,0.22,0.5,7,"BRAGANÇA",2022-06-12,11,2022-06-12,48,18,117,35,65,41,1,1
"741",526,21.57,0.37,21.2,0,-0.58,-1,24,"BRAGANÇA",2022-07-06,8,2022-06-15,19,17,24,18,21,43,0,0
"742",589,17.06,0.66,16.4,0,-0.58,-1,22,"BRAGANÇA",2022-07-06,9,2022-06-22,18,13,29,16,21,40,0,0
"743",652,16.89,1.29,15.6,0,-0.58,-1,26,"BRAGANÇA",2022-07-06,10,2022-06-29,12,3,32,8,18,38,0,0
"744",715,3.04,1.64,1.4,0,0.22,-0.5,7,"BRAGANÇA",2022-07-06,11,2022-07-06,10,1,45,6,18,17,1,1
"745",2290,18.53,0.53,18,0,-0.58,-1,22,"BRAGANÇA",2022-07-20,8,2022-06-29,16,11,24,14,18,38,0,0
"746",2353,4.54,0.54,4,0,-0.18,-0.95,8,"BRAGANÇA",2022-07-20,9,2022-07-06,9,4,18,7,11,17,0,1
"747",2416,6.08,0.68,5.4,0,-0.18,-0.95,11,"BRAGANÇA",2022-07-20,10,2022-07-13,7,2,20,5,10,18,0,1
"748",2479,5.03,0.83,4.2,0,-0.18,-0.95,9,"BRAGANÇA",2022-07-20,11,2022-07-20,5,0,23,2,8,14,0,1
"749",1282,9.26,0.26,9,0,-0.58,-1,11,"BRAGANÇA",2022-08-10,8,2022-07-20,3,1,7,2,4,14,0,0
"750",1345,2.27,0.27,2,0,-0.18,-0.95,4,"BRAGANÇA",2022-08-10,9,2022-07-27,5,3,10,4,6,9,0,1
"751",1408,5.9,0.5,5.4,0,-0.58,-1,9,"BRAGANÇA",2022-08-10,10,2022-08-03,3,0,10,1,5,12,0,0
"752",1471,2.61,0.41,2.2,0,-0.18,-0.95,5,"BRAGANÇA",2022-08-10,11,2022-08-10,2,0,11,1,4,7,0,1
"753",2542,5.98,0.38,5.6,0,-0.58,-1,8,"BRAGANÇA",2022-08-24,8,2022-08-03,4,1,9,2,5,12,0,0
"754",2605,1.98,0.38,1.6,0,-0.18,-0.95,4,"BRAGANÇA",2022-08-24,9,2022-08-10,3,1,9,2,5,7,0,1
"755",2668,4.4,0.4,4,0,-0.18,-0.95,8,"BRAGANÇA",2022-08-24,10,2022-08-17,3,1,11,2,5,11,0,1
"756",2731,3.8,0.4,3.4,0,-0.18,-0.95,7,"BRAGANÇA",2022-08-24,11,2022-08-24,2,0,10,1,4,9,0,1
"757",274,0.14,0.14,0,0,0.42,0,0,"BRAGANÇA",2022-11-05,8,2022-10-15,2,1,5,1,2,2,1,1
"758",337,0.45,0.25,0.2,0,0.22,-0.5,1,"BRAGANÇA",2022-11-05,9,2022-10-22,5,4,9,4,6,6,1,1
"759",400,3.87,0.27,3.6,0,-0.58,-1,6,"BRAGANÇA",2022-11-05,10,2022-10-29,2,0,7,1,3,8,0,0
"760",463,17.79,0.39,17.4,0,-0.58,-1,21,"BRAGANÇA",2022-11-05,11,2022-11-05,2,0,9,1,4,23,0,0
"761",1534,0.83,0.83,0,0,0.42,0,0,"BRAGANÇA",2022-12-10,8,2022-11-19,19,13,36,17,23,19,1,1
"762",1597,1.62,1.22,0.4,0,0.22,-0.5,2,"BRAGANÇA",2022-12-10,9,2022-11-26,23,15,47,19,28,25,1,1
"763",1660,2.56,2.16,0.4,0,0.22,-0.5,2,"BRAGANÇA",2022-12-10,10,2022-12-03,21,5,61,14,30,23,1,1
"764",1723,5.42,3.82,0,1.6,0.22,0.5,8,"BRAGANÇA",2022-12-10,11,2022-12-10,25,5,117,15,42,17,1,1
"765",2794,3.48,0.68,0,2.8,-0.18,0.95,6,"BRAGANÇA",2023-01-28,8,2023-01-07,22,16,34,20,25,16,0,1
"766",2857,8.84,1.04,0,7.8,-0.58,1,13,"BRAGANÇA",2023-01-28,9,2023-01-14,17,8,32,13,21,4,0,0
"767",2920,7.18,1.58,0,5.6,-0.58,1,12,"BRAGANÇA",2023-01-28,10,2023-01-21,18,7,45,13,25,6,0,0
"768",2983,7.92,2.32,0,5.6,-0.18,0.95,14,"BRAGANÇA",2023-01-28,11,2023-01-28,18,4,66,11,28,4,0,1
"769",2038,2.8,0.4,0,2.4,-0.58,1,4,"BRAGANÇA",2023-02-18,8,2023-01-29,10,7,17,9,12,6,0,0
"770",2101,1.53,0.53,0,1,-0.18,0.95,3,"BRAGANÇA",2023-02-18,9,2023-02-05,10,6,19,8,12,7,0,1
"771",2164,1.19,0.79,0.4,0,0.22,-0.5,2,"BRAGANÇA",2023-02-18,10,2023-02-12,6,1,20,4,10,8,1,1
"772",2227,1.69,1.09,0.6,0,0.22,-0.5,3,"BRAGANÇA",2023-02-18,11,2023-02-19,7,1,30,4,12,10,1,1
"773",1030,0.61,0.41,0,0.2,0.22,0.5,1,"BRAGANÇA",2023-03-10,8,2023-02-18,13,10,21,12,15,12,1,1
"774",1093,5.81,0.81,0,5,-0.58,1,9,"BRAGANÇA",2023-03-10,9,2023-02-25,21,14,35,18,24,12,0,0
"775",1156,10.56,1.96,0,8.6,-0.58,1,17,"BRAGANÇA",2023-03-10,10,2023-03-04,28,13,59,22,37,11,0,0
"776",1219,13.91,4.51,0,9.4,-0.18,0.95,25,"BRAGANÇA",2023-03-10,11,2023-03-11,39,10,121,25,59,14,0,1
"777",3046,1.42,0.42,1,0,-0.18,-0.95,3,"BRAGANÇA",2023-04-28,8,2023-04-07,19,16,28,18,21,22,0,1
"778",3109,1.88,0.68,0,1.2,-0.18,0.95,4,"BRAGANÇA",2023-04-28,9,2023-04-14,17,11,29,14,19,13,0,1
"779",3172,4.33,1.53,0,2.8,-0.18,0.95,8,"BRAGANÇA",2023-04-28,10,2023-04-21,21,10,43,16,28,13,0,1
"780",3235,7.4,2.4,0,5,-0.18,0.95,13,"BRAGANÇA",2023-04-28,11,2023-04-28,21,6,66,14,32,8,0,1
"781",50,0.46,0.26,0.2,0,0.22,-0.5,1,"CATANDUVA",2022-05-04,8,2022-04-13,31,30,36,30,32,32,1,1
"782",113,4.42,0.42,4,0,-0.18,-0.95,8,"CATANDUVA",2022-05-04,9,2022-04-20,26,22,34,25,28,34,0,1
"783",176,13.22,1.42,11.8,0,-0.58,-1,23,"CATANDUVA",2022-05-04,10,2022-04-27,17,7,39,12,23,40,0,0
"784",239,1.88,1.88,0,0,0.42,0,0,"CATANDUVA",2022-05-04,11,2022-05-04,22,7,55,15,29,22,1,1
"785",806,0.91,0.51,0,0.4,0.22,0.5,2,"CATANDUVA",2022-06-08,8,2022-05-18,57,53,64,55,59,55,1,1
"786",869,4.59,0.79,0,3.8,-0.58,1,7,"CATANDUVA",2022-06-08,9,2022-05-25,56,50,69,54,60,49,0,0
"787",932,13.57,2.77,10.8,0,-0.18,-0.95,26,"CATANDUVA",2022-06-08,10,2022-06-01,34,14,81,25,46,60,0,1
"788",995,5.43,4.03,1.4,0,0.22,-0.5,7,"CATANDUVA",2022-06-08,11,2022-06-08,44,14,117,32,62,51,1,1
"789",1814,2.91,0.51,0,2.4,-0.58,1,4,"CATANDUVA",2022-06-12,8,2022-05-22,57,54,65,56,60,53,0,0
"790",1877,3.9,0.9,0,3,-0.18,0.95,7,"CATANDUVA",2022-06-12,9,2022-05-29,71,64,84,68,75,64,0,1
"791",1940,9.39,3.39,0,6,-0.18,0.95,18,"CATANDUVA",2022-06-12,10,2022-06-05,65,37,116,53,79,47,0,1
"792",2003,12.1,5.9,0,6.2,-0.18,0.95,23,"CATANDUVA",2022-06-12,11,2022-06-12,76,30,170,57,102,53,0,1
"793",554,0.58,0.38,0.2,0,0.22,-0.5,1,"CATANDUVA",2022-07-06,8,2022-06-15,61,59,67,60,63,62,1,1
"794",617,11.52,0.52,11,0,-0.58,-1,15,"CATANDUVA",2022-07-06,9,2022-06-22,43,39,51,41,45,58,0,0
"795",680,24,2,22,0,-0.58,-1,40,"CATANDUVA",2022-07-06,10,2022-06-29,27,13,63,21,36,67,0,0
"796",743,8.03,3.23,4.8,0,-0.18,-0.95,18,"CATANDUVA",2022-07-06,11,2022-07-06,25,5,98,17,40,43,0,1
"797",2318,11.25,0.25,11,0,-0.58,-1,13,"CATANDUVA",2022-07-20,8,2022-06-29,54,53,58,53,55,67,0,0
"798",2381,9.8,0.4,9.4,0,-0.58,-1,13,"CATANDUVA",2022-07-20,9,2022-07-06,30,27,37,29,32,43,0,0
"799",2444,9.6,1.6,8,0,-0.18,-0.95,18,"CATANDUVA",2022-07-20,10,2022-07-13,18,7,47,13,25,36,0,1
"800",2507,7.6,2.4,5.2,0,-0.18,-0.95,16,"CATANDUVA",2022-07-20,11,2022-07-20,17,3,63,10,28,33,0,1
"801",1310,0.44,0.24,0.2,0,0.22,-0.5,1,"CATANDUVA",2022-08-10,8,2022-07-20,32,31,35,31,33,33,1,1
"802",1373,2.38,0.38,2,0,-0.18,-0.95,4,"CATANDUVA",2022-08-10,9,2022-07-27,35,32,40,33,36,39,0,1
"803",1436,5.67,1.47,4.2,0,-0.18,-0.95,11,"CATANDUVA",2022-08-10,10,2022-08-03,19,8,45,14,25,30,0,1
"804",1499,5.19,2.19,3,0,-0.18,-0.95,11,"CATANDUVA",2022-08-10,11,2022-08-10,20,5,64,13,29,31,0,1
"805",2570,0.14,0.14,0,0,0.42,0,0,"CATANDUVA",2022-08-24,8,2022-08-03,30,29,33,29,30,30,1,1
"806",2633,7.87,0.27,7.6,0,-0.58,-1,10,"CATANDUVA",2022-08-24,9,2022-08-10,21,19,26,20,22,31,0,0
"807",2696,10.85,1.05,9.8,0,-0.58,-1,19,"CATANDUVA",2022-08-24,10,2022-08-17,11,4,29,8,16,30,0,0
"808",2759,10.19,1.59,8.6,0,-0.18,-0.95,19,"CATANDUVA",2022-08-24,11,2022-08-24,13,3,42,8,20,32,0,1
"809",302,1.34,0.14,1.2,0,-0.18,-0.95,2,"CATANDUVA",2022-11-05,8,2022-10-15,20,19,23,19,20,22,0,1
"810",365,2.06,0.26,0,1.8,-0.58,1,3,"CATANDUVA",2022-11-05,9,2022-10-22,13,11,17,12,14,10,0,0
"811",428,1.18,0.78,0,0.4,0.22,0.5,2,"CATANDUVA",2022-11-05,10,2022-10-29,13,7,25,10,16,11,1,1
"812",491,2.31,0.91,1.4,0,-0.18,-0.95,5,"CATANDUVA",2022-11-05,11,2022-11-05,12,4,25,9,16,17,0,1
"813",1562,1.97,0.37,1.6,0,-0.18,-0.95,4,"CATANDUVA",2022-12-10,8,2022-11-19,29,28,35,28,31,33,0,1
"814",1625,2.46,0.66,0,1.8,-0.18,0.95,5,"CATANDUVA",2022-12-10,9,2022-11-26,46,40,56,43,48,41,0,1
"815",1688,6.61,2.61,0,4,-0.18,0.95,12,"CATANDUVA",2022-12-10,10,2022-12-03,45,25,86,37,57,33,0,1
"816",1751,11.19,5.79,0,5.4,-0.18,0.95,21,"CATANDUVA",2022-12-10,11,2022-12-10,60,20,159,42,86,39,0,1
"817",2822,1.35,0.15,0,1.2,-0.58,1,2,"CATANDUVA",2023-01-28,8,2023-01-07,33,32,37,32,33,31,0,0
"818",2885,0.47,0.27,0,0.2,0.22,0.5,1,"CATANDUVA",2023-01-28,9,2023-01-14,22,20,27,21,23,21,1,1
"819",2948,2.22,1.42,0,0.8,0.22,0.5,4,"CATANDUVA",2023-01-28,10,2023-01-21,24,14,46,19,30,20,1,1
"820",3011,3.03,2.23,0.8,0,0.22,-0.5,4,"CATANDUVA",2023-01-28,11,2023-01-28,21,5,58,13,30,25,1,1
"821",2066,0.14,0.14,0,0,0.42,0,0,"CATANDUVA",2023-02-18,8,2023-01-29,25,25,29,25,26,25,1,1
"822",2129,2.17,0.37,0,1.8,-0.58,1,3,"CATANDUVA",2023-02-18,9,2023-02-05,34,32,39,33,36,31,0,0
"823",2192,2.37,1.97,0,0.4,0.22,0.5,2,"CATANDUVA",2023-02-18,10,2023-02-12,42,26,73,35,50,40,1,1
"824",2255,9.26,3.86,0,5.4,-0.18,0.95,17,"CATANDUVA",2023-02-18,11,2023-02-19,42,15,121,30,58,25,0,1
"825",1058,4.14,0.14,4,0,-0.58,-1,6,"CATANDUVA",2023-03-10,8,2023-02-18,25,25,29,25,26,31,0,0
"826",1121,0.46,0.26,0,0.2,0.22,0.5,1,"CATANDUVA",2023-03-10,9,2023-02-25,26,24,30,25,27,25,1,1
"827",1184,2,1.6,0.4,0,0.22,-0.5,2,"CATANDUVA",2023-03-10,10,2023-03-04,39,26,66,34,46,41,1,1
"828",1247,4.03,3.43,0.6,0,0.22,-0.5,3,"CATANDUVA",2023-03-10,11,2023-03-11,38,12,105,28,53,41,1,1
"829",3074,1.45,0.25,0,1.2,-0.58,1,2,"CATANDUVA",2023-04-28,8,2023-04-07,42,41,46,41,43,40,0,0
"830",3137,0.59,0.39,0.2,0,0.22,-0.5,1,"CATANDUVA",2023-04-28,9,2023-04-14,31,28,37,30,33,32,1,1
"831",3200,6.42,1.82,4.6,0,-0.18,-0.95,13,"CATANDUVA",2023-04-28,10,2023-04-21,28,16,58,22,36,41,0,1
"832",3263,13.44,2.64,10.8,0,-0.18,-0.95,26,"CATANDUVA",2023-04-28,11,2023-04-28,26,8,72,18,38,52,0,1
"833",7,1.92,0.12,1.8,0,-0.58,-1,3,"CENTRAL DO DRS II",2022-05-04,8,2022-04-13,3,3,5,3,4,6,0,0
"834",70,0.74,0.14,0.6,0,-0.18,-0.95,1,"CENTRAL DO DRS II",2022-05-04,9,2022-04-20,5,4,8,4,5,6,0,1
"835",133,1.38,0.38,1,0,-0.18,-0.95,3,"CENTRAL DO DRS II",2022-05-04,10,2022-04-27,2,0,8,1,4,5,0,1
"836",196,4.42,0.42,4,0,-0.18,-0.95,8,"CENTRAL DO DRS II",2022-05-04,11,2022-05-04,3,0,12,2,5,11,0,1
"837",763,10.61,0.41,0,10.2,-0.58,1,11,"CENTRAL DO DRS II",2022-06-08,8,2022-05-18,38,37,48,37,40,27,0,0
"838",826,5.03,0.83,4.2,0,-0.18,-0.95,9,"CENTRAL DO DRS II",2022-06-08,9,2022-05-25,35,29,52,32,38,44,0,1
"839",889,2.9,2.3,0,0.6,0.22,0.5,3,"CENTRAL DO DRS II",2022-06-08,10,2022-06-01,26,9,69,18,35,23,1,1
"840",952,9.2,4.2,0,5,-0.18,0.95,17,"CENTRAL DO DRS II",2022-06-08,11,2022-06-08,45,16,116,32,64,28,0,1
"841",1771,1.12,0.32,0,0.8,-0.18,0.95,2,"CENTRAL DO DRS II",2022-06-12,8,2022-05-22,39,37,49,38,40,37,0,1
"842",1834,1.84,0.84,0,1,-0.18,0.95,3,"CENTRAL DO DRS II",2022-06-12,9,2022-05-29,40,34,58,38,44,37,0,1
"843",1897,9.79,2.59,0,7.2,-0.18,0.95,18,"CENTRAL DO DRS II",2022-06-12,10,2022-06-05,45,25,84,36,56,27,0,1
"844",1960,24.91,5.51,0,19.4,-0.18,0.95,43,"CENTRAL DO DRS II",2022-06-12,11,2022-06-12,70,25,166,54,95,27,0,1
"845",511,0.27,0.27,0,0,0.42,0,0,"CENTRAL DO DRS II",2022-07-06,8,2022-06-15,28,27,34,27,29,28,1,1
"846",574,3.61,0.41,3.2,0,-0.18,-0.95,6,"CENTRAL DO DRS II",2022-07-06,9,2022-06-22,12,9,20,10,13,18,0,1
"847",637,5.48,0.68,4.8,0,-0.18,-0.95,10,"CENTRAL DO DRS II",2022-07-06,10,2022-06-29,7,2,20,5,10,17,0,1
"848",700,6.86,0.86,6,0,-0.18,-0.95,12,"CENTRAL DO DRS II",2022-07-06,11,2022-07-06,6,0,26,3,9,18,0,1
"849",2275,1.34,0.14,1.2,0,-0.18,-0.95,2,"CENTRAL DO DRS II",2022-07-20,8,2022-06-29,15,14,18,14,15,17,0,1
"850",2338,0.46,0.26,0.2,0,0.22,-0.5,1,"CENTRAL DO DRS II",2022-07-20,9,2022-07-06,17,15,21,16,18,18,1,1
"851",2401,7.28,0.68,6.6,0,-0.18,-0.95,13,"CENTRAL DO DRS II",2022-07-20,10,2022-07-13,6,1,19,4,9,19,0,1
"852",2464,2.97,0.97,2,0,-0.18,-0.95,6,"CENTRAL DO DRS II",2022-07-20,11,2022-07-20,7,1,28,4,11,13,0,1
"853",1267,1.33,0.13,0,1.2,-0.58,1,2,"CENTRAL DO DRS II",2022-08-10,8,2022-07-20,15,14,17,14,15,13,0,0
"854",1330,0.45,0.25,0,0.2,0.22,0.5,1,"CENTRAL DO DRS II",2022-08-10,9,2022-07-27,12,10,15,11,13,11,1,1
"855",1393,2.47,0.67,1.8,0,-0.18,-0.95,5,"CENTRAL DO DRS II",2022-08-10,10,2022-08-03,5,0,17,3,8,10,0,1
"856",1456,2.36,0.96,1.4,0,-0.18,-0.95,5,"CENTRAL DO DRS II",2022-08-10,11,2022-08-10,7,0,26,4,11,12,0,1
"857",2527,4.13,0.13,0,4,-0.58,1,4,"CENTRAL DO DRS II",2022-08-24,8,2022-08-03,14,14,17,14,15,10,0,0
"858",2590,3.25,0.25,3,0,-0.58,-1,5,"CENTRAL DO DRS II",2022-08-24,9,2022-08-10,7,6,11,6,8,12,0,0
"859",2653,2.15,0.55,1.6,0,-0.18,-0.95,4,"CENTRAL DO DRS II",2022-08-24,10,2022-08-17,5,0,15,3,7,9,0,1
"860",2716,0.8,0.8,0,0,0.42,0,0,"CENTRAL DO DRS II",2022-08-24,11,2022-08-24,5,0,20,3,9,5,1,1
"861",259,0.62,0.02,0.6,0,-0.18,-0.95,1,"CENTRAL DO DRS II",2022-11-05,8,2022-10-15,1,1,3,1,1,2,0,1
"862",322,0.32,0.12,0.2,0,0.22,-0.5,1,"CENTRAL DO DRS II",2022-11-05,9,2022-10-22,1,1,3,1,2,2,1,1
"863",385,3.94,0.14,3.8,0,-0.58,-1,5,"CENTRAL DO DRS II",2022-11-05,10,2022-10-29,1,0,4,0,1,6,0,0
